"","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",NA,NA,2.1862,NA,NA,NA,1.3031,3.9324,2.5051,6.2824,3.7634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.929,NA,NA,NA,NA,NA,NA,NA,NA,1.5528,4.5341,2.8788,NA,NA,2.5621,1.7935,NA,NA,NA,NA,NA,1.4327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5006,NA,NA,1.4108,NA,2.2336,NA,NA,1.4157,2.2975,1.3392,NA,1.6447,NA,2.1679,NA,NA,NA,NA,NA,NA,NA,NA,1.7575,2.6391,1.5134,NA,2.2502,NA,4.2212,NA,NA,1.5011,6.7111,4.4126,3.2844,2.9293,4.9666,2.7979,2.5302,2.4217,3.8298,2.1002,2.142,2.7499,4.8433,4.1755,4.3376,2.098,NA,1.6155,4.4031,4.634,2.2828,NA,3.9124,7.3554,6.1798,2.627,4.4163,2.7188,7.8053,7.9903,6.9015,4.171,6.2879,5.1698,3.9828,3.01,3.3146,1.7133,NA,2.9859,3.4376,1.8244,NA,NA,4.1062,2.8743,NA,1.2794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5106,NA,2.2874,NA,NA,NA,NA,NA,NA,NA,NA,1.9403,2.9241,1.6782
"Bernal Heights",NA,NA,NA,2.0881,1.4617,NA,NA,NA,NA,NA,NA,NA,NA,1.0575,NA,NA,NA,NA,0.9923,NA,NA,NA,NA,NA,NA,NA,0.9705,NA,NA,NA,NA,NA,1.1001,2.2206,1.3454,NA,NA,NA,NA,NA,NA,1.0275,NA,NA,NA,NA,NA,NA,1.1868,1.9208,1.1191,NA,1.0968,NA,1.3735,1.717,1.0034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9949,NA,NA,0.9705,1.7939,1.0714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.097,NA,NA,NA,NA,1.1609,1.8059,1.0435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0192,2.9436,3.9886,2.1543,NA,2.1336,2.4939,2.423,2.0772,1.0382,3.4386,2.193,NA,1.1497,1.7626,3.1163,5.0699,4.0062,2.7788,1.0487,5.3528,3.5275,2.5515,3.8123,3.7267,3.06,1.2556,NA,NA,1.0898,1.8078,3.0568,6.5293,7.1896,4.768,1.7146,2.4092,2.5693,4.8253,2.7287,2.0629,5.9574,3.9734,5.8142,7.1852,4.2232,3.6378,1.6615,2.8921,6.0295,7.9438,6.1669,8.6346,8.979,4.7328,5.11,2.7016,3.2087,2.4023,3.3714,1.6785,1.7149,1.7657,2.0769,2.0787,4.9681,4.0945,3.8129,2.7698,1.3586,NA,2.1768,2.5093,2.4466,1.0682,2.3463,1.4107,NA,2.0145,1.4101,1.6939,1.8377,2.045,0.9984,3.6841,3.4268,1.7538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Excelsior",NA,NA,NA,NA,1.1407,NA,NA,1.1023,NA,NA,NA,NA,1.1628,NA,NA,2.2397,1.5678,NA,NA,1.1356,1.9305,1.1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1198,1.9159,2.2694,1.1383,NA,NA,NA,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2273,NA,1.5307,NA,NA,NA,NA,1.3816,NA,1.5421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.141,NA,NA,NA,NA,NA,NA,NA,1.1492,NA,1.4803,NA,NA,1.1534,NA,NA,2.4546,5.3992,3.3131,NA,1.5244,3.3565,5.0521,3.9224,4.7639,5.6372,5.387,4.8543,5.7137,13.7402,9.617,8.0076,5.4223,9.5132,11.1382,11.7019,6.8256,3.6353,6.0493,7.0834,6.1117,6.0416,13.1435,10.3875,11.3725,14.4848,13.8875,11.129,8.2665,7.452,5.8143,7.1587,7.2239,15.0391,13.5172,12.3032,12.2883,7.8017,5.2217,5.3874,9.9222,6.9587,5.1335,5.2786,5.3426,6.0238,12.3402,7.5052,4.0322,4.2959,4.2889,5.158,6.2393,3.4734,4.5717,2.4345,6.7689,7.0321,3.8345,NA,3.6666,2.5666,2.246,3.0662,7.6337,7.0947,4.8281,2.8852,2.6157,1.2917,NA,NA,NA,1.1528,2.3526,1.4278,1.7295,3.4177,2.1519,2.0253,2.4151,2.7159,2.7087,1.3345,1.675,NA,NA,NA,NA,1.2401,NA,1.8366,NA,NA,NA
"Central Richmond",NA,NA,NA,NA,NA,NA,NA,3.1427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1469,NA,3.7116,NA,NA,NA,NA,NA,NA,NA,NA,2.2222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3311,NA,NA,NA,NA,NA,NA,NA,NA,2.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0066,NA,NA,NA,NA,NA,NA,2.8555,NA,NA,NA,8.3893,5.8725,NA,4.8449,NA,8.5963,140.1351,96.7375,47.0088,11.6402,6.9192,NA,NA,5.9809,NA,NA,NA,NA,NA,NA,NA,8.4175,11.0629,6.1447,NA,3.4293,NA,3.9024,NA,3.6582,NA,NA,NA,5.0607,NA,NA,NA,NA,NA,NA,NA,NA,2.6795,NA,NA,NA,3.9247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayview",4.0113,1.94,4.7103,6.0214,4.8168,1.8994,4.8864,3.1241,3.1472,2.7977,1.6148,NA,NA,4.2146,4.313,5.1708,2.4755,NA,1.4327,2.4351,2.9871,1.518,1.9621,NA,NA,1.4405,NA,1.9314,2.4611,1.4379,NA,NA,NA,1.4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5586,NA,NA,NA,1.5552,NA,NA,NA,NA,NA,1.4689,NA,1.8912,NA,NA,NA,1.3804,NA,3.0994,1.8797,NA,NA,1.3256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3693,3.0585,2.7325,NA,NA,NA,2.6406,1.8484,3.3742,4.5021,7.902,9.8884,12.3221,14.8509,10.9946,7.7013,6.164,7.1962,18.2183,17.0021,17.9377,17.5434,19.1966,24.0728,24.2197,19.2655,29.0041,23.87,16.7983,15.1604,17.8729,17.0697,18.3838,20.9355,21.3503,21.0301,18.3536,20.9894,21.9221,16.5757,15.2909,16.0566,15.1355,15.0827,15.5564,19.4091,20.5537,18.0489,17.6767,16.9911,12.8255,13.4252,15.7572,16.4398,19.426,17.0598,19.706,15.4254,20.5515,21.7768,14.4074,12.4217,20.1432,22.7953,17.0407,16.0451,18.9566,18.5877,14.3108,11.1026,15.4475,12.8312,13.8487,15.4905,17.7305,10.2827,13.8784,15.181,13.7034,11.8663,9.3487,4.3315,8.3728,7.8969,6.7658,5.4521,4.1638,4.3973,3.5857,6.8087,6.9003,3.5775,NA,NA,1.7826,3.2704,1.9506,NA,2.6062,1.8243,NA,1.4868,6.1049,5.4585,3.9004,3.1504
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7069,NA,NA,6.5789,16.8602,16.8893,14.0862,13.7163,7.1356,NA,23.1482,NA,25.1704,30.94,18.1951,NA,10.2881,NA,10.6968,17.6425,25.7847,14.1112,NA,5.5371,13.3099,15.8868,8.1655,12.3672,14.0106,7.9632,14.8073,18.8349,33.3671,18.8074,14.6852,NA,NA,NA,NA,8.881,6.2112,7.4013,NA,8.1063,NA,7.7001,NA,NA,NA,NA,NA,NA,NA,13.9665,9.7765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South of Market",2.2134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4522,3.2225,1.7899,NA,NA,1.3082,3.1001,1.9215,NA,NA,NA,NA,NA,1.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.506,NA,NA,NA,NA,NA,1.107,NA,1.5648,2.1843,3.5931,2.0052,1.7913,1.8782,3.3095,4.1171,3.3518,1.4574,1.6869,2.0909,1.207,3.6498,4.5712,4.8684,5.6854,6.5145,6.8768,4.572,3.1067,6.2889,6.2231,4.4934,1.6472,NA,NA,7.6369,8.611,8.4486,5.9321,7.3953,8.4169,10.045,9.5545,8.0213,10.2707,7.8211,7.8076,10.4385,15.2404,13.4266,11.7601,10.6413,11.8115,7.2681,3.8592,6.4087,10.7604,7.3866,10.9352,11.399,9.5644,6.1776,9.9683,10.3352,6.9024,8.572,9.4341,9.1694,7.3357,5.5213,3.6913,2.7112,5.839,7.981,6.7226,5.0616,2.1932,4.3632,3.8979,2.0224,1.6652,NA,NA,1.133,1.8855,3.2952,1.8611,1.9422,NA,2.6262,1.5685,NA,NA,NA,NA,NA,1.0764,NA,2.5456,1.5559,NA,1.0919,NA,NA,NA,1.1348
"Central Sunset",1.0757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0783,NA,NA,NA,NA,NA,1.0573,NA,NA,1.1564,1.873,2.2553,2.1974,1.0937,NA,NA,NA,1.1865,2.6376,13.9666,9.1841,5.5855,3.0723,1.793,1.6613,NA,2.4676,5.0656,4.1939,1.8095,NA,NA,1.0573,1.8749,2.9371,3.7455,4.2016,2.1536,NA,1.2984,2.0652,1.1989,NA,1.4841,3.1535,5.5764,3.19,NA,NA,2.1146,2.5627,1.3921,1.41,1.8438,1.0846,2.6064,1.5967,NA,1.0656,2.8248,2.9656,1.4571,1.8538,NA,NA,NA,1.0862,NA,NA,2.1381,1.4967,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0877,NA,NA,NA,1.1604,2.3493,1.424,NA,NA,NA,NA,NA,NA,NA
"Tenderloin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5801,NA,NA,NA,NA,NA,NA,41.5801,NA,NA,NA,NA,NA,NA,NA,NA,49.7512,NA,NA,41.806,NA,NA,NA,NA,27.1739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.6957,44.7571,43.4783,NA,NA,54.3478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",NA,1.5267,NA,1.9183,2.5072,2.9391,1.4686,NA,NA,NA,NA,NA,NA,NA,1.5019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.562,2.6049,1.5267,NA,NA,NA,NA,NA,1.4908,NA,NA,NA,NA,1.4615,NA,NA,NA,NA,NA,NA,NA,NA,3.0039,2.1027,NA,NA,NA,NA,NA,NA,NA,1.4819,5.5432,3.5987,NA,2.9771,2.084,2.3781,NA,NA,NA,NA,NA,NA,NA,1.5111,NA,NA,NA,NA,NA,1.5499,NA,NA,NA,NA,NA,1.56,NA,NA,NA,1.4811,NA,NA,2.97,5.4539,3.2535,2.7272,4.2105,6.4856,8.188,5.9273,8.7155,7.8052,5.636,3.5936,6.1278,8.802,11.5528,12.2242,11.2228,8.4449,5.3625,11.3271,11.4095,8.8281,3.3978,8.2908,11.1252,11.0299,12.8533,10.0371,9.5149,10.649,14.7579,15.6733,15.3946,14.1721,12.3165,13.6583,10.471,6.1952,6.5804,9.7272,8.6346,8.0256,11.515,11.4914,11.7652,15.8103,17.9127,9.3446,8.846,15.7088,14.8424,10.3357,5.5466,6.6001,6.9143,6.8491,6.3074,7.6551,7.4396,6.9955,10.7436,17.2692,13.0002,8.6719,7.1739,3.6924,5.6746,4.6517,3.9276,6.0846,8.0355,6.392,4.7653,3.5373,3.193,1.5138,NA,5.1072,7.0174,3.9418,2.5991,2.7817,4.7824,6.069,6.0677,5.1373,2.3623,NA,NA,1.6852,NA,NA,1.6795,4.5461,2.8631,NA,NA,NA,NA,NA
