"","RegionName","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Ingleside","Ingleside","San Francisco-Oakland-Fremont, CA",NA,9.09190611976311,NA,NA,NA,772000,1.90073917634636,15.8985137366762,0.0512318652849741,23.5,NA,NA,39
"North Beach","North Beach","San Francisco-Oakland-Fremont, CA",NA,5.27089273963588,NA,NA,NA,1138700,1.27178939879047,6.99051019449403,0.05159831386669,79.6,NA,NA,39
"Portola","Portola","San Francisco-Oakland-Fremont, CA",NA,6.56722965562623,NA,NA,NA,751100,1.24005930718426,6.02766798418972,0.0464998002929038,34,NA,NA,39
"Central Richmond","Central Richmond","San Francisco-Oakland-Fremont, CA",NA,8.25838999780654,NA,NA,NA,1355700,1.20185129889519,19.5924488355681,0.0723559784613115,52.7,NA,NA,39
"Western Addition","Western Addition","San Francisco-Oakland-Fremont, CA",NA,8.05878482123273,NA,NA,NA,808500,2.84951024042743,13.1402183039463,0.0563623995052567,57.6,NA,NA,39
"South Beach","South Beach","San Francisco-Oakland-Fremont, CA",NA,7.04979162096951,NA,NA,NA,1218600,2.05175445942551,11.2673484295106,0.0506113572952569,67.9,NA,NA,39
"Lone Mountain","Lone Mountain","San Francisco-Oakland-Fremont, CA",NA,3.00943189295898,NA,NA,NA,1282300,1.92353549002464,0.968503937007874,0.0308149419012711,76.3,NA,NA,39
"Lakeside","Lakeside","San Francisco-Oakland-Fremont, CA",NA,9.33538056591358,NA,NA,NA,1300600,1.88797493145319,25.3107235764525,0.0691711517761033,33.9,NA,NA,39
"Forest Hill","Forest Hill","San Francisco-Oakland-Fremont, CA",NA,9.43189295898223,NA,NA,NA,1811400,2.37947210761318,20.9212283044059,0.0707397593021972,31.6,NA,NA,39
"Lake","Lake","San Francisco-Oakland-Fremont, CA",NA,7.43803465672297,NA,NA,NA,2271000,1.52443113237069,15.6961638392175,0.0572320563628357,68.8,NA,NA,39
"Bernal Heights","Bernal Heights","San Francisco-Oakland-Fremont, CA",NA,8.95152445711779,NA,NA,NA,1162200,2.34237407537865,15.653298835705,0.0687325761486834,43.9,NA,NA,39
"Cow Hollow","Cow Hollow","San Francisco-Oakland-Fremont, CA",NA,6.54310155735907,NA,NA,NA,1859000,2.46376012787301,10.5034773821554,0.0547934373318988,92.4,NA,NA,39
"Downtown","Downtown","San Francisco-Oakland-Fremont, CA",NA,8.92739635885063,NA,NA,NA,721800,1.54755205402364,13.8126773888363,0.0578234968135218,27.7,NA,NA,39
"Excelsior","Excelsior","San Francisco-Oakland-Fremont, CA",NA,7.31081377495065,NA,NA,NA,710000,1.82131077011329,8.09987819732034,0.0464887323943661,41.5,NA,NA,39
"Glen Park","Glen Park","San Francisco-Oakland-Fremont, CA",NA,7.78679534985742,NA,NA,NA,1388300,2.62418687167357,14.4140431844404,0.0644911042281928,76.5,NA,NA,39
"Haight-Ashbury","Haight-Ashbury","San Francisco-Oakland-Fremont, CA",NA,6.19214740074578,NA,NA,NA,1301100,0.665377176015474,7.5378130424002,0.0451164399354393,25.5,NA,NA,39
"Hayes Valley","Hayes Valley","San Francisco-Oakland-Fremont, CA",NA,7.59157710024128,NA,NA,NA,1183100,1.54493176551369,13.5739656330997,0.0650883272758009,67.2,NA,NA,39
"Inner Richmond","Inner Richmond","San Francisco-Oakland-Fremont, CA",NA,8.70585654748848,NA,NA,NA,1589700,2.6208766380479,14.1533821628608,0.0573158457570611,42.8,NA,NA,39
"Inner Sunset","Inner Sunset","San Francisco-Oakland-Fremont, CA",NA,8.94494406668129,NA,NA,NA,1224700,1.89699642233131,14.5221619599776,0.0608851147219727,35.2,NA,NA,39
