"","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01"
"Mission",760000,695000,679000,699000,749000,779000,759000,769000,739000,718000,699000,699000,699000,699000,699000,715000,719900,699000,749000,739000,715000,699000,725000,699000,699000,665000,650000,650000,649000,650000,700000,699000,639000,649000,681022,619000,699000,688000,629000,669000,669000,619000,650000,699000,699000,649000,775000,799000,799000,695000,635000,675000,775000,795000,775000,749000,699000,799000,799000,799000,799000,699000,879000,799000,899000,899000,899000,899000,859000,899000,850000,850000,899000,999000,995000,1099000,1099000
"Bernal Heights",749000,749000,749000,777000,749000,699000,725800,749000,749000,749000,749000,749000,729000,699000,699000,739000,740000,749000,749000,759000,775000,799000,785000,749000,699900,699000,699000,699000,685000,674000,679000,699950,699950,659000,659000,649000,610000,599000,559000,625000,625000,600000,583750,606619,699000,729000,699000,699000,699000,599000,615000,699000,729000,699000,799000,799000,879000,849000,825000,849000,849000,849000,849000,949900,899000,895000,895000,899000,899000,899000,899000,995000,949900,799000,890000,949000,899000
"Excelsior",577368,550000,524900,552874,549000,525000,549000,539000,525000,529000,500000,525000,500000,499000,499000,499000,499900,519000,499900,525000,499900,519990,529900,518000,518000,499000,499000,499000,488000,459900,450000,460000,445000,439000,470000,469900,469900,468000,449000,453000,449900,449950,449950,449950,468888,468000,498000,460000,499000,509000,509000,499000,509000,510000,510000,588888,589000,640000,599000,588000,598000,595000,589000,NA,499000,499000,599000,599000,645000,645000,649000,649000,645000,599000,525000,649000,699000
"Central Richmond",888000,888000,888000,875000,875000,875500,899000,899000,979000,945000,899000,849000,849000,849000,899000,899000,849000,899000,838000,828000,799000,799000,839000,838000,839000,849000,959900,789000,799000,838000,838000,829000,810000,882000,879000,799950,799000,789000,869000,925000,899000,879000,825000,799000,825000,799000,779000,788000,939000,799000,799000,849000,799000,995000,895000,925000,995000,998000,998000,1190000,899000,1195000,850000,899000,968000,968000,1050000,1045000,1045000,1045000,975000,1195000,1198000,999000,856623,929000,NA
"Bayview",469000,450000,435000,395000,399000,394900,388000,399000,399000,388000,380000,388000,389900,369900,370050,379900,380000,399900,379800,355000,369000,369000,349000,349900,349900,344900,344900,333000,326000,338000,329900,319000,329000,330000,330000,299900,318888,299000,300000,295000,295000,288400,294500,298404,298500,318000,318000,314900,325000,272934,329000,350000,350000,369900,330000,399000,459000,488000,498000,499888,525000,499000,529000,515000,499000,528000,534900,519888,525000,550000,545000,560000,599000,599000,625000,648888,675000
"Downtown",589000,795000,589950,579000,577000,699000,699000,989000,1125000,989000,699000,699000,699000,599000,571300,525000,470000,495000,599000,599000,599000,569000,569000,475000,495000,475000,432000,474000,398000,425000,480000,495000,449000,495000,495000,495000,448000,431000,495000,448000,431000,405000,496922,499000,480000,459900,479000,579000,549000,460000,677250,NA,849000,590000,590000,779000,639000,689000,689000,795000,599000,980000,898000,575000,795000,695000,654500,629000,569000,588000,599000,600000,849000,800000,599000,NA,1198000
"South of Market",670000,699000,685000,670000,655000,655000,635000,637000,637000,594000,599000,599000,616053,609000,609000,599000,610000,609000,599950,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,588000,599000,599000,599000,620000,569000,559000,570000,560000,599000,585000,585000,649500,669900,649000,649000,650000,679000,699000,649000,639000,650000,649000,649000,675000,679000,689000,699000,699000,725000,739000,739000,759000,779000,795000,765000,795000,795000,775000,799000,799000,799800,799800,875000,885000,895000,899000
"Central Sunset",875000,888000,875000,859000,859000,859000,859000,859000,789000,799000,789000,779000,798000,799425,805000,798000,799950,799000,759000,779000,728000,722650,715000,728000,699950,699950,720000,699950,699950,720000,695000,699000,699000,699000,699000,689000,688000,699000,699000,689000,699000,728000,728000,699900,740000,718000,728000,728000,728000,728000,748000,NA,NA,769000,738000,738000,799000,800000,799000,795000,799000,799000,795000,NA,799000,799000,818000,799000,850000,850000,949000,850000,850000,NA,NA,NA,NA
"Tenderloin",449000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488000,389000,389000,475000,475000,475000,389000,379000,379000,299000,299000,375000,NA,285000,295000,279000,299000,NA,NA,NA,NA,349000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",550000,579000,529900,579000,532880,529900,485000,450000,565000,499950,539000,499950,460000,499500,499000,499000,475000,450000,470000,476000,470000,468000,458000,449900,409900,399000,399000,415000,439900,439900,418000,399000,399900,399000,450000,429000,399000,399000,399000,399900,399900,399900,499000,439000,449000,449900,439000,439000,449000,449000,398000,NA,NA,NA,479000,595000,599800,549000,529000,599000,NA,NA,NA,NA,NA,NA,NA,NA,599000,549000,449000,499900,628000,628000,649000,629000,629000
