"","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01"
"Mission",599.84984984985,617.219917012448,589.189189189189,602.54691689008,576.519916142558,580,578.364565587734,542.753623188406,549.03758020165,544.985250737463,558.620689655172,582.5,606.986899563319,606.986899563319,609.318996415771,609.318996415771,588.354773188896,592.56329113924,582.702702702703,582.702702702703,537.240537240537,560.828300258844,542.285714285714,537.240537240537,556.72131147541,556.72131147541,556.72131147541,567.685589519651,583.145221971407,583.145221971407,575.236457437661,569.391634980989,557.803468208092,575.236457437661,575.236457437661,554.444444444444,552.201257861635,543.08472121651,491.692307692308,491.692307692308,566,495.289808917197,477.971737323358,610.149942329873,622.509960159363,590,611.553398058252,613.729508196721,618.67266591676,571.533923303835,561.304836895388,621.813870776526,601.826484018265,621.813870776526,679.717237629146,704.225352112676,686.25,672.159583694709,700.722394220846,717.920353982301,717.920353982301,725.806451612903,714.285714285714,805.555555555556,785.087719298246,807.200929152149,789.767441860465,811.111111111111,801.024140453548,825.814536340852,847.648261758691,854.80093676815,869.127516778523,899.849397590361,892.941176470588,861.333333333333,889.880952380952
"Bernal Heights",612.58064516129,568.844444444444,568.666666666667,564.5,568.666666666667,568.666666666667,562.857142857143,559.813084112149,574.123989218329,575.916230366492,568.666666666667,573.75,578.162291169451,577.627772420444,577.627772420444,570.714285714286,577.627772420444,570.714285714286,567.65899864682,583.910034602076,599.2,599.2,586.049543676662,591.367908109989,570.47619047619,573.717948717949,582.479030754893,573.876794812413,550.994227068634,538.983050847458,518.570427470217,518.166089965398,518.166089965398,488.552739165985,534.448160535117,527.272727272727,524.752475247525,542.857142857143,539.867109634552,570.285714285714,595.34127843987,588.408644400786,559.2,575.294117647059,598.666666666667,598.666666666667,550,598.666666666667,531.081081081081,553.882725832013,578.562728380024,630.526315789474,679.67967967968,660.05291005291,702.564102564103,660.242290748899,686.875,643.835616438356,610.480349344978,696.536144578313,733.914209115282,668.526785714286,683.467741935484,697.755610972569,707.627118644068,755.172413793103,755.172413793103,796.923076923077,784.365162644281,784.365162644281,817.272727272727,764.770240700219,785.227867993714,713.337757133378,829.181494661922,787.931034482759,867.403314917127
"Excelsior",463.258785942492,483.709273182957,510,512.658227848101,494.059405940594,466.666666666667,426.923076923077,426.923076923077,426.905132192846,426.905132192846,426.905132192846,426.905132192846,426.905132192846,427.92,447.92,447.92,457.047619047619,466.666666666667,432.324324324324,432.5,438.568129330254,438.568129330254,396.296296296296,390.990099009901,394.396551724138,385.245901639344,383.703703703704,383.703703703704,385.245901639344,354.666666666667,365.219155844156,350.103734439834,385.245901639344,342.73127753304,363.559322033898,363.559322033898,365.219155844156,344.702467343977,371.08301264431,371.08301264431,311.92,378.425655976676,339.92,339.92,325.401217487548,416,370.37037037037,430,410.090909090909,391.372549019608,410.090909090909,407.407407407407,414.836795252226,414.836795252226,421.487603305785,571.428571428571,514.285714285714,584.390243902439,530.612244897959,522.857142857143,454.062262718299,471.2,480.625,NA,508.363636363636,491.666666666667,491.666666666667,499.230769230769,473.343298455406,540.474741326841,565.429093122337,565.429093122337,610,540.474741326841,424,585.740072202166,585.740072202166
"Central Richmond",541.802388707926,548.616600790514,574.712643678161,587.5,516.666666666667,565.441176470588,509.776536312849,514.466546112116,516.014234875445,515.263157894737,525.597269624573,525.597269624573,516.014234875445,539.35860058309,493.975903614458,516.014234875445,514.742014742015,519.430760810071,536.860364267129,518.125,518.125,518.125,537.837837837838,540.540540540541,513.970588235294,513.970588235294,513.970588235294,546.354166666667,507.037533512064,504.672897196262,497.916666666667,520.869565217391,535.357142857143,513.970588235294,518.269947800149,518.269947800149,513.888888888889,513.888888888889,478.700745473908,499.565217391304,499.565217391304,480.665950590763,484.571428571429,522.563767168084,531.914893617021,531.914893617021,527.222222222222,511.283497884344,511.283497884344,480.439258750858,556.231003039514,544.913151364764,NA,NA,530.192435301924,558.411214953271,568.660968660969,558.887677208288,551.675977653631,510.789324247587,542.384105960265,513.698630136986,577.53164556962,589.121887287025,583.480825958702,584.958217270195,584.958217270195,629.656160458453,683.157894736842,675,675,651.739130434783,605.357142857143,651.449275362319,647.120418848168,744.391025641026,NA
"Bayview",351.131221719457,330.434782608696,317.796610169492,306.013837147419,306.013837147419,315.533980582524,315.533980582524,306.013837147419,324.975,306.013837147419,303.819444444444,287.647058823529,303.819444444444,303.819444444444,322.094691535151,283.333333333333,281.779661016949,290.298507462687,286.028602860286,256.160164271047,270.903225806452,256.160164271047,255.234042553192,267.85625,276.381909547739,275.882352941176,267.379679144385,267.85625,267.534345625452,263,260.952380952381,260.952380952381,279.166666666667,265.714285714286,255.164034021871,263.037037037037,272.089761570827,260.952380952381,260.952380952381,258.654708520179,260.952380952381,270.12285012285,260.952380952381,245.716292134831,238.776119402985,237.569060773481,237.569060773481,221.818181818182,235.527299925206,215.833333333333,210.526315789474,352.017937219731,295.633456334563,338.570084666039,285,354.899262899263,371.102661596958,376.344086021505,345.753899480069,381.043256997456,428.430682617875,363.814679854243,363.036303630363,383.233532934132,390.4,447.058823529412,408.372093023256,364.165331391114,395.951417004049,428.430682617875,436.190476190476,465.253360910031,500.385505011565,500.836120401338,508.363636363636,508.363636363636,460.777851021753
"Downtown",752.840909090909,756.628787878788,752.840909090909,765.873015873016,756.628787878788,752.409638554217,723.482077542063,758.333333333333,770.07299270073,746.728971962617,723.482077542063,679.744525547445,700.934579439252,700.934579439252,652.492668621701,666.665333333333,673.846153846154,665,658.143939393939,652.492668621701,656.826568265683,647.727272727273,656.826568265683,660,658.143939393939,660,624.012638230648,607.63358778626,563.552833078101,645.910780669145,627.672955974843,636.363636363636,598.75,604.288499025341,594.093406593407,652.462121212121,682.170542635659,682.926829268293,682.926829268293,689.320388349515,666.251556662516,643.552311435523,615.25974025974,684.210526315789,684.210526315789,643.552311435523,734.969325153374,734.969325153374,711.222301644032,728.896103896104,733.652312599681,NA,NA,700.712589073634,712.5,744.047619047619,744.047619047619,927.364864864865,880.882352941176,744.047619047619,787.337662337662,693.097547062179,670.93728927849,711.229946524064,810.064935064935,724.242424242424,707.201889020071,756.227758007117,829.383886255924,808.227114716107,808.227114716107,748.613678373383,857.668711656442,914.775358962483,911.111111111111,NA,NA
"South of Market",659.72850678733,658.507598784195,631.296891747053,663.620689655172,675.392670157068,637.335526315789,637.335526315789,622.006220839813,603.202846975089,597.713097713098,622.006220839813,603.202846975089,613.472333600641,630.630630630631,622.286541244573,622.661122661123,630.841121495327,609.415867480384,610.35758323058,601.204819277109,586.155003762227,581.666666666667,561.20527306968,562.222222222222,561.20527306968,561.924257932446,553.846153846154,553.846153846154,562.222222222222,564.516129032258,570.535714285714,584.65855940131,618.204804045512,576.719576719577,623.731459797034,587.368421052632,568.713450292398,564.828614008942,557.209302325581,603.753910323253,541.927710843373,549.586776859504,543.564356435644,579.838709677419,614.358974358974,677.506775067751,669.064748201439,608.247422680412,656.61252900232,623.4375,678.764478764479,747.572815533981,743.303571428571,692.946094609461,719.954648526077,718.050065876153,768.028846153846,804.435483870968,805.299539170507,826.013513513513,823.002754820937,784.031413612566,820.627802690583,810.810810810811,811.955890887986,780.172413793103,816.599732262383,816.987740805604,816.987740805604,812.67217630854,831.392931392931,831.25,856.413994169096,907.846715328467,924.503311258278,918.283963227783,878.313253012048
"Central Sunset",525.443786982249,521.304347826087,525.443786982249,535,525.443786982249,521.304347826087,497.899159663866,477.333333333333,497.899159663866,497.899159663866,505.515898767034,501.754385964912,499,488.888888888889,443.003412969283,497.899159663866,477.840040753948,471.666666666667,491.26213592233,495.724137931034,501.754385964912,490.713001797484,466.666666666667,464.572192513369,448.884276076803,453.563714902808,448.884276076803,447.533632286995,447.533632286995,448.884276076803,446.463335496431,456.571428571429,448.275862068966,443.809523809524,457.355466514024,470,460,460,473.333333333333,454.48275862069,452.813067150635,453.448275862069,444.70441233893,444.70441233893,459.962756052142,462.80487804878,476.668339187155,499.285714285714,476.668339187155,452.488235294118,476.668339187155,NA,NA,476.668339187155,532.338129496403,530.909090909091,476.668339187155,476.668339187155,524.193548387097,597.34219269103,558.681672025723,558.681672025723,569.047619047619,NA,NA,603.597122302158,607.432432432432,547.797173732336,NA,551.339285714286,NA,583.905789990186,522.455706633704,NA,NA,NA,NA
"Tenderloin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804.858778625954,804.858778625954,858.585858585859,804.858778625954,879.279279279279,879.279279279279,879.279279279279,858.585858585859,879.279279279279,765.486725663717,863.461538461538,NA,NA,581.25,581.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488.68501529052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",375.565610859729,375.545851528384,366.935483870968,363.636363636364,352.785145888594,367.065317387305,352.785145888594,360.064153969527,361.111111111111,360.064153969527,386.363636363636,375,352.785145888594,352.785145888594,376.603773584906,352.785145888594,352.785145888594,352.785145888594,321.111111111111,347.222222222222,355.172413793103,355.172413793103,347.222222222222,347.222222222222,347.222222222222,362.214089661482,389.268292682927,417.464114832536,408.602150537634,388.717948717949,379.92125984252,389.268292682927,368.968779564806,341.958041958042,320.13201320132,320.13201320132,308.26140567201,320.13201320132,323.87041773231,296.134663341646,321.390937829294,299.041136873598,347.739130434783,351.433857539315,313.223140495868,313.223140495868,327.317473338802,333.333333333333,333.333333333333,336.516853932584,266.184310738766,NA,NA,NA,374.166666666667,410.714285714286,373.333333333333,432.146294513956,404.979253112033,383.957396449704,NA,NA,NA,NA,NA,NA,NA,NA,391.549295774648,492.142857142857,356.190476190476,374.925373134328,499.230769230769,509.819324430479,500.363636363636,504.98988697204,559.349593495935
