"","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01"
"Mission",2,4.9523809523809,5.2724077328646,6.3965884861407,6,4.0010002500625,4.0010002500625,5.9414225941422,6.9930069930069,5.181347150259,5.3580996606536,5.4404687173048,5.9978018527241,5.006105006105,3.2903225806451,5.5757575757575,4.8943270300333,4.8223350253807,7.8149421694279,4.6224961479198,4.3572984749455,6.3593004769475,3.7037037037037,NA,NA,NA,NA,NA,3.7410071942446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bernal Heights",NA,NA,7.0100143061516,5,5,5.0556117290192,5.2380952380952,5.2687038988408,5.5617352614015,5.8316633266533,5.889281507656,4.5454545454545,9.6989966555183,7.2681704260651,5.8055152394775,5.4127198917456,5.4127198917456,9.3457943925233,7.1530758226037,7.1530758226037,6.4720365810763,6.4685972169988,NA,NA,NA,NA,8.210332103321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Excelsior",NA,NA,NA,NA,4.6474358974358,6.2630480167014,NA,9.1074681238615,9.1027308192457,5.9322033898305,7.1764705882352,6.8784761904761,10.5448154657293,11.3333333333333,7.103825136612,NA,NA,NA,4.2307692307692,6.7200827087102,8.4457831325301,5.0125313283208,5.7428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Richmond",NA,NA,NA,NA,NA,5.4127198917456,5.7979417306856,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayview",5.7086125589476,NA,NA,NA,9.8803952158086,8.0740999650471,6.6889632107023,10.3690036900369,6.3856960408684,8.3795107446952,7.0023341113704,6.8989306657468,14.9797570850202,14.9797570850202,9.7222222222222,11.2347052280311,11.5037593984962,7.7981651376146,10.7462686567164,10.7462686567164,7.5187969924812,8.1346423562412,NA,NA,NA,NA,NA,18.3218101822752,13.4869739478957,NA,NA,NA,NA,22.2222222222222,22.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Downtown",NA,NA,9.1116173120728,10.5970149253731,10.5970149253731,10.828025477707,6.5743944636678,7.9155672823218,NA,5.0119331742243,8.5959885386819,NA,20.6185567010309,7.7694235588972,6.1176470588235,5.6710775047258,7.7579519006982,8.0321285140562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South of Market",6.2578222778473,5.2645433008686,4.9523809523809,6.4724919093851,5.181347150259,6.2597809076682,4.6296296296296,6.6985645933014,7.2376357056694,7.2376357056694,8.1716036772216,6.4428312159709,5.9561128526645,6,5.6603773584905,6.6666666666666,7.2494669509594,5.9075342465753,7.6517150395778,6.677796327212,7.7041602465331,4.9841640273378,6.2578222778473,5.6694813027744,8.2278481012658,5.5272727272727,NA,NA,6.1804697156983,6.2597809076682,NA,NA,NA,4.9272116461366,NA,NA,NA,NA,6.6755674232309,4.7694753577106,NA,NA,NA,4.1152263374485,4.1152263374485,4.1152263374485,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.034965034965,5.034965034965,NA,NA,NA,NA
"Central Sunset",NA,NA,NA,NA,NA,NA,NA,5.889281507656,5.2687038988408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7224606580829,5.7224606580829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",NA,NA,NA,NA,9.1001011122345,9.1001011122345,11.1234705228031,4.2944785276073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1077441077441,7.1270351248799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkside",NA,NA,NA,NA,NA,4.9492385786802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
