"","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,2350,2400,2695,2585,2350,2585,2150,2650,2700,3200,2800,3000,2995,2900,3350,2895,3000,3250,3400,2695,2700,2695,2800,2524,2524,3095,2674,2600,3000,3200,3200,3300,3000,3300,3600,3350,3500,3700,3950,4300,3990,3500,3550,3800,3800,4200,4200,4890,4525,4450,4356,4200
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200,2900,NA,NA,2200,2100,2600,2749,2800,3100,3200,3475,3275,3520,4000,3520,3600,3495,3250,2950,3000,2950,3350,3520,3520,3500,3000,2950,2950,3500,2600,2995,3495,3450,2404,2350,2489,3350,3350,3407,3800,3550,3500,3500,3500,4200,4000,4000,4300,3975,3950,4000
"Excelsior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2990,NA,NA,2000,NA,NA,NA,NA,1700,NA,NA,NA,NA,NA,NA,NA,2900,NA,NA,3000,2400,2650
"Central Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1795,1800,2050,2250,2200,2250,2995,2975,2995,2995,2600,1850,2275,2750,3000,3000,2975,2700,2400,2300,2150,2500,2375,2200,2750,2649,NA,2500,2500,3298,2800,2750,3025,3025,3100,3297,2650,2495,3150,3000,2600,2700,3300,3850,3650,3595,3595,3500,2995,3500,3600,3495
"Bayview",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,1950,NA,NA,1000,1200,2195,2595,2622,2509,2500,2434,2434,2350,2300,2434,2950,2878,2878,2878,2952,3223,2500,2700,2100,2450,1575,2450,NA,NA,2200,2200,2200,2500,2434,2400,2000,2850,3100,NA,3200,2750,2995,NA,2400,3395,2395,2400
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,1395,1695,1800,1350,1350,1525,1850,1900,1950,1795,1829,1695,1795,1975,1995,2195,2000,1995,1970,2130,2100,2325,2360,2350,2260,2500,2655,2495,2500,2745,2745,2780,2795,2450,2900,3100,3300,2900,3100,3200,3035,2975,2900,2975,3090,3270,3190,2995,3175,3190,2915,3160
"South of Market",NA,NA,3000,2800,2750,2950,2870,2705,2870,2950,2905,3000,3000,2995,2950,2850,2850,3200,3200,3250,2950,3190,3550,3100,2908,2900,2900,3100,3120,3266,3400,3350,3140,2987,3030,3090,3315,3400,2976,3491,3375,3297,3211,3195,3243,3305,3365,3405,3524,3675,3650,3515,3505,3555,3590,3765,3980,4041,3875,3931,3900,3900,3995
"Central Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,2300,2395,2295,2295,2400,NA,NA,NA,NA,2500,2200,2200,1700,1700,2500,2295,2600,2800,2995,2600,2395,2400,1995,2395,1995,2500,NA,2400,2700,2550,1895,NA,2950,2500,3495,3475,2990,2895,3450,NA,2800,2700,2750,3420,3900,3500,3000,3000,2900,3500,3200,3950
"Tenderloin",NA,NA,NA,NA,NA,NA,NA,NA,1800,1800,1620,1195,1175,1275,1195,1250,1425,1295,1295,1350,1350,1350,1400,1350,1395,1970,1965,1815,1825,1900,2085,2000,1924,2080,2090,1995,2050,2015,1750,1550,1695,1595,1695,1795,1795,1995,1895,1825,1800,1800,2200,1924,2145,2100,2050,2402,2324,2395,2295,2099,1795,1795,1849
"Visitacion Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2150,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,2695,NA,NA,NA,2791,2695,NA,2750,NA,NA,NA,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2395,2130,2600,2100,2195,2195,2495,NA,1750,2400,2200,NA,1750,2350,NA,NA,3250,1850,1688,2000,2295,3800,2800,2495,2495,2195,2500,2500,1800,2995,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500
"Pacific Heights",NA,NA,NA,NA,NA,3300,3200,3350,3350,NA,2790,2500,3000,3000,2650,2900,3795,4200,3595,3300,2995,3100,2400,2400,2995,3000,3129,3595,3650,3709,3400,3400,3695,3224,3280,3300,3285,3800,3300,3500,3995,3750,3850,3694,3695,4195,3900,3900,3550,3500,4000,4150,4200,4000,4200,4250,4324,4675,4500,4500,4500,4280,4595
"Nob Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2850,1995,2100,2400,2575,2575,2695,2695,2750,2599,2500,3600,3000,2950,4000,3500,3400,3000,3200,2925,2695,2395,2795,3650,3400,3195,3200,3750,2995,4100,4300,4000,2995,3650,3495,3600,3600,3200,2800,2895,3995,3500,3200,3500,3200,3095,3250,3500,3500,3850,3400,3600,3395
"Inner Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2200,2200,NA,3000,2400,2950,2995,NA,NA,2000,2400,2275,2499,2499,2000,1988,2200,2499,1650,2300,800,2750,1999,2350,2280,2500,2195,2380,2400,2195,1000,2300,2500,2500,2195,3000,2998,2100,2700,2900,2900,2950,3800,3395,3299,3299,4200,3400,2995,2995,3500
"Noe Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,3000,2000,2195,2539,3100,3395,3300,2495,2995,2600,2750,2300,2750,2905,3000,2950,3300,2699,2700,3250,3305,3100,3050,2995,2985,3340,3350,2950,3800,3800,3800,4500,3950,4099,4000,4500,3900,3850,3700,4250,4000,3975,3995,4299,3995,3995,4000,4500,4300,4700,4700,4400
