"","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,2.46153846153846,2.43243243243243,2.41666666666667,2.7,2.82608695652174,3.4875,2.6056338028169,1.98347107438016,2.89855072463768,2.82857142857143,2.82857142857143,3.20247933884297,2.80448717948718,2.38549618320611,3.24675324675325,3.11111111111111,3.10679611650485,3.26666666666667,3,2.49519230769231,3,3,3.1063321385902,3.38983050847458,3.5,3.2991202346041,3.15315315315315,3.4965034965035,3.25417766051011,4.28571428571428,3.84516680923866,4,4.29704016913319,4.0125,4.25126903553299,4.21124828532236,4.21124828532236,4.14417887432537,4.54921422663358,4.31063122923588,3.99666666666667,4.13333333333333,4.54863540937719,4.71956224350205,4.0273556231003,4.5,4.7593984962406,4.75,4.70230040595399,4.89719626168224,4.90174672489083
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48011928429423,2.9595015576324,NA,NA,NA,NA,2.30369515011547,NA,NA,NA,NA,NA,NA,NA,2.52902155887231,2.52902155887231,NA,3.18091451292246,2.59699769053118,2.23665223665224,1.86706497386109,1.9975,1.97095435684647,2.3114956736712,2.47881355932203,2.22857142857143,2.32558139534884,1.88518378173551,1.70454545454545,1.54264972776769,1.2093023255814,2.08333333333333,2.67175572519084,2.69080234833659,1.89853658536585,2.53333333333333,2.32484076433121,2.54726368159204,2.47619047619048,2.70212765957447,3.21083172147002,2.82142857142857,2.74976213130352,2.85714285714286,3.41176470588235,4.06666666666667,3.5,3.40909090909091,3.28467153284672,3.25116279069767,3.375,4.295
"Excelsior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83333333333333,NA,NA,NA,3.2,NA
"Central Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.875,1.99444444444444,2,NA,NA,NA,NA,2.22727272727273,2.11180124223602,2.11180124223602,NA,1,NA,NA,NA,1.95,0.959615384615384,NA,0.914634146341463,1.20833333333333,NA,NA,NA,NA,NA,NA,2,NA,NA,2.13377416073245,2.10973084886128,NA,NA,1.1,1.50130548302872,1.225,2.45092024539877,NA,2.61538461538461,2.41187384044527,2.24,3,1.36475409836065,2.08333333333333,2.08333333333333,2.72222222222222,NA,NA,NA,3.06186152099886
"Bayview",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11156685808039,2.30593881223755,2.30593881223755,2.25776105362183,2.25776105362183,2.0801317233809,2.12962962962963,2.24146147736299,1.84873949579832,2.06100577081616,2.14761306532663,2.3802729528536,2.34181141439206,2.31502423263328,2.25848142164782,2.26755852842809,2,2.29607250755287,1.9271948608137,2.16368767638758,1.50501672240803,NA,NA,NA,2.03083333333333,1.51724137931034,1.89473684210526,2.15252152521525,1.47642679900744,2.25225225225225,NA,2.31023102310231,NA,NA,2.60036496350365,NA,2.74542429284526,NA,NA,NA,2.460024600246,2.09121621621622
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17007534983854,3.44067796610169,NA,NA,NA,NA,NA,NA,2.97297297297297,3.04679552390641,3.25,2.95,3.04679552390641,3.04679552390641,3.04679552390641,3.16129032258065,3.6281179138322,4.14424111948331,3.97155361050328,3.47222222222222,3.74058127018299,3.78234398782344,3.7248322147651,4.06779661016949,4.5,4.27682737169518,3.89408099688473,4.69565217391304,4.84411085450346,5.02886836027714,5.25925925925926,5.5,5.07692307692308,4.61538461538461,4.59259259259259,5.27272727272727,4.94987468671679,4.82456140350877,4.90282685512367,4.70684039087948,5.22482014388489,4.8635477582846,4.88372093023256,5.5,4.98863636363636,5.21590909090909,4.78666666666667,5.32563025210084,4.73211567732116,4.98863636363636,5.16129032258065
"South of Market",NA,NA,2.54291163382072,2.58620689655172,2.22335025380711,2.14285714285714,2.76932084309133,2.82954545454545,2.82954545454545,2.93577981651376,3.4375,3.29604772557793,3.19783197831978,3.26086956521739,3.18115942028985,3.16666666666667,2.94511378848728,2.99600532623169,3.14741035856574,3.19444444444444,3.47551342812006,3.61081081081081,3.61926605504587,3.7013698630137,3.87733333333333,3.46153846153846,3.29411764705882,3.64838709677419,3.6915504511895,3.7369420702754,3.64655172413793,3.74181478016838,3.8527027027027,3.76164383561644,3.76164383561644,3.76238532110092,3.8861985472155,3.9572192513369,4.03825717321998,4.16666666666667,4.16666666666667,4.25,3.98245614035088,4.00473372781065,4.0037037037037,4,4.05821917808219,4.07297096053611,4.16480446927374,4.18789407313997,4.24137931034483,4.15859564164649,4.22297297297297,4.30451127819549,4.32555780933063,4.37275985663082,4.58379888268156,4.6831797235023,4.76190476190476,4.8728813559322,4.74261201143947,4.76890756302521,4.91586206896552
"Central Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75280898876404,1.75280898876404,1.75280898876404,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84615384615385,1.85909090909091,NA,NA,NA,1.81818181818182,NA,1.67731629392971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90217391304348,NA,NA,NA,2.45833333333333,1.68596237337192,NA,NA,0.983333333333333,1.28068303094984,NA,NA,2.59815242494226,2.58461538461538,2.496875,2.43055555555555,2.97101449275362,NA,NA
"Tenderloin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32539682539683,3.32539682539683,3.32539682539683,3.32539682539683,NA,NA,NA,NA,NA,NA,NA,NA,3.46046511627907,2.77272727272727,2.85,4.12650602409639,4.17400881057269,3.83534136546185,3.83534136546185,4.33734939759036,4.4578313253012,4.58333333333333,4.2375,3.84246575342466,4.29,4.35593220338983,4.1566265060241,4.03,3.98888888888889,3.83846153846154,3.17460317460317,3.83653846153846,3.88888888888889,NA,NA,3.83333333333333,3.88888888888889,3.88888888888889,3.992,4.28571428571428,4.87,4.04560810810811,4.32191780821918,4.66666666666667,4.37062937062937,4.54246575342466,4.61111111111111,NA,3.92876712328767,3.865,4.22,4.52465753424658,4.52465753424658
"Visitacion Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85185185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
