"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",NA,202000,206705.8824,NA,175384.6154,197352.9412,200750,NA,199538.4615,NA,242692.3077,231676.4706,203075,212400,234600,248100,NA,273076.9231,NA,218461.5385,231764.7059,NA,268615.3846,NA,264538.4615,282588.2353,272750,289700,284500,268600,NA,308153.8462,303823.5294,287400,303350,310875,302125,287650,316350,333500,316800,311150,367075,376725,364600,NA,231307.6923,NA,NA,510600,491150,464000,463500,474750,483400,563100,NA,NA,460000,501176.4706,487000,455250,431350,412650,432750,NA,389538.4615,416647.0588,432350,438650,NA,458076.9231,447352.9412,505500,538700,577550,572500,NA,543846.1538,504294.1176,NA,464615.3846,415294.1176,442900,525250,531350,532150,511600,489400,501500,531100,526150,523050,491300,NA,556619.2308,578996.1765,638955.75,660750,645150,653500,641950,638650,649200,708300,718250,700750,653750,699000,741500,724250,719500,720750,727750,713400,683000,702650,NA,661153.8462,645470.5882,748350,772500,736250,732400,707950,715900,744650,728350,743425,NA,660961.5385,617823.5294,697350,776650,838850,801525,706625,687500,727850,701750,686025,NA,NA,583000,657117.6471,700100,756500,675850,656000,671150,695350,NA,NA,NA,NA,NA,705000,707941.1765,630500,572375,NA,683461.5385,708750,671250,663500,NA,NA,628500,682911.7647,712125,746750,737075,740975,707000,657000,NA,691153.8462,NA,646576.9231,669117.6471,727750,786300,777500,738350,702300,NA,750384.6154,777647.0588,722050,NA,NA,620000,768823.5294,NA,801538.4615,700352.9412,717800,789400,826000,807750,701250,729650,NA,819000,877941.1765,943500,956900,933850,869500,916000,955250,954050,NA,NA,945000,962647.0588,1063000,1047250,970500,891000,929250,954750,889500,952500,1050000,NA,NA,1315000,NA
"Bernal Heights",226235.2941,246350,257400,246100,230050,201800,206000,NA,256153.8462,231705.8824,216000,238250,243375,260525,245650,258550,271450,272450,256550,252800,265050,270700,291200,282500,297450,295300,286250,289750,299500,321775,314625,310350,290650,280100,NA,285769.2308,327823.5294,330600,363350,361100,348800,368250,395200,413750,393800,367500,336750,344625,411825,454050,482200,443300,476750,496250,506000,519100,512750,490400,519500,529000,532250,511400,467600,466000,508375,487375,500750,483037,474025.9,NA,453461.5385,515882.3529,525950,557525,594025,573250,536000,516250,531250,554400,566850,545000,NA,523846.1538,527941.1765,528000,534125,537625,559650,574850,585700,593800,588500,NA,549230.7692,577058.8235,639550,638700,685250,702750,724050,690900,700750,719250,686900,689100,NA,781846.1538,801647.0588,845600,796500,768000,738300,750650,746800,716250,715750,NA,664615.3846,647352.9412,751400,732850,776125,782125,803500,815750,774150,769100,774950,742050,732750,764000,843500,831750,817250,827000,919000,910000,890250,788750,723175,NA,NA,655500,745794.1176,831475,778850,749750,756000,741025,713225,NA,787307.6923,NA,NA,NA,688000,665647.0588,694200,746950,751050,762050,786000,781050,763350,NA,707230.7692,721470.5882,NA,757193.8462,710968.4706,760602.8,733250,NA,784200,788550,756200,NA,NA,755000,760294.1176,767150,750150,747950,665550,652700,697250,681500,695450,NA,NA,7e+05,655882.3529,NA,786538.4615,920294.1176,858750,NA,780230.7692,768235.2941,NA,NA,NA,855000,853235.2941,985950,959450,975600,NA,953730.7692,987058.8235,1020500,NA,NA,1250000,NA,996153.8462,1070000,NA,1175000,1057352.9412,NA,1196538.4615,1167117.6471,NA,NA,NA,1380500,1394911.7647
"Excelsior",194117.6471,192800,195025,194575,185375,NA,180846.1538,177294.1176,NA,180153.8462,197294.1176,NA,208000,204470.5882,NA,208153.8462,209411.7647,227150,228100,221450,223200,222600,219000,236750,227450,237225,241575,245750,248500,252450,262050,262250,265150,256150,259150,263800,263050,282850,292750,281850,283350,282600,289650,293400,311350,316350,309300,302000,324825,370675,369775,365225,352225,NA,364230.7692,372941.1765,374250,380000,NA,411923.0769,443529.4118,NA,394615.3846,401470.5882,414750,404050,384550,380600,NA,393461.5385,NA,406769.2308,412941.1765,414250,437500,447250,443300,NA,485000,487058.8235,449800,NA,NA,365000,426176.4706,448900,461350,469500,501650,507350,514500,519500,528250,537800,548200,543500,540500,554250,538000,565750,577250,570500,610250,626050,624950,NA,NA,660000,650588.2353,653900,712250,732350,702800,704450,678500,666250,678500,714000,NA,NA,775000,757352.9412,739500,NA,680000,671500,693725,705000,654700,676050,NA,NA,714500,723617.6471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520000,NA,NA,NA,NA,NA,NA,NA,460000,NA,NA,NA,NA,460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Richmond",NA,NA,NA,NA,NA,NA,336000,NA,356769.2308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416500,NA,NA,NA,NA,NA,395000,397352.9412,NA,NA,510000,430588.2353,NA,NA,458000,NA,NA,581000,NA,NA,NA,NA,NA,565000,NA,NA,649000,640764.7059,NA,723461.5385,NA,653846.1538,645588.2353,NA,NA,NA,NA,NA,NA,NA,NA,545000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860000,NA,NA,NA,8e+05,NA,NA,NA,790000,812352.9412,940800,896950,869750,NA,NA,857000,NA,NA,NA,NA,NA,990000,NA,NA,NA,NA,NA,NA,NA,865000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayview",NA,126153.8462,NA,143038.4615,NA,NA,125000,NA,105769.2308,NA,NA,135000,NA,158076.9231,150294.1176,133750,133000,NA,156538.4615,NA,160346.1538,155294.1176,NA,130076.9231,NA,NA,187538.4615,NA,195769.2308,166058.8235,169900,NA,178461.5385,NA,NA,185000,201470.5882,193800,211000,229200,214375,202875,220250,239725,235675,215750,221100,243500,254625,258625,251750,NA,NA,285000,294411.7647,305600,322900,NA,308076.9231,335294.1176,333500,342750,351250,333500,335750,NA,NA,405000,357941.1765,NA,NA,328000,NA,368769.2308,363941.1765,NA,388923.0769,NA,4e+05,393529.4118,NA,389384.6154,NA,424500,419705.8824,437900,422000,413850,402000,396450,431750,458300,NA,NA,NA,465000,487941.1765,493400,481175,481425,487650,521075,NA,526923.0769,549411.7647,532500,536500,554750,570500,588000,564100,607400,653750,623750,602250,570500,551000,580450,NA,646923.0769,652058.8235,655750,630000,575050,580950,615500,NA,662692.3077,NA,536850,548600,550500,583500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274307.6923,283823.5294,275250,268250,269650,NA,NA,NA,NA,NA,NA,NA,378000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615500,NA,618961.5385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540000,NA,NA,NA,NA,NA,NA,NA
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187000,186411.7647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565000,NA,NA,NA,NA,1299500,1249500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440000,NA,NA,389000,NA,385923.0769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South of Market",NA,NA,NA,NA,208000,NA,205692.3077,NA,NA,306000,NA,NA,NA,NA,NA,NA,NA,NA,NA,360000,NA,NA,NA,NA,NA,NA,NA,435000,NA,342692.3077,NA,NA,NA,285000,NA,365000,NA,349769.2308,NA,389769.2308,NA,NA,469000,439588.2353,419500,417100,482750,492025,NA,NA,NA,NA,NA,490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380000,NA,NA,NA,389000,377823.5294,NA,441153.8462,NA,467500,469588.2353,NA,446153.8462,NA,NA,NA,370000,NA,420000,385000,382750,401000,NA,444000,480000,492350,474800,476850,463650,475350,488150,528000,543350,569250,599900,606750,588600,564500,565500,564500,618775,610925,617350,653700,683000,658950,617550,631500,644875,679025,716600,687500,653950,611050,626500,653800,666700,716500,692000,631900,621350,624200,640550,652850,704525,694375,724250,721550,738250,755950,773550,723050,729275,752075,733950,755250,721000,701350,706000,672250,672500,NA,504675,465050,512600,556375,544575,461700,408000,390000,NA,560875,612025,608500,578000,544600,566550,551950,593425,615975,583800,546500,463700,475450,539650,582250,538250,537225,479175,469050,NA,405000,416500,385050,395750,432250,505600,489400,489000,543750,556000,478000,483900,493100,515400,NA,467423.0769,494411.7647,540500,545250,596250,598850,609625,603375,699200,650800,629000,NA,NA,725000,725588.2353,746150,740550,719100,713750,706500,732650,730850,737000,727700,738300,748000,736750,760250,774500,830500,798800,801350,865100,934500,869750,NA,NA,901000,962176.4706
"Central Sunset",276500,286205.8824,NA,267615.3846,278823.5294,283700,287050,276700,272500,NA,282000,302647.0588,3e+05,302650,315350,321400,314200,312400,314000,319350,327200,334175,NA,338000,NA,362615.3846,364117.6471,394000,379750,374150,365650,365350,366500,NA,358230.7692,358529.4118,367100,373150,372675,381825,407700,414300,432000,418300,423200,418700,420050,NA,481538.4615,505882.3529,519500,NA,NA,NA,565000,557352.9412,NA,NA,NA,NA,NA,535000,566176.4706,536050,530700,NA,NA,NA,560000,NA,NA,NA,588000,600941.1765,599200,594750,580750,NA,593076.9231,6e+05,NA,590000,599941.1765,NA,605923.0769,612647.0588,621050,NA,NA,654000,682823.5294,674150,670450,667800,NA,712307.6923,NA,723461.5385,NA,746846.1538,749588.2353,NA,772269.2308,797647.0588,792000,783050,NA,807307.6923,NA,765461.5385,848823.5294,873800,NA,833846.1538,NA,790000,768647.0588,NA,786923.0769,794411.7647,NA,800153.8462,NA,NA,NA,840000,NA,NA,NA,NA,NA,NA,NA,NA,NA,890000,NA,883076.9231,NA,NA,NA,NA,NA,NA,828000,852705.8824,NA,828076.9231,NA,818192.3077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780000,771176.4706,NA,NA,NA,NA,NA,732000,NA,NA,NA,710000,NA,NA,NA,NA,NA,NA,NA,NA,NA,725000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,890000,NA,NA,NA,NA,NA,NA,NA,NA,950000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",NA,162000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173000,NA,193769.2308,186176.4706,NA,194576.9231,NA,205384.6154,NA,NA,NA,160000,186470.5882,192250,200800,198200,206500,209000,214900,210500,NA,NA,240000,240000,235000,242500,240200,252550,248000,241250,259750,261800,NA,289615.3846,293529.4118,NA,297461.5385,299411.7647,325150,327700,NA,327692.3077,347647.0588,NA,NA,NA,372000,347294.1176,NA,360769.2308,NA,376923.0769,NA,355153.8462,NA,NA,NA,NA,NA,399000,417235.2941,NA,414615.3846,402647.0588,NA,427115.3846,420705.8824,NA,NA,410000,NA,NA,465000,444411.7647,440250,443500,NA,450000,NA,446153.8462,NA,NA,NA,454000,478117.6471,498850,NA,534230.7692,551764.7059,NA,527692.3077,557411.7647,582450,570250,583250,NA,620384.6154,642647.0588,645500,NA,NA,625500,NA,648961.5385,NA,NA,647000,663470.5882,NA,682692.3077,653823.5294,NA,661230.7692,649411.7647,572750,547750,579250,NA,642307.6923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkside",264705.8824,272000,281775,279100,272025,267450,277675,275625,NA,279769.2308,284176.4706,287200,295250,304200,304300,NA,307923.0769,315882.3529,318500,307500,314250,NA,NA,NA,346000,339529.4118,332150,339350,356900,364850,357900,347400,341700,347650,350250,357250,367050,380700,390250,407250,405600,400450,398300,404400,413000,426650,415800,NA,476923.0769,488823.5294,479350,NA,499692.3077,509176.4706,530700,508700,476350,484075,NA,570307.6923,575470.5882,555950,NA,516307.6923,524500,531175,505000,NA,NA,538000,NA,545692.3077,564470.5882,584800,609600,585550,552300,558450,558000,556350,556200,NA,583076.9231,NA,586153.8462,602647.0588,603000,618250,623700,631050,649000,643350,635400,NA,NA,660000,664705.8824,NA,715692.3077,721176.4706,NA,718846.1538,717058.8235,703750,724100,758650,782250,793500,826975,837575,840950,844250,836000,821250,NA,760000,768529.4118,NA,NA,799000,787823.5294,792350,804150,824850,836575,830275,NA,NA,770000,NA,NA,848000,NA,928769.2308,883588.2353,851200,NA,NA,790000,NA,NA,NA,NA,810000,NA,771923.0769,NA,NA,NA,NA,785000,NA,NA,NA,NA,NA,695000,NA,NA,755000,NA,NA,730000,NA,NA,NA,NA,792000,NA,775076.9231,NA,NA,NA,730000,NA,NA,660000,NA,NA,657000,NA,NA,675000,NA,NA,NA,NA,625000,NA,NA,NA,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905000,849117.6471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918000,NA,NA,NA,850000,NA,NA,NA,NA
