"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",NA,165,174.2246,NA,180.3422,183.1977,NA,NA,149.8237,NA,181.186,181.3932,174.5827,188.2981,207.5889,219.2072,NA,196.2525,NA,173.9798,187.7643,NA,203.3432,NA,223.4389,233.6985,202.3427,242.1679,264.088,250.1607,NA,280.6398,272.4879,264.6122,278.5743,282.0568,265.6181,258.9004,286.2292,315.3625,352.5698,346.0122,342.4395,337.0893,341.0424,NA,232.4381,NA,406.01,434.0121,452.5709,444.5356,417.8677,463.8634,432.1102,431.9081,NA,NA,426.292629262926,459.4787,452.1745,425.9041,417.9856,405.1817,380.9169,NA,370.6787,370.2249,380.6971,396.144,NA,418.655,404.1551,408.7212,435.8144,420.4361,413.0722,NA,400.5348,406.9744,NA,391.0921,388.7996,394.4569,402.9664,420.9352,419.8907,444.4126,448.8831,449.3492,437.0494,451.1554,451.6137,449.6583,NA,503.5193,521.336,491.9308,502.8802,508.7785,519.6536,518.3484,507.8562,537.6339,497.2466,500.8265,526.0781,591.8214,584.8051,591.7503,626.1333,636.3733,607.0436,616.942,625.9243,664.5867,660.9242,NA,666.4013,643.848,636.3984,630.3104,631.7559,598.7177,607.3141,619.1274,573.9861,582.7131,626.2662,NA,651.8546,656.9415,633.725,636.1239,652.6784,630.9398,624.1173,685.7096,661.743,633.7153,626.3096,NA,NA,597.345132743363,609.1713,629.7394,640.6822,644.2272,704.7515,681.6597,633.5004,NA,NA,NA,NA,NA,588.872832369942,568.5401,564.5344,534.2283,NA,534.4219,522.834,533.8899,580.7818,NA,NA,665.217391304348,631.4041,611.1449,608.9436,588.2751,580.991,570.1195,511.5773,NA,551.5634,NA,598.0959,585.4302,589.4192,606.6299,576.4522,595.1022,579.9754,NA,NA,619.101123595506,595.6871,NA,NA,579.710144927536,578.1449,NA,737.1655,746.7336,715.4038,667.7673,650.0963,694.9368,656.9125,671.1587,NA,716.8913,677.0544,699.6705,749.9289,766.1792,739.6997,765.085,803.388,841.5072,NA,NA,890.66918001885,913.9119,905.8542,914.3385,901.0893,874.9025,856.9644,899.3577,919.518,937.4189,NA,NA,NA,964.408725602755,1047.8548
"Bernal Heights",199.9639,197.9637,190.1546,195.1673,197.7275,178.0487,186.7323,NA,191.8401,164.3498,158.4606,171.9321,189.272,188.5212,186.1804,194.0448,192.5189,195.2619,199.2415,206.9139,204.6545,188.8764,211.0373,224.1608,241.896,230.496,235.5962,237.9115,257.7855,284.9412,260.7221,251.9194,249.9948,256.7974,NA,237.9912,258.7722,265.2988,275,274.989,287.4649,295.2093,306.6969,301.8839,294.7018,293.914,265.9073,267.4664,309.8368,331.4938,373.5573,367.7931,408.9415,386.773,390.9218,392.7866,412.0297,391.4848,375.7048,397.8348,430.1004,418.6444,390.3282,395.3361,404.5226,382.5663,366.5956,367.798,385.7795,NA,333.7877,412.6615,432.2057,475.8964,447.8744,438.2875,437.8492,449.2461,427.6817,427.2154,410.2149,382.6068,NA,407.4786,454.5028,440.0882,440.7254,446.6771,478.7412,465.0883,459.4997,448.2397,473.9074,NA,515.3846,548.0387,547.2713,526.3319,552.6912,542.024,572.7683,570.4206,564.5123,572.4259,559.3179,536.4918,NA,598.0384,622.0039,687.7871,688.0469,693.4596,666.695,627.1681,588.0069,605.5232,630.6779,NA,565.501,559.5405,628.1601,608.5024,619.6501,677.043,691.6982,635.96,634.9628,635.1493,605.0615,569.8212,612.8145,634.3472,625.5821,620.2037,673.9415,704.1488,744.4032,698.0243,687.5583,719.6539,627.3772,NA,NA,555.508474576271,608.7008,669.5731,663.0186,648.6541,631.3604,627.8743,654.8115,NA,621.4731,NA,NA,NA,608,601.6335,579.8273,593.9427,598.2345,604.6206,628.6402,600.9517,574.3999,NA,596.1802,609.5267,NA,599.2919,616.9203,574.6358,630.013,NA,628.1735,616.4421,598.9495,NA,NA,521.739130434783,524.6377,583.4035,569.5699,583.6452,520.0528,538.3292,556.7105,515.0517,539.827,NA,NA,516.666666666667,573.4203,NA,590.6619,606.3678,618.3955,NA,635.4962,577.6507,NA,NA,NA,629.60235640648,652.1128,790.473,761.4575,748.5304,NA,731.8995,866.0784,800.6356,NA,NA,903.571428571429,NA,836.5358,978.3896,NA,1006.8631,843.4295,NA,936.5434,1016.1215,NA,NA,NA,950,1084.9363
"Excelsior",166.5026,168.5534,165.7665,167.3346,161.9912,NA,148.0654,154.0854,NA,169.8635,154.4905,NA,168.4406,178.1631,NA,184.3785,193.7185,197.3711,195.1721,201.2486,200.9864,193.4729,176.513,185.1174,197.8958,196.2464,199.0955,204.2938,214.6695,213.0911,212.1449,197.9028,225.41,232.578,235.319,228.3797,212.2479,233.25,236.8516,233.4178,230.7576,255.2383,257.7209,252.3987,257.6245,244.9166,260.885,270.3149,283.913,288.8585,280.9069,309.0719,321.9909,NA,279.0502,321.8752,346.0987,319.4548,NA,279.4941,304.1137,NA,329.5075,335.3484,323.6025,356.4698,342.2999,336.1896,NA,302.8721,NA,418.212,372.1195,367.8867,385.6622,348.2919,340.6528,NA,384.5547,384.2965,376.2987,NA,NA,290,NA,346.423,375.8486,358.7131,370.1958,384.3636,408.579,398.8235,396.6282,421.2773,458.1836,467.6524,496.9091,507.9202,459.7665,477.4214,475.5207,465.5187,488.6552,507.7897,454.7366,NA,NA,411.471321695761,NA,555.4612,553.3586,595.0289,667.7332,578.5917,540.8195,499.0072,555.4677,607.8067,NA,NA,675,597.5891,580.3294,NA,602.8169,534.5897,563.13,606.3268,588.8369,561.885,NA,NA,445.269016697588,472.6869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.804597701149,NA,NA,NA,NA,NA,NA,NA,448.028673835125,NA,NA,NA,NA,396.47577092511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.412455934195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Richmond",NA,NA,NA,NA,NA,NA,188.029661016949,NA,190.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.024390243902,NA,NA,NA,NA,NA,266.666666666667,237.931,NA,NA,267.857142857143,260.8543,NA,NA,288.888888888889,NA,NA,317.486338797814,NA,NA,NA,NA,NA,329.292929292929,NA,NA,357.886904761905,357.9292,NA,404.2842,NA,335.9528,358.173,NA,NA,NA,NA,NA,NA,NA,NA,383.606557377049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440.336134453781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469.285714285714,NA,NA,NA,527.927927927928,537.931,578.0919,583.1775,561.8406,NA,NA,490.006447453256,NA,NA,NA,NA,NA,596.44128113879,NA,NA,NA,NA,NA,NA,NA,487.224448897796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayview",NA,97.7762,NA,93.8699,NA,NA,81.3793103448276,NA,82.7713,NA,NA,98.7983978638184,NA,105.9317,107.2762,118.5625,133.1482,NA,127.4237,NA,122.1163,120.0885,NA,124.4018,122.5064,NA,141.3566,NA,151.8387,142.0419,129.7302,NA,142.89,NA,NA,137.20703125,147.62,149.5119,162.4917,168.5387,181.7657,182.8929,172.7637,188.6525,167.6572,173.5955,164.1351,180.045,183.4923,196.5314,204.9048,NA,NA,234.433971774194,238.748,235.5926,234.039,NA,258.9933,245.1276,220.9904,NA,247.8847,286.4083,289.3046,NA,NA,253.846153846154,263.5074,NA,NA,292.792792792793,NA,288.2168,300.1157,NA,297.8122,NA,328.0631,308.7502,NA,305.8661,NA,335.189,329.3737,296.8727,280.858,298.3372,326.6841,347.8311,318.0403,338.4689,NA,NA,NA,317.037037037037,352.3271,375.6272,376.1852,394.1657,370.8173,382.6664,NA,452.6413,435.0596,438.9447,419.2808,425.2159,421.2069,434.5934,437.8097,436.1504,461.2819,438.0946,457.8049,427.3583,434.7306,484.7975,NA,558.908,547.9815,480.9111,467.0429,462.4455,437.1392,473.1916,NA,500.3403,468.1442,461.8791,429.492,463.0691,455.7601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.303,218.2108,218.6084,227.9021,214.3714,NA,NA,NA,NA,NA,NA,NA,289.923954372624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.812688821752,NA,410.7922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.625482625483,NA,NA,NA,NA,NA,NA,NA
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.5,257.9691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556.060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605.783866057839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732.08722741433,NA,NA,NA,NA,1295.30201342282,1231.5546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.222366710013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594.974446337308,NA,NA,615.102639296188,NA,589.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South of Market",NA,NA,NA,NA,207.630878438332,NA,210.7813,NA,NA,219.985621854781,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.273920174959,NA,NA,NA,NA,NA,NA,NA,330.827067669173,NA,304.0948,NA,NA,NA,314.975247524752,308.155,311.3012,NA,351.1492,NA,385.1448,NA,NA,364.797081623347,379.9129,383.3884,380.985,419.1649,449.9546,NA,NA,NA,NA,NA,498.251748251748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.030927835052,NA,NA,NA,396.130346232179,394.3977,NA,395.4303,NA,455.9729,484.1345,NA,449.2082,NA,NA,NA,428.947368421053,NA,401.951,399.5946,405.8984,409.4706,NA,433.2538,437.9892,434.3012,445.8847,466.9919,489.0981,487.0419,479.5966,473.3963,480.5731,503.8572,520.0305,533.7841,539.0388,546.6769,555.424,551.5647,522.9116,556.6335,590.4474,622.9222,613.0837,607.5715,663.0887,668.8476,661.6356,691.7728,700.5001,697.3656,697.3416,727.4552,693.2212,683.1404,674.7335,678.6234,669.2622,653.2455,702.518,756.1426,766.0209,750.159,706.2918,703.6896,711.5553,733.997,736.562,714.3909,715.4952,712.014,735.6351,749.8774,732.9407,723.2074,718.3441,732.3215,731.0548,707.5436,694.4317,597.7931,597.4075,620.1524,648.4577,665.762,584.1861,575.0076,520.8991,548.5577,582.3253,631.8991,631.9118,634.5905,633.5274,624.9942,617.3515,648.1586,638.1027,646.2042,630.1271,630.864,541.771,574.5414,590.8967,585.2455,544.9572,518.2749,480.4088,485.0373,NA,416.4054,446.6542,446.1842,472.6569,505.3464,546.8391,521.8938,509.4502,515.7432,525.9137,495.3501,523.561,542.372,561.8891,NA,508.3902,564.3099,602.9194,602.3032,574.1722,570.0267,629.4917,678.2861,663.7844,656.9959,646.6296,NA,NA,744.047619047619,688.1754,748.4902,761.1393,769.118,764.2215,794.3393,779.9542,779.2096,810.7238,813.9231,804.8364,824.7559,816.4349,834.002,858.9487,830.1225,820.352,819.5076,883.0741,894.9762,903.453,NA,NA,960.78431372549,1075.3556
"Central Sunset",172.602739726027,180.1289,NA,181.1923,178.2842,177.5643,180.1667,174.2468,174.3953,NA,191.1217,190.5831,193.2273,194.6581,190.0141,175.0176,184.554,196.8004,210.6186,212.3884,218.5734,212.4084,NA,224.0926,NA,216.8792,231.0061,241.114,228.4346,231.6153,232.2031,219.9112,230.7628,NA,206.6691,238.6546,242.6059,254.3534,266.7883,258.3767,274.8176,273.2989,266.8522,277.9493,284.1836,275.2989,271.5566,NA,338.5921,366.6565,340.3634,NA,NA,NA,332.938478747204,315.8697,NA,NA,NA,NA,NA,331.269349845201,310.8372,330.4285,325.0536,NA,NA,NA,330.92876465284,NA,NA,NA,333.913043478261,361.5378,395.8933,414.7949,425.1359,NA,425.9193,385.9584,NA,395.409,348.799,NA,318.6071,384.2449,390.3779,NA,NA,436.953807740325,399.1735,399.8811,418.6217,384.9825,NA,429.7507,NA,445.0564,NA,512.1499,473.7052,NA,479.2691,475.4584,484.8578,450.3904,NA,436.0671,NA,531.1839,524.3855,493.6952,NA,529.8551,NA,495.695,470.8442,NA,461.9501,439.9078,NA,410.5656,NA,NA,NA,526.077097505669,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.078014184397,NA,450.6472,NA,NA,NA,NA,NA,NA,472.222222222222,502.5587,NA,520.5115,NA,536.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.402555910543,478.2178,NA,NA,NA,NA,NA,504.827586206897,NA,NA,NA,486.301369863014,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.565217391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569.444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.545454545455,NA,NA,NA,NA,NA,NA,NA,NA,633.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",NA,142.980935875217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.950310559006,NA,159.0271,152.794,NA,155.8242,NA,154.4313,NA,NA,NA,158.371040723982,154.3957,160.8202,163.8713,161.6142,163.851,179.3368,192.5769,190.7899,NA,NA,203.349282296651,177.6994,190.1339,213.0165,226.3755,231.1147,205.4579,192.3955,194.4355,216.4708,NA,219.9179,246.0303,NA,283.4487,267.6853,240.5818,255.744,NA,244.3936,267.2358,NA,NA,NA,308.40400925212,283.3366,NA,283.7047,NA,294.7544,NA,266.3936,NA,NA,NA,NA,NA,298.651252408478,295.3373,NA,317.0367,311.642,NA,291.0665,324.2812,NA,NA,407.222222222222,NA,NA,347.310126582278,361.7067,369.721,381.0354,NA,334.3574,NA,361.9048,NA,NA,NA,244.541484716157,NA,404.1292,NA,437.7225,410.0722,NA,401.8723,414.402,479.0886,444.8091,455.5997,NA,486.6434,535.8607,535.202,NA,NA,524.193548387097,NA,550.2008,NA,NA,555.102040816327,492.542,NA,456.3049,502.8358,NA,551.2716,477.6364,NA,463.9407,459.2797,NA,402.3682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.051282051282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.557692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkside",165.5891,174.0377,189.5068,184.9417,190.1685,195.3676,183.1802,173.7169,NA,175.6055,184.332,188.9162,194.3417,202.3531,209.2781,NA,211.6033,220.7606,212.8407,211.6825,230.7118,NA,NA,NA,222.156398104265,219.2812,228.4985,246.7513,252.2778,246.3265,238.9948,238.3091,232.6132,224.816,254.088,276.2813,285.84,287.7922,268.1722,266.8664,271.3224,276.1395,273.1937,285.5949,289.3543,291.9405,294.5397,NA,308.403,279.1664,283.8167,NA,303.5181,334.7052,362.9188,394.2,362.4456,375.4854,NA,422.1601,366.9979,346.1286,NA,343.6364,365.4604,368.9199,387.0912,NA,NA,303.206997084548,NA,299.3905,339.2147,387.4994,383.5554,374.5612,386.9347,393.0272,349.7823,342.4794,388.0904,NA,370.9312,NA,418.2493,421.6692,400.9734,424.3598,462.4869,457.6496,430.6485,430.3831,442.1094,NA,NA,405.333333333333,447.1788,NA,431.3859,457.8873,NA,480.6591,478.3858,489.6979,512.6652,505.4771,496.0204,532.1687,568.6234,541.7067,527.5261,511.2932,517.9171,471.5023,NA,464.0707,492.8117,NA,NA,455.57441992077,486.5231,531.3868,564.4379,557.2986,555.0915,569.3048,NA,NA,573.643410852713,NA,NA,396.389324960754,NA,528.126,511.2634,549.8298,NA,NA,557.784145176695,NA,NA,NA,NA,542.950819672131,NA,575.4388,NA,NA,NA,NA,525.773195876289,NA,NA,NA,NA,NA,514.814814814815,NA,NA,517.591339648173,NA,NA,618.510158013544,NA,NA,NA,NA,495.036399735275,NA,500.0096,NA,NA,NA,503.355704697987,NA,NA,386.35142396561,NA,NA,487.364620938628,NA,NA,500,NA,NA,NA,NA,402.402402402402,NA,NA,NA,501.656726308814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540.089086859688,578.1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.406779661017,NA,NA,NA,595.409836065574,NA,NA,NA,NA
