"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.109834888729,NA,199.4926,224.2935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.707571801567,NA,NA,NA,NA,NA,261.904761904762,290.1015,NA,NA,NA,345.454545454545,337.344,360.9798,363.4763,353.9254,341.5118,341.5732,NA,232.683,NA,NA,NA,NA,NA,NA,532.030401737242,NA,NA,NA,NA,NA,482.708933717579,NA,NA,409.448818897638,399.9391,364.7378,NA,NA,NA,391.908975979772,NA,NA,409.722222222222,399.1239,NA,NA,NA,394.002789400279,NA,400.7318,409.4141,NA,391.0921,NA,NA,NA,414.651002073255,412.0775,441.055,448.927,449.4786,449.785,470.8794,471.5507,NA,NA,520.760028149191,521.336,491.9308,502.8802,518.929,526.759,521.3936,NA,564.0615,499.711,NA,NA,642.933049946865,592.2298,620.493,645.7342,635.747,602.8973,615.7402,631.6212,693.9643,681.8996,NA,685.6007,639.899,632.5523,613.6511,637.5596,626.56,617.534,619.0462,571.2064,574.3326,620.3998,NA,651.8546,657.1317,NA,642.9699,631.3289,615.351,620.3676,687.3745,649.0018,NA,NA,NA,NA,597.345132743363,591.3152,622.4657,638.4743,645.2324,NA,654.4087,619.8128,NA,NA,NA,NA,NA,593.869731800766,570.5976,565.2839,563.178,NA,547.7833,520.443,NA,NA,NA,NA,706.075533661741,648.228,NA,609.659,583.7104,562.3545,557.8314,NA,NA,545.9405,NA,596.409,575.2247,565.6493,589.0571,559.7256,587.4438,576.8558,NA,NA,NA,NA,NA,NA,716.133424098026,627.2,NA,785.200411099692,NA,713.033,688.2314,669.7549,703.9098,684.4443,NA,NA,716.911764705882,NA,727.593,759.0437,783.1217,756.3447,774.1246,796.7821,804.0914,NA,NA,882.61253309797,NA,890.8956,911.5426,912.5263,NA,NA,NA,920.57761732852,NA,NA,NA,NA,964.408725602755,1007.9692
"Bayview",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.842751842752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.6969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605.783866057839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.901960784314,NA,NA,NA,NA,1295.30201342282,1231.5546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.222366710013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594.974446337308,NA,NA,615.102639296188,NA,589.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South of Market",NA,NA,NA,NA,207.630878438332,NA,210.7813,NA,NA,219.985621854781,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.273920174959,NA,NA,NA,NA,NA,NA,NA,330.827067669173,NA,304.0948,NA,NA,NA,314.975247524752,308.155,311.3012,NA,351.1492,NA,385.1448,NA,NA,364.797081623347,379.9129,383.3884,380.985,419.1649,449.9546,NA,NA,NA,NA,NA,498.251748251748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.030927835052,NA,NA,NA,396.130346232179,394.3977,NA,395.4303,NA,455.9729,484.1345,NA,449.2082,NA,NA,NA,428.947368421053,NA,401.951,399.5946,405.8984,409.4706,NA,433.2538,437.9892,434.3012,445.8847,466.9919,489.0981,487.0419,479.5966,474.6408,481.4442,504.2305,520.0305,533.7841,539.0388,546.6769,552.1262,549.2562,521.9223,556.6335,590.4474,622.9222,619.4002,611.9931,664.9837,668.8476,661.6356,691.7728,700.5001,697.3656,705.2519,732.9925,695.5943,683.9465,675.2978,678.8652,669.2622,653.2455,702.518,756.1426,766.0209,750.159,706.2918,703.6896,711.5553,733.997,736.562,714.3909,715.4952,714.6997,737.5151,750.6831,732.9407,723.2074,718.3441,732.3215,731.0548,707.5436,694.4317,597.7931,597.4075,620.1524,648.4577,665.762,588.8247,578.2546,522.2906,548.5577,582.3253,631.8991,631.9118,634.5905,633.5274,616.6499,612.3749,648.1586,638.1027,646.2042,630.1271,630.864,541.771,574.5414,590.8967,585.2455,519.3854,500.3747,472.7373,485.0373,NA,416.4054,446.6542,446.1842,472.6569,505.3464,546.8391,521.8938,509.4502,515.7432,525.9137,495.3501,523.561,542.372,561.8891,NA,508.3902,564.3099,602.9194,602.3032,574.1722,570.0267,629.4917,678.2861,663.7844,656.9959,646.6296,NA,NA,744.047619047619,688.1754,748.4902,774.6907,778.604,768.2869,794.3393,774.7754,775.5844,809.1702,813.9231,804.8364,824.7559,816.4349,834.002,858.9487,830.1225,820.352,819.5076,883.0741,882.8523,894.9662,NA,NA,960.78431372549,1075.3556
"Pacific Heights",263.9349,281.056,302.4629,313.8335,289.077,292.8041,294.3124,274.9886,275.4274,NA,258.5922,266.2194,286.269,318.9718,319.5651,317.5337,316.0848,304.0171,305.4595,310.8616,320.7778,352.8493,353.6089,382.5277,352.2051,377.4848,383.6583,391.0902,380.8719,382.9769,389.7941,372.7576,379.1179,NA,397.1892,414.52,451.2878,451.5008,443.2176,423.868,417.5417,NA,443.5239,454.5697,457.9846,465.3595,465.6637,511.5906,566.7695,582.2228,585.7244,584.1932,558.7206,NA,611.7606,612.4741,NA,NA,NA,600.250626566416,630.3772,634.6638,NA,631.9591,548.832,524.8884,517.2214,514.2186,516.2746,513.1477,512.9595,514.7106,525.7594,556.7598,590.5486,599.7216,572.1889,559.034,564.5346,573.2901,555.4123,NA,505.761,539.2983,545.6971,557.3337,536.5954,551.985,585.9531,588.3438,581.9893,567.0832,575.8878,569.2449,NA,616.4196,585.7058,619.887,644.9401,643.2006,610.3499,638.0196,661.2697,651.5249,670.9543,653.267,NA,750.372,745.8012,757.6286,779.4849,799.1218,780.7603,782.489,769.7908,788.1313,NA,NA,NA,736.170212765958,NA,835.8638,795.3538,800.4638,750.592,731.7774,741.2716,764.4874,NA,NA,NA,804.681784930505,792.6902,822.5811,832.3322,807.4135,NA,851.3742,853.0122,856.3793,NA,NA,NA,814.315352697095,812.0928,830.0134,817.2394,NA,824.0312,NA,NA,NA,NA,NA,NA,NA,NA,NA,795.454545454545,NA,NA,736.918604651163,748.2275,765.9545,721.3698,NA,NA,NA,NA,704.035874439462,713.7348,738.3891,694.7691,NA,NA,641.711229946524,696.2306,NA,NA,NA,NA,854.177754124534,805.7274,679.8752,NA,NA,NA,NA,NA,NA,NA,773.706896551724,732.8066,784.7032,801.5322,782.0185,784.9103,799.9549,819.6275,804.2706,776.1082,NA,NA,806.095406360424,846.2385,875.7245,857.4126,890.3779,NA,NA,NA,767.754318618042,NA,NA,NA,968.109339407745,949.7168,NA,986.2567,NA,1044.0268,NA,1034.0734,1016.9691,997.2701,NA,NA,NA,NA
"Nob Hill",NA,NA,NA,NA,NA,NA,265.142857142857,NA,NA,NA,NA,NA,277.442094662638,NA,NA,NA,333.913043478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583.333333333333,NA,NA,406.526548672566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.045643153527,586.8263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,886.95652173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.486692015209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002.97176820208,NA,NA,NA,NA,NA,NA,NA
"Noe Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459.363957597173,NA,NA,438.931297709924,NA,373.2699,NA,NA,450.391644908616,NA,NA,NA,556.930693069307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713.218820014937,NA,NA,NA,NA,NA,705.009276437848,NA,NA,NA,NA,NA,NA,721.868365180467,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.446428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777.181208053691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888.193901485536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Outer Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.511041009464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russian Hill",357.142857142857,NA,352.2858,NA,NA,NA,NA,NA,NA,NA,NA,364.696734059098,343.2947,NA,393.1577,NA,NA,364.210526315789,352.5051,NA,NA,NA,NA,NA,NA,NA,457.865168539326,428.227,444.444,431.7165,NA,511.3251,NA,NA,NA,541.310541310541,495.6604,NA,NA,NA,NA,NA,NA,430.247718383312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.63025210084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493.562231759657,NA,NA,NA,615.257048092869,NA,NA,NA,NA,NA,NA,NA,614.130434782609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804.140127388535,NA,NA,711.055276381909,NA,NA,NA,810.301507537688,NA,NA,NA,NA,705.882352941176,738.7827,825.3078,NA,NA,NA,NA,NA,782.982791586998,NA,NA,NA,NA,NA,NA,NA,NA,NA,767.813267813268,NA,NA,NA,NA,NA,NA,NA,689.655172413793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hayes Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.382695507488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.984126984127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
