"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.189602446483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.711974110032,NA,NA,NA,NA,505.263157894737,NA,456.7661,NA,451.0767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740.291262135922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bernal Heights",199.2846,195.2725,186.7748,195.387,198.7116,178.6851,186.7323,NA,176.112,155.9306,153.3402,170.4947,189.7086,189.0436,186.3462,193.9805,194.7876,196.85,199.9221,203.7317,201.2883,187.1247,210.6957,225.9816,248.5121,234.7813,237.1987,237.9115,257.7855,284.8404,260.6516,251.8892,249.9948,257.9484,NA,238.5225,269.1609,271.48,279.8713,276.5445,288.1316,295.2093,306.6969,301.8839,294.0672,281.841,257.5768,280.2947,321.2586,336.3889,373.5573,367.7931,386.4338,371.0176,384.1695,387.2761,408.1724,389.8317,NA,413.9337,441.0704,418.6444,389.6419,394.8557,399.692,379.329,365.2082,367.798,385.7795,NA,333.7877,365.7334,394.9433,457.3917,445.0724,436.4014,435.5368,424.4303,410.8952,420.1487,410.2149,382.6068,NA,406.324,406.5039,395.6513,417.4292,458.5954,490.4482,479.651,466.0957,451.0433,473.8816,NA,515.3846,458.7424,494.14,504.7077,553.4937,542.3679,572.7683,577.6338,555.3999,539.6499,573.9471,NA,NA,656.606741573034,613.9949,698.5493,686.9656,693.1006,696.0976,664.4132,612.8183,618.087,620.9287,NA,NA,580.623755806238,646.9235,631.1116,618.3358,687.3937,697.604,607.4164,611.7531,646.2647,634.1446,NA,652.1766,709.0575,661.3883,NA,667.3327,713.2413,750.8569,704.9416,709.866,734.1652,633.5963,NA,NA,571.360153256705,NA,NA,618.698441796517,607.1987,610.5069,621.02,NA,NA,581.395348837209,NA,NA,NA,614.591593973037,604.3477,613.9579,617.142,608.177,619.4037,679.1668,627.6761,572.8678,NA,NA,589.225589225589,NA,601.1766,601.9608,581.8052,NA,NA,684.292379471229,632.9849,598.9495,NA,NA,521.739130434783,519.8447,550.0549,NA,555.7098,504.5284,535.493,553.7816,528.4426,549.9039,NA,NA,516.666666666667,NA,NA,583.916083916084,620.5265,633.7413,NA,NA,NA,NA,NA,NA,NA,654.582074521652,813.3904,780.9039,NA,NA,712.225274725275,859.8351,798.3612,NA,NA,903.571428571429,NA,908.9343,1017.1441,NA,1120.2403,971.3289,NA,1002.9138,1037.5353,NA,NA,NA,NA,NA
"Excelsior",166.5026,168.5534,165.7665,167.3346,161.9912,NA,148.0654,154.0854,NA,169.8635,154.4905,NA,168.4406,178.1631,NA,184.3785,193.7185,197.3711,195.1721,201.2486,200.9864,193.4729,176.513,185.1174,197.8958,196.2464,199.0955,204.2938,214.6695,213.0911,212.1449,197.9028,225.41,232.578,235.319,228.3797,212.2479,233.25,236.8516,247.7521,247.5947,265.1399,260.8636,251.6421,256.821,244.5061,260.885,270.3149,283.913,303.2875,291.0072,313.4006,321.9909,NA,279.0502,321.8752,346.0987,319.4548,NA,279.4941,304.1137,NA,329.5075,335.3484,323.6025,356.4698,342.2999,336.1896,NA,302.8721,NA,418.212,372.1195,367.8867,390.339,351.5656,342.0558,NA,384.5547,384.2965,376.2987,NA,NA,274.568195354378,NA,344.1082,375.8486,358.7131,370.1958,397.697,417.9123,432.0577,417.0922,430.0476,458.1836,475.8475,502.6457,510.3787,459.7665,477.4214,475.5207,465.5187,488.6552,507.7897,454.7366,NA,NA,451.527224435591,512.7204,542.1735,545.0888,595.0289,667.7332,578.5917,540.8195,499.0072,555.4677,607.8067,NA,NA,704.347826086957,609.6735,584.7316,NA,602.8169,534.5897,563.13,606.3268,NA,570.9242,NA,NA,445.269016697588,472.6869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.804597701149,NA,NA,NA,NA,NA,NA,NA,448.028673835125,NA,NA,NA,NA,396.47577092511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Richmond",NA,NA,NA,NA,NA,NA,NA,NA,177.313432835821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.666666666667,NA,NA,NA,267.857142857143,274.1784,NA,NA,280.909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.284046692607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.841121495327,NA,NA,NA,NA,NA,596.44128113879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayview",NA,97.7762,NA,NA,NA,NA,81.3793103448276,NA,82.7713,NA,NA,NA,NA,108.071748878924,NA,124.9396,137.8121,NA,136.2322,NA,124.7589,120.0885,NA,NA,120,NA,141.3566,NA,153.1876,147.7221,132.9433,NA,142.89,NA,NA,137.20703125,147.5754,154.5643,166.0357,170.0624,181.7657,181.84,172.0267,188.3367,NA,NA,155.895691609977,186.7414,NA,206.5179,208.6515,NA,NA,257.048092868988,266.3879,249.8901,233.1162,NA,NA,230.050323508267,212.9299,NA,254.5169,289.9584,NA,NA,NA,269.886363636364,270.1122,NA,NA,292.792792792793,NA,288.2168,NA,NA,299.333333333333,NA,316.7317,302.0671,NA,305.8661,NA,335.189,349.863,NA,296.4416,300.1704,324.4682,344.1967,NA,367.5753,NA,NA,NA,301.003344481605,345.725,339.5926,352.6445,372.0661,362.4098,400.4368,NA,462.506,421.3175,430.7681,418.8566,419.035,430.4468,441.9985,478.9622,461.9853,472.354,451.2445,497.8515,456.6268,446.5972,NA,NA,565.262076053443,547.9815,480.9111,475.3977,473.7631,442.9738,472.4239,NA,499.3903,NA,NA,NA,NA,402.349486049927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.050847457627,NA,NA,200.662251655629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Sunset",172.602739726027,180.1289,NA,181.1923,178.2842,177.5643,180.1667,174.2468,174.3953,NA,191.1217,190.5831,193.2273,194.6581,190.0141,175.0176,184.554,196.8004,210.6186,212.3884,218.5734,212.4084,NA,224.0926,NA,216.8792,231.0061,241.114,228.4346,231.6153,232.2031,219.9112,230.7628,NA,206.6691,238.6546,242.6059,254.3534,266.7883,257.7951,274.4105,273.1244,266.8522,277.9493,284.1836,275.2989,271.5566,NA,338.5921,366.6565,336.8037,NA,NA,NA,332.938478747204,315.8697,NA,NA,NA,NA,NA,331.269349845201,310.8372,331.2195,325.6072,NA,NA,NA,341.317365269461,NA,NA,NA,333.913043478261,361.5378,395.8933,414.7949,425.1359,NA,425.9193,385.9584,NA,395.409,348.799,NA,318.6071,385.5584,391.1594,NA,NA,436.953807740325,396.7896,398.4627,418.0138,384.9825,NA,429.7507,NA,445.0564,NA,512.1499,473.7052,NA,479.2691,475.4584,484.8578,454.0849,NA,437.8727,NA,NA,501.070663811563,482.4016,NA,529.8551,NA,495.695,470.8442,NA,NA,NA,NA,406.235238545111,NA,NA,NA,526.077097505669,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.078014184397,NA,450.6472,NA,NA,NA,NA,NA,NA,472.222222222222,508.0306,NA,522.6581,NA,536.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.088397790055,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.301369863014,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.565217391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",NA,142.980935875217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.350168350168,152.794,NA,155.8242,NA,NA,NA,NA,NA,169.93006993007,160.435,163.4708,166.7938,163.402,178.3714,188.9788,199.2461,193.7081,NA,NA,203.349282296651,177.6994,190.1339,213.0165,227.9845,232.2409,205.9406,192.3955,197.3149,218.4864,NA,219.9179,246.0303,NA,287.0093,269.5912,NA,283.6561,NA,279.8505,NA,NA,NA,NA,NA,297.6,NA,NA,NA,312.5,NA,NA,NA,NA,NA,NA,NA,298.651252408478,295.3373,NA,317.0367,313.9519,NA,NA,NA,NA,NA,407.222222222222,NA,NA,347.310126582278,363.5983,370.8465,381.5178,NA,334.3574,NA,380.0597,NA,NA,NA,244.541484716157,NA,412.2286,NA,444.7449,426.0307,NA,467.8627,447.1643,491.0235,NA,576.8762,NA,563.2919,563.6208,545.3146,NA,NA,594.871794871795,NA,566.5111,NA,NA,NA,NA,NA,NA,533.82084095064,NA,573.651,NA,NA,612.403100775194,NA,NA,429.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.74358974359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkside",165.5891,174.0377,189.5068,184.9417,190.1685,195.3676,183.1802,173.7169,NA,175.6055,184.332,188.9162,194.3417,202.3531,209.2781,NA,211.6033,220.7606,212.8407,211.6825,230.7118,NA,NA,NA,222.156398104265,219.2812,228.4985,246.7513,252.2778,246.3265,238.9948,238.3091,232.6132,224.816,254.088,276.2813,285.84,287.7922,268.1722,266.8664,271.3224,276.1395,273.1937,285.5949,289.3543,291.9405,294.5397,NA,308.403,279.1664,283.8167,NA,303.5181,334.7052,362.9188,394.2,362.4456,375.4854,NA,422.1601,366.9979,346.1286,NA,343.6364,365.4604,368.9199,387.0912,NA,NA,303.206997084548,NA,299.3905,339.2147,387.4994,383.5554,374.5612,386.9347,393.0272,349.7823,342.4794,388.0904,NA,370.9312,NA,418.2493,421.6692,400.9734,424.3598,462.4869,457.6496,430.6485,430.3831,442.1094,NA,NA,405.333333333333,447.1788,NA,431.3859,457.8873,NA,480.6591,478.3858,489.6979,512.6652,505.4771,496.0204,532.1687,568.6234,541.7067,527.5261,506.4488,514.526,470.0489,NA,464.0707,492.8117,NA,NA,455.57441992077,486.5231,531.3868,564.4379,557.2986,555.0915,569.3048,NA,NA,573.643410852713,NA,NA,396.389324960754,NA,528.126,511.2634,549.8298,NA,NA,557.784145176695,NA,NA,NA,NA,542.950819672131,NA,575.4388,NA,NA,NA,NA,525.773195876289,NA,NA,NA,NA,NA,514.814814814815,NA,NA,517.591339648173,NA,NA,618.510158013544,NA,NA,NA,NA,495.036399735275,NA,500.0096,NA,NA,NA,503.355704697987,NA,NA,NA,NA,NA,487.364620938628,NA,NA,500,NA,NA,NA,NA,402.402402402402,NA,NA,NA,501.656726308814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540.089086859688,578.1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.406779661017,NA,NA,NA,595.409836065574,NA,NA,NA,NA
"Noe Valley",NA,279.1667,271.7738,NA,NA,278.260869565217,NA,354.9023,322.3924,NA,NA,226.049515608181,267.7202,289.6994,327.1891,314.6636,318.754,297.9094,322.3366,336.1763,328.3105,322.5681,NA,300.9343,322.8578,333.6013,328.27,314.4482,342.5436,353.0632,371.7599,368.9617,327.0567,NA,447.3902,NA,466.4078,441.3812,428.947,444.4326,NA,454.4762,458.4385,449.5629,462.1753,NA,NA,639.097744360902,598.3835,632.5332,657.644,NA,592.7958,572.5152,NA,NA,NA,NA,NA,NA,566.430653894211,499.8882,500.0665,500.6495,NA,NA,NA,480.413895048041,460.9754,494.4674,545.5814,NA,527.2605,562.9412,NA,516.388,NA,NA,594.679186228482,568.564,578.8599,NA,NA,NA,636.363636363636,573.1822,619.0687,NA,613.0776,557.5354,588.1413,NA,604.8603,NA,NA,766.666666666667,754.5671,700.3614,649.2876,710.8994,682.3632,648.138,NA,653.7411,NA,NA,NA,689.626556016598,747.8053,829.5115,790.0165,834.2617,817.4752,NA,790.8959,697.6665,725.8648,NA,NA,747.619047619048,NA,756.5422,NA,793.8279,NA,NA,NA,NA,NA,NA,NA,739.827373612824,795.7403,803.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,772.727272727273,NA,822.5051,NA,NA,864.90939044481,NA,NA,NA,NA,NA,NA,NA,NA,718.143459915612,716.0687,721.9189,NA,NA,NA,NA,NA,NA,NA,845.89983489268,NA,NA,829.588014981273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758.597437626433,NA,NA,NA,NA,NA,835.185185185185,NA,NA,796.943231441048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011.30653266332,NA,NA,NA,NA,NA,NA,1159.38303341902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184.83412322275,1297.6404,NA,NA,NA,NA,NA
"Outer Sunset",NA,201.298701298701,NA,179.7102,167.5026,NA,NA,NA,NA,NA,NA,NA,230.21582733813,197.5328,NA,NA,NA,NA,223.122238586156,206.1455,NA,NA,NA,NA,226.5625,250.6893,250.4815,253.4866,226.7856,NA,NA,241.176470588235,251.0759,NA,NA,246.969696969697,252.9539,230.8429,234.5849,266.0844,270.3654,NA,295.8027,NA,NA,NA,361.246943765281,NA,NA,NA,NA,338.983050847458,349.6653,311.5659,317.6391,NA,393.8637,NA,NA,386.934673366834,NA,NA,364.120781527531,NA,305.9214,NA,342.5383,NA,NA,NA,NA,358.333333333333,391.0784,NA,432.9728,427.3696,418.2627,NA,NA,348.178137651822,NA,NA,NA,NA,414.468726450641,NA,432.0264,NA,NA,NA,463.215258855586,NA,NA,NA,NA,546.902654867257,517.0329,518.2528,507.3729,478.7632,458.335,483.8238,458.6044,505.0122,NA,NA,NA,NA,520.025839793282,NA,527.8044,493.471,523.6225,570.1336,NA,NA,498.430141287284,NA,NA,NA,NA,NA,525.806451612903,NA,553.7373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.359143327842,NA,510.1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
