"","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,31,26,40,49,44,27,28,39,34,45,61,59,62,48,61,67,62,83,74,82,66,78,87,89,107,73,50,79,68,96,111,87,81,122,141,114,130,121,120,165,90,83,64,83,84,93,84,155,140,133,174,173
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,16,NA,NA,15,14,15,17,19,19,16,14,15,15,17,21,18,24,20,31,25,19,17,33,28,22,17,15,17,21,17,21,26,29,36,34,26,32,31,31,28,30,33,23,37,27,32,32,30,38,39,44
"Excelsior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,14,24,14
"Central Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,20,19,18,12,11,13,15,23,20,26,20,25,24,13,15,26,29,24,22,20,20,19,19,21,NA,14,30,27,21,25,25,25,26,24,29,30,23,23,27,26,22,22,17,24,25,17,17,14,17,23
"Bayview",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11,NA,NA,12,13,13,12,21,29,31,43,68,47,42,46,47,61,89,87,79,69,25,36,32,21,16,14,NA,NA,18,13,16,21,18,20,12,19,13,NA,13,12,15,NA,13,13,13,14
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,41,50,36,38,25,18,31,35,51,76,89,67,94,101,104,96,87,110,100,111,113,132,119,175,220,167,108,131,139,161,174,142,106,116,135,129,109,125,117,175,154,133,95,109,68,60,71,81,69,74,87,95
"South of Market",NA,NA,15,19,17,23,62,55,59,67,42,66,70,77,37,43,40,30,45,55,62,77,69,113,103,111,103,110,164,178,159,168,218,216,264,340,221,86,124,136,156,140,121,131,141,169,215,231,240,199,310,299,283,322,202,205,195,178,204,226,283,258,278
"Central Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,17,21,19,13,18,NA,NA,NA,NA,12,19,14,15,17,28,30,23,21,21,20,20,17,18,13,23,20,NA,11,12,12,12,NA,12,20,18,11,17,22,13,NA,13,21,20,14,11,14,19,19,16,17,15,13
"Tenderloin",NA,NA,NA,NA,NA,NA,NA,NA,12,11,18,26,34,22,15,15,12,26,19,19,25,25,35,29,42,51,76,49,59,41,66,50,55,72,84,105,88,57,93,51,66,45,43,47,49,42,39,35,41,43,45,40,36,31,32,24,21,23,25,28,25,27,30
"Visitacion Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,17,13,NA,11,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,16,12,16,16,19,16,NA,15,11,13,NA,15,21,NA,NA,11,16,26,15,16,18,21,21,12,14,11,17,20,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Pacific Heights",NA,NA,NA,NA,NA,13,12,11,13,NA,26,42,42,40,36,35,32,41,38,54,57,44,37,51,62,69,75,56,69,77,87,69,66,75,108,132,81,58,102,98,89,112,105,96,98,135,128,122,114,96,139,118,118,105,103,78,90,87,100,96,87,103,106
"Nob Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,21,17,20,14,13,16,17,24,36,55,55,41,39,39,60,51,35,46,57,59,57,61,54,67,80,52,36,62,71,80,71,65,59,62,79,63,75,91,50,68,69,62,59,53,41,37,38,43,41,42,53,65
"Inner Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15,19,NA,11,15,11,13,NA,NA,16,13,16,23,23,18,16,17,19,15,15,21,23,31,29,25,12,21,19,22,17,24,21,27,21,22,26,25,20,30,27,26,25,17,15,19,19,18,16,15,16,12
"Noe Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13,11,12,13,19,11,18,19,16,22,23,19,24,32,35,26,26,32,41,29,23,26,29,44,47,49,23,27,51,57,71,47,41,39,42,38,44,47,37,53,46,40,52,53,45,42,49,51,55,49,59,65
"Outer Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,NA,14,16,17,15,NA,11,13,21,18,29,11,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"Portola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Outer Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,NA,NA,11,13,NA,NA,NA,NA,NA,NA,NA,13,13,16,NA,NA,11,NA,NA,16,NA,NA,NA,19,16,17,12,NA,19,19,23,26,24,25,23,21,23,12,15,14,12,12,13,19,16,22
"Inner Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,NA,NA,NA,NA,NA,16,16,17,13,18,24,24,21,31,31,19,12,13,20,22,24,18,17,23,18,18,26,27,27,36,25,16,23,17,14,17,13,15,23,30,30,32
"Outer Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,15,12,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
