"","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",80.07,82.79,81.33,79.42,82.79,85.23,87.5,84.42,80.11,88.56,87.13,84.72,87.79,90.55,91.38,89.57,86.13,88.64,92.16,92.59,92.78,91.12,86.1,89.53,91.07,89.76,87.26,91.34,93.42,93.42,93.73,95.15,96.61,96.46,96.38,96.66,97.3,98.87,99.47,99.7,99.14,99.44,99.66,99.18,99.74,99.89,99.85,99.35,98.21,97.85,95.09,77.25,63.88,50.11,37.79,31.49,7.58,4.06,6.87,4.38,6.8,9.49,11.76,25.28,39.29,46.97,80.87,76.95,83.57,88.68,83.1,77.7,80.59,67.98,61.79,57.33,57.48,68.27,60.05,73.99,79.75,83.14,90.31,88.33,87.24,89.91,95.46,95.88,96.02,95.99,95.37,94.96,96.85,97.74,97.63,95.62,96.53,97.05,96.42,95.62,95.26,96.56,95.32,93.17,88.76,77.96,68.82,79.34,70.82,56.04,53.69,50.49,42.48,28.69,29.69,29.75,29.58,46.71,46.55,37.12,44.62,51.4,54.91,56.05,58.02,60.6,73.41,78.28,76.34,80.19,66.26,62.22,58.36,44.88,35.11,25.62,19.73,25.1,17.94,8.04,5.24,3.66,5.03,2.42,3.01,3.88,2.91,4.54,8.39,8.18,5.1,9.77,20.09,19.15,27.64,60.04,44.53,53.97,58.64,52.66,48.48,40.6,42.7,49.15,31.92,37.09,32.2,26.43,38.34,29.48,34.54,47.7,43.13,56.25,55.47,41.32,63.72,56.4,66.18,60.28,61.46,82.86,84.86,85.13,89.79,82.77,92.29,94.75,93.64,92.36,81.73,92.99,94.05,95.71,96.94,98.04,94.97,96.12,95.57,95.83,96.28,96.16,97.14,97.21,96.71,97.4,97.66,97.23,96.47,95.32,94.25,94.32,93.63,93.27,93.7,92.96,93.15,93.15,96.54
"Bernal Heights",82.37,88.16,92.73,87.14,88.06,90.26,82.45,85.37,87.11,91.61,92.74,89.37,91.25,93.21,92.73,95.41,97.71,97.31,97.09,94.86,95.85,94.26,92.6,95.22,95.82,95.03,93.79,94.97,93.79,93.98,94.82,94.54,97.23,96.67,98.1,98.75,99.4,99.63,99.71,99.63,99.61,99.52,99.71,99.77,99.9,99.92,99.25,99.43,95.33,95.61,87.36,72.15,63.05,48.43,34.82,39.72,11.03,8.58,16.56,16.29,22.38,23.3,45.72,76.23,84.58,91.53,94.11,91.5,93.16,95.91,92.42,87.87,88.86,78.79,69.42,62.73,57.64,65.2,61.1,73.83,80.42,83.96,89.68,91.29,90.54,92.96,96.57,96.68,96.94,97.49,97.63,97.47,98.05,98.65,98.96,98.68,99.22,99.39,99.01,98.26,97.94,98.09,97.25,96.17,93.57,79.63,65.12,76.35,62.39,46.18,41.31,34.34,27.26,13.59,13.27,12.5,12.31,28.83,34.25,28.68,37.5,45.35,52.2,57.61,60.93,68.1,83.03,86.31,86.59,85.09,70.54,64.94,61.81,45.32,33.35,26.15,19.28,26.19,15.42,6.28,3.06,2.29,4.28,0.75,1.65,2.42,1.5,2.93,6.3,6.3,6.31,12.15,30.88,28.91,38.94,72.83,58.12,67.4,75.29,69.2,63.92,52.95,55.37,57.21,33.28,39.78,35.4,27.45,36.13,25.41,25.04,34.1,27.74,41.29,40.24,33.16,53.52,44.83,49.54,45.49,47.69,65.25,69.95,72.9,82.4,81.83,91.86,95.22,95.4,94.59,90.92,93.53,94.19,95.04,95.72,96.23,98.59,98.92,98.7,98.81,98.97,98.14,97.74,97.45,95.57,96.11,98.07,96.8,94.23,91.54,88.97,87.89,86.75,85.9,84.92,83.32,85.15,87.97,93.38
"Excelsior",61.93,81.82,77.63,69.98,75.52,88.5,90.64,93.2,91.84,97.99,98.36,98.25,98.97,99.35,98.72,99.06,99.15,98.87,98.93,98.41,98.67,96.25,88.37,93.3,96.19,93.87,92.63,96.61,97.23,97.65,99.24,99.51,99.54,99.44,99.65,99.86,99.91,99.95,99.92,99.91,99.86,99.66,99.61,99.53,99.75,99.99,99.95,99.94,98.95,99.27,93.8,79.64,77.91,78,71,84.17,56.22,42.55,65.3,69.05,81.14,84.18,96.73,98.83,98.69,97.04,98.8,97.47,98.45,99.1,98.84,97.17,97.34,92.29,86.2,85.02,84.11,90.75,89.38,96.19,98.11,98.15,98.58,98.15,97.81,98.83,99.28,99.15,99.41,99.3,99.37,99.15,99.33,99.63,99.74,99.46,99.52,99.67,99.13,98.72,98,98.37,98.09,97.35,95.53,85.79,74.14,88.04,79.35,63.33,66.75,69.42,61.38,38.6,34.35,27.13,29.15,55.16,52.28,39.27,49.88,58.12,59.22,54.07,45.69,44.61,57.92,63.06,55,56.73,30.06,20.58,12.7,5.41,2.33,0.86,0.73,1.12,0.84,0.58,0.41,0.17,0.13,0.11,0.13,0.15,0.24,0.71,1.7,1.92,1.62,2.8,7.93,7.54,15.75,52.51,30.46,47.3,56.72,47.8,41.23,27.79,35.88,45.75,18.37,21.79,14.35,9.05,15.72,8.73,8.32,14.69,8.77,14.66,11.98,3.48,16.15,11.48,22.12,15.09,17.92,40.47,48.1,55.25,70.54,69.5,85.15,94.5,94.93,95.55,93.89,96.06,96.75,96.92,97.1,97.85,99.18,99.29,99.4,99.61,99.5,99.48,99.33,98.9,98.47,99.07,99.37,97.13,95.32,92.84,85.61,82.01,76.33,75.62,75.33,76.69,83.75,90.03,96.63
"Central Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.21,96.13,96.87,98.03,95.36,90.68,91.06,81.74,72.46,63.06,61.29,67.95,61.13,69.38,75.27,77.97,86.63,90.14,90.91,92.44,95.67,96.32,97.47,99.5,99.31,99.19,99.27,99.19,99,98.17,98.93,98.7,98.17,96.45,95.07,94.16,90.34,87.63,79.69,58.53,45.13,59.64,47.61,36.56,34.74,29.8,26.23,16.63,18.34,17.46,18.79,41.23,45.25,40.99,51.13,58.63,66.21,67.76,66.29,70.85,79.3,80.28,78.17,76.17,65.57,61.47,59.26,45.32,37.18,26.21,19.64,26.59,21.52,19.64,19.04,18.78,17.65,7.33,10.23,10.01,7.85,10.42,13.91,11.35,8.22,12.76,23.77,20.01,29.58,53.45,35.22,39.82,39.97,36.07,31.61,26.37,29.09,36.55,17.9,22.77,18.57,15.36,19.48,13.14,15.25,22.75,15.99,25.19,29.02,19.07,41.19,34.66,49.2,42.96,46.4,67.46,70.63,74.68,84.54,85.84,93.03,97.22,96.96,96.85,93.83,94.62,94.99,95.11,96.11,96.74,92.95,94.49,96.36,97.32,96.87,96.03,95.95,96.25,95.07,97.02,97.9,97.9,96.98,96.28,94.08,94.55,94.56,95.99,95.11,93.82,92.53,91.32,92.94
"Bayview",58.38,67.72,57.12,62.99,60.19,71.65,71.13,71.94,68.91,83.23,83.01,82.28,91.36,95.7,95.56,96.37,97.12,98,97.03,96.17,98.68,97.62,94.14,96.29,96.61,92.81,92.24,94.67,95.07,96.58,96.84,94.81,94.71,97.76,98.04,99.12,99.58,99.5,99.88,99.46,97.94,97.21,95.75,94.54,94.94,96.99,96.71,96.02,95.43,94.91,91.85,83.91,83.15,82.79,77.11,86.28,63.53,53.45,65.78,66.52,74.5,81.99,90.87,94.58,94.73,94.53,99.64,99.28,99.61,99.64,97.76,94.63,94.74,87.02,81.6,77,76.23,84.05,84.96,90.99,91.63,91.87,94.63,93.82,93.93,93.66,96.45,96.12,95.18,94.04,92.82,93.14,93.06,94.96,98.24,97.22,98.65,99.32,98,96.06,96.81,98.38,98.57,98.3,96.92,90.76,82.37,91.7,84.96,76.61,79.79,78.93,71.92,57.07,47.8,45.73,44.57,62.06,62.62,52.09,55.53,55.08,55.1,52.76,46.04,48.57,62.99,60.96,49.51,42.79,24.86,20.67,16.98,11.55,5.59,2.53,2.06,2.11,1.21,0.5,0.55,0.21,0.76,0,0.05,0.31,0.1,0.39,1.13,2.97,3.81,8.27,12.13,9.08,13.44,31.7,18.5,22.77,30.94,23.81,22.82,17.42,19.57,25.81,17.84,23.05,15.72,11.92,16.36,8.57,9.75,20.9,19.6,26.89,25.37,12.44,20.83,16.72,22.08,20.12,21.17,38.7,39.87,35.51,45.05,40.37,55.2,72.71,79.67,85.1,87.28,88.49,92.26,95.21,96.65,97.72,97.11,97.4,98.03,97.93,98.17,99.23,99.21,99.18,98.84,98.89,98.6,98.05,97.54,96.46,95.78,95.13,92.43,89.23,88.81,89.27,91.2,93.06,94.41
"Downtown",58.96,70.99,74.63,63.25,72.29,77.89,84.14,88.15,84.42,90.86,93.58,92.95,92.3,93.41,98.79,93.51,90.82,89.43,84.62,91.2,94.72,94.81,92.49,93.23,95.55,90.45,91.84,93.7,93.33,93.33,94.35,94.07,93.42,85.54,88.23,88.79,89.25,90.27,96.85,94.25,94.16,97.78,97.31,96.01,97.13,97.22,93.88,97.57,92.25,93.33,93.15,82.96,76.56,71.96,61.95,51.94,16.95,11.81,13.26,19.57,13.58,14.21,21.81,28.69,29.31,28.15,72.36,53.61,56.93,66.31,57.52,52.43,59.14,39.69,35.7,37.26,43.29,57.1,51.17,63.62,81.03,83.66,89.11,92.26,91.39,94.1,93.23,91.59,92.07,90.81,91.39,90.04,91.68,90.72,91.49,89.18,93.43,94.3,94.98,96.43,95.36,95.27,94.4,92.46,91.59,82.32,72.46,86.56,80.07,63.95,64.23,63.3,62.74,52.09,47.73,44.11,41.89,58.48,52.18,44.95,47.2,57.67,63.72,63.18,58.57,54.33,65.61,73.56,58.66,58.66,45.85,43.71,39.25,28.93,16.17,10.31,13.72,23.08,21.15,16.7,18.44,16.26,19.84,5.85,7.22,8.68,8.34,15.05,32.42,34.91,32.76,31.81,40.76,35,39.98,61.82,42.81,48.19,49.79,36.67,14.8,6.48,7.23,9,6.14,7.74,6.73,6.09,11.69,9.68,11.02,21.04,18.53,28.13,29.55,23.12,38.48,35.98,46.08,43.04,50.13,70.23,74.23,76.98,85.74,84.07,91.49,93.99,95.41,96.83,92.53,97.91,98.41,98.66,98.24,98.41,96.53,95.79,95.54,95.21,96.2,96.94,98.02,97.44,94.88,95.54,94.36,93.95,91.87,90.13,87.4,83.75,78.44,78.36,77.53,74.65,75.48,75.25,81.8
"South of Market",67.74,82.14,82.14,79.3,80.75,94.88,93.99,88.77,82.85,86.02,88.91,92.96,95.84,97.86,96.29,98.59,98.87,97.36,98.2,98.03,99.27,99.38,93.7,93.57,92.44,74.44,75.13,78.72,84.46,84.89,84.3,80.6,82.66,84.34,81.35,81.82,90.84,99.06,99.72,99.48,99.39,99.11,99.11,98.73,98.31,99.3,99.34,99.32,96.99,95.64,86.46,65.14,59.73,57.91,60.33,53.17,27.49,2.79,3.83,3.55,4.85,3.63,4.54,16.84,18.96,13.74,41.32,38.52,48.94,62.8,56.93,57.61,63.35,50.41,39.47,36.42,36.24,52.78,51.37,70.97,80.9,84.59,91.61,92.39,92.68,95.52,97.57,97.45,97.16,95.6,94.73,94.36,95.56,96.46,97.78,95.45,95.17,95.95,95.29,94.76,95.76,97.35,97.57,95.92,93.83,85.6,73.63,85.44,77.06,60.89,56.64,54.31,48.72,33.73,29.48,27.19,26.64,46.06,44.31,37.51,45.08,53.89,57.64,56.2,53.92,50.79,67.64,72.53,65.71,67.58,50.56,49.63,45.2,30.03,22.07,15.65,12.34,18.76,10.94,6.31,4.66,3.44,5.32,1.46,3.01,4.97,3.71,5.62,7.77,6.58,4.4,5.88,14.04,17.69,26.09,58.37,38.32,47.34,55.45,47.3,40.32,35.69,39.45,49.1,30,32.67,23.94,11.63,20.63,10.3,11.54,27.87,25.49,38.43,37.5,22.18,43.31,37.26,47.51,40.31,45.19,66.55,73.03,79.46,88.98,87.47,91.49,93.61,94.8,98.11,73.56,97.07,97.33,97.83,98.17,98.28,95.34,95.4,94.2,94.64,97,96.58,96.98,96.43,95.47,95.97,98,96.86,95.18,94.22,92.52,90.83,89.6,88.52,89.05,88.65,89.22,90.77,92.97
"Central Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.73,95.63,97.5,98.66,98.12,95.65,96.85,91.92,79.8,69.66,67.17,81.8,77.64,92.66,95.71,95.82,98.58,98.97,99.09,99.34,99.77,99.77,99.75,99.67,99.49,99.4,99.44,99.73,99.71,99.47,99.67,99.63,99.14,97.93,97.29,97.27,96.84,95.25,92.67,74.82,40.69,66.93,37.05,13.31,13.15,13.05,10.97,6.87,7.22,8.53,8.55,20.7,24.04,19.78,34.89,58.01,71.76,73.16,66.48,70.86,86.36,89.89,86.47,85.97,66.75,65.01,59.21,32.7,13.16,7.05,5.19,10.65,5.42,2.88,2.11,1.76,2.55,1.51,2.75,3.39,3.85,7.04,15.01,16.7,16.7,31.39,57.35,52.23,64.21,91.63,72.09,79.63,77.98,65.53,49.22,24.81,25.38,35.04,6.95,8.62,4.34,2.1,5.93,2.38,3.54,9.04,6.11,10.63,9.92,4.19,16.07,12.87,21.6,16.09,18.16,49.3,57.49,70.38,87.41,86.45,95.75,98.47,98.7,98.98,97.62,99.55,99.69,99.67,99.72,99.8,99.2,99.22,99.12,99,98.75,98.96,98.59,98.3,98,98.28,97.55,95.36,93.86,91.86,87.99,84.37,82.63,85.68,87.44,87.2,87.54,90.45,94.74
"Visitacion Valley",54.66,65.48,70.91,77.34,81.57,92.39,88.19,89.97,89.39,95.96,96.81,96.74,96.27,98.39,98.74,98.09,97.21,94.53,93.85,92.55,88.68,81.21,67.12,68.96,78.28,79.03,79.4,91.42,92.82,98.23,98.86,99.84,99.81,99.86,99.72,99.91,99.95,99.93,99.98,99.98,99.88,99.88,99.95,99.7,99.86,100,99.98,100,98.4,99.35,91.4,70.8,79.08,83.37,85.62,94.6,62.36,50.2,84.84,89.43,94.42,95.02,98.93,99.75,99.72,99.26,99.8,99.42,99.62,99.56,98.63,97.21,96.66,90.73,84.42,84.28,86.57,93.58,94.3,97.82,98.2,97.82,98.08,97.94,97.8,98.64,99.19,99.07,99.16,98.81,97.71,95.82,96.96,97.45,98.26,98.23,98.84,99.19,98.49,97.57,97.37,98.03,98.09,98.7,98.38,95.48,89.44,94.79,91.99,82.2,82.6,74.76,58.46,36.93,33.54,32.44,31.06,55.81,54.94,43.6,50.43,52.21,52.21,56.29,56.38,53.79,68.44,66.71,56.2,52.73,25.04,19.24,15.43,8.26,4.16,2.01,1.52,1.86,1.15,0.75,0.52,0.37,0.34,0.34,0.49,0.71,0.51,0.8,1.17,1.57,1.97,7.64,27.39,29.2,39.21,69.23,51.97,60.29,64.31,53.23,44.34,28.31,20.6,25.57,5.63,10.23,6.8,5.51,8.03,6.51,6.6,11.71,9.74,13.57,12.66,3.46,14.54,11.14,17.94,12.4,11.77,25.65,36.05,50.21,74.84,76.52,90.66,96.09,96.2,96,91.42,98.57,99.23,99.37,99.43,99.63,97.91,97.91,98.74,98.85,99.25,98.65,98.97,99,98.31,98.14,98.22,97.19,94.61,87.41,81.21,76.16,76.22,76.56,79.67,81.76,85.12,88.53,98.82
"Parkside",89,96.53,97.39,97.68,98.07,99.54,99.11,98.86,97.64,98.87,98.21,97.55,97.31,98.23,98.29,98.86,98.04,98.44,98.46,97.97,98.68,98.26,94.68,98.13,98.44,95.99,94.9,95.2,97,97.19,97.22,97.56,98.65,98.57,98.51,99.83,99.83,99.8,99.92,99.99,99.83,99.57,99.69,99.15,99.14,99.7,99.82,99.83,98.69,99.1,94.05,72.71,78.03,78.5,75.76,83.39,33.87,11.08,35.12,37.02,51.29,52.38,84.14,97.71,98.65,97.75,99.46,98.4,98.81,98.92,97.18,94.2,93.92,83.73,71.13,63.56,62.24,75.3,68.87,86.6,93.07,95.36,97.89,98.7,98.81,99.31,99.78,99.76,99.68,99.33,98.92,98.79,98.83,98.4,98.53,98.36,98.83,99.81,99.74,99.48,98.44,98.68,97.73,95.48,93.4,80.32,59.17,81.12,63.51,35.1,29.16,25.67,20.01,11.58,12.86,13.7,14.79,35.78,34.32,25.71,41.1,57.49,70.48,73.25,69.22,67.33,81.9,82.98,77,76.83,52.31,48.97,46.21,24.61,10.44,4.97,4.18,8.56,5.97,4.97,3.34,2.53,2.85,1.47,2.32,2.36,2.1,2.89,5.01,6.23,6.27,17.7,40.66,39.24,55.28,91.51,80.25,88.54,90.99,86.57,79.37,54.82,53.79,62.55,20.87,27.43,16.91,6,9.96,2.3,2.34,4.18,2.03,6.04,6.52,2.41,13.63,6.65,14.16,10.82,11.81,37.59,47.97,67.76,87.23,84.27,93.72,97.52,97.66,98.79,96.58,99.1,99.45,99.65,99.72,99.74,99.8,99.5,99.11,99.17,98.18,97.87,96.92,96.02,93.7,95.59,95.72,95.68,93.62,89.86,84.97,84.1,82.63,84.15,86,86.82,90.08,93.9,98.2
