"","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01"
"Mission",6.0606,5.2133,5.6872,6.1905,6.867,8.4746,8.8608,11.6,11.1524,9.8859,9.8361,11.3924,8.8235,6.1983,5.098,5.0584,6.4151,9.2105,6.5502,7.7253,8.0169,6.0086,7.8431,4.878,3.4653,2.5253,3.5897,5.0505,6.9149,5.7803,4.7904,2.4876,2.4876,5,6.7114,2.8986,3.0612,2.1978,3.4091,2.8037,NA,0.813,1.6129,2.3438,3.7879,4,2.8846,1.0101,1.2195,NA,NA,3.5714,6.422,8.4112,5.8252,5.3571,7.8261,5.2632,5.7692,4.717,5.8824
"Bernal Heights",3.8889,2.1622,5.8201,9.8446,8.7156,8.0189,5.4054,8.1301,7.9051,10.6122,9.0909,6.7797,7.8838,8.0645,9.4488,7.0313,6.9597,7.5697,7.6613,7.1713,7.8838,6.1404,4.5455,3.271,4.1096,4.6083,5.0926,3.1963,2.6549,2.8302,2.139,3.7838,3.5714,2.5806,2.8777,4.2373,6.4935,2.4691,4.8193,0.9091,0.813,3.2,3.0769,3.3898,2.9126,4.1237,1.3333,1.3514,1.2821,4.8193,7.8652,8.3333,10.6383,8.3333,6.5217,7.2727,5.1724,1.8018,3.1579,3.3708,4
"Excelsior",4.8951,4.0268,3.6145,3.1056,7.2289,6.7901,5.4545,6.5089,7.4074,8.3832,12.9032,9.816,9.2593,7.9268,7.1856,4.6243,5.6497,6.2112,8.2353,7.3446,5.7895,7.0652,7.6433,6.4516,5.298,7.2464,5.7554,7.4627,6.338,5.6738,2.8777,2.0134,1.4706,1.5385,1.8018,1.9608,2.0408,NA,NA,2.1739,2.1739,5,12.5,10,20,12.8205,12.5,10.7143,3.125,2.9412,2.7778,5.2632,4.4444,4.0816,9.2593,7.5472,8.1633,5.6604,NA,NA,NA
"Central Richmond",3.6585,4.1096,8,10,10.7527,11.5789,11.7647,9.0909,7.563,11.215,11.1111,6.6667,10.8434,10.1266,7.8947,10.3896,10.4651,8.4337,8.1395,10.6383,9.2784,8.2474,6.5217,8.046,9.7561,9.0909,7.6923,4.9383,2.6316,1.5385,NA,5,7.4074,6,4.3478,2.3256,3.125,3.3333,2.9412,6.0606,5.8824,4.7619,2.5641,2.5,10.8696,11.6279,8.5714,2.7027,NA,NA,NA,NA,2.8571,2.5,2.2222,9.8039,16.9811,11.7647,6.8182,2.7027,3.3333
"Bayview",5.0926,4.7847,4.902,4.6512,6.8966,8.1301,7.9545,8.5714,8.0882,7.6655,7.8571,6.8841,5.7432,4.2623,5.102,4.1801,5.3797,5.9211,8.1571,6.3953,6.7227,5.2925,2.6163,2.3256,2.0115,2.4169,2.8125,4.4674,4.2254,3.1008,1.581,1.6129,2.8926,4.8889,5.9459,4.321,9.6154,4.3478,4.4444,3.6364,4.4776,2.7778,2.7397,5.8824,8.0645,5.2632,3.7736,5.2632,5.5556,5.5556,10.5263,5,3.7037,NA,5,8.0645,12.3077,10.1449,1.6393,NA,4.4118
"Downtown",8.3333,7.8652,11.828,17.0213,15.3846,16.8317,11.6505,14.433,10.4167,13.7931,16.2162,10.7143,16.3265,14,16.1905,19.0909,22.5225,14.9533,8.9286,7.8261,5.9406,6.3158,4.9383,3.7975,3.8961,3.8961,3.6585,2.5641,3.7037,8.7719,12.7273,8.3333,5.3571,5.5556,4.3478,4.5455,3.5714,2.8571,11.4286,7.5472,3.4483,1.6667,3.8462,6.383,4.3478,5,5.5556,2.7027,11.7647,9.0909,5.1282,2.5,4.878,7.1429,5,9.3023,2.2222,NA,NA,NA,3.3333
"South of Market",6.1372,6.4189,6.875,6.3063,7.563,9.3484,8.0332,9.6,10.7527,10.8333,12.2924,8.4175,9.3548,8.4375,8.9172,7.074,6.2874,7.619,6.7227,8.0103,8.3969,8.1152,5.5385,5.0157,5.4487,5.3968,2.623,3.1469,6.4151,5.5319,4.2918,2.9046,3.7975,5.0459,2.8736,3.2051,5.9829,6.2016,7.6923,6.5868,5.5249,3.4286,1.6393,5.6701,9.4241,6.9519,4.3478,1.2821,2.8571,2.3438,4.2857,4.6667,6.9444,6.135,6.0606,8.0745,8.6957,4.5752,3.2,4.4248,6.9565
"Central Sunset",1.6393,NA,2.9412,3.9474,4.7619,6.6667,6.4516,11.8812,10.2804,7.6923,8.0808,6.8966,1.1765,5.618,6.8966,7.7778,7.0707,4.902,4.5045,7.7586,9.9099,9.6491,9.5745,3.2967,1.1765,3.0612,2,2.1277,1.1765,NA,NA,2.7027,2.8986,3.0769,3.9216,2.5,NA,NA,NA,NA,4.4444,10.6383,6,2.1739,2.0833,2.439,NA,NA,NA,NA,NA,3.7037,3.5714,3.4483,7.4074,6.6667,2.8571,3.3333,NA,NA,NA
"Tenderloin",NA,NA,7.6923,6.25,6.25,5.5556,5.2632,11.1111,11.1111,5.8824,15.7895,13.3333,9.5238,8.6957,7.1429,6.8966,11.5385,17.6471,7.1429,NA,NA,NA,NA,NA,NA,3.8462,3.8462,5.8824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6667,13.3333,15.3846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",NA,0.9709,1.8182,4.0323,8.7302,11.2903,10.3175,9.6296,3.4722,1.5038,3.252,5.0847,5.0847,2.5424,3.4483,3.4483,3.0769,3.8168,4.8276,6.6225,7.8788,8.8608,5.4054,4.6053,5.2288,2.7586,2.0548,2.8369,3.9683,4.386,3.5398,1.8182,0.9346,2.0619,2.439,2.9851,7.4074,NA,NA,NA,NA,NA,3.125,NA,NA,NA,NA,NA,13.3333,17.6471,5.2632,NA,3.8462,9.0909,10,13.3333,24.1379,11.1111,14.8148,7.4074,12
"Parkside",1.1765,4.6512,9.2784,6,9.6154,12.5,5.6075,4.6296,8.1081,5.5046,3.8462,3,3.9604,2.8571,3.8462,4.386,3.4188,4.2105,3.8095,1.8519,4.5455,3.9216,4.9383,1.3699,1.3158,1.3158,2.8169,2.6667,NA,NA,1.4493,1.5152,NA,3.3898,3.7736,2.2727,3.4483,4.1667,3.4483,2.7778,2.2727,1.9608,5.3571,8.1967,8.4746,5.0847,3.9216,4.1667,2.6316,2.3256,2.439,NA,NA,NA,1.8182,3.5088,6.7797,5,1.8519,NA,2.7027
"Pacific Heights",6.25,4.6667,9.3567,13.8122,16.9082,19.4313,16.5138,16.8,16.6023,17.7419,15.4545,14.8325,8.8372,6.3158,11.0553,10.7317,10.7477,8.5859,6.5,6.8966,12.3077,14.2077,8.4746,6.2147,3.352,4.0609,4.902,6.6986,8.8372,5.6995,5,6.0302,8.3333,11.2994,9.3567,9.3168,8.8235,5.4688,4.8387,8.4967,8.642,12.1622,9.4891,9.4017,14.7826,11.7117,8.8889,5.618,4.0541,NA,1.2987,3.3333,3.8835,4.6296,3.3708,7.0796,11.0169,11.1111,9,5.9524,2.6667
"Nob Hill",4.3478,8.2192,7.4074,9.375,5.5556,6.0345,7.563,5.8333,14.4144,8,5.7471,7.2289,6.4103,8.8235,12.6761,14.2857,11.9403,11.2676,5.1948,10.8434,11.9048,10.5882,5.9524,3.5294,5.618,6.3291,5.8824,5.4945,6.8966,7.4074,6.4103,3.9474,2.7778,6.3492,3.9216,4.0816,3.0303,2.5,4.7619,6,8,11.3636,6.9767,7.4074,14.5455,19.1489,18.1818,11.9048,13.8889,10,6.6667,4.3478,3.9216,1.9608,4,4.3478,6.383,9.0909,5.5556,7.1429,7.1429
"Inner Richmond",3.2258,8.4507,8.9744,10.7143,8.642,11.1111,10,8.3333,7.4074,8.9744,9.4595,12.5,8.5714,2.9851,7.3529,10.6061,6.9444,8.9552,8.5714,11.9403,8.4507,11.2676,11.9403,8.0645,3.0769,4.6154,4.4776,7.5758,8.0645,5.6604,NA,NA,2.3256,2.8571,2.9412,3.125,NA,4,8,NA,NA,NA,2.381,2.2727,11.6279,11.9048,12.1212,9.375,3.2258,4.1667,4,9.6774,3.125,NA,5,8.5714,5.2632,8.5714,NA,3.5714,NA
