"","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",NA,NA,NA,NA,3.125,NA,NA,NA,NA,NA,NA,NA,2.7778,NA,3.7745,5.905,9.457,5.2715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3809,NA,4.8809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3158,NA,NA,NA,1.5152,NA,3.0861,4.9671,2.977,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8077,NA,NA,NA,NA,NA,NA,4.5454,3.1818,4.1414,NA,NA,NA,NA,NA,NA,NA,4.1666,2.9167,5.5978,3.0435,NA,NA,NA,NA,NA,NA,NA,NA,3.8462,2.6923,6.9231,5.8889,6.4,6.7795,NA,NA,NA,3.4602,5,2.9412,NA,NA,NA,NA,6.6666,7.6079,4.0588,NA,2,5.2462,3.2923,NA,NA,1.9231,NA,6.0158,12.0331,6.5263,NA,9.0498,8.3045,3.8235,15.1681,10,9.8413,10.7071,8.7122,10.1581,7.5198,3.5474,3.8068,4.9653,5.0559,6.9005,3.1818,NA,7.1429,5,6.6883,3.1818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.6912,6.655,NA,NA,NA,NA
"Bernal Heights",2,NA,NA,NA,1.9231,NA,NA,NA,1.8519,NA,2.5556,NA,NA,NA,NA,1.9608,2.7292,1.5937,NA,1.9231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8519,NA,NA,NA,NA,NA,NA,2.9412,NA,NA,1.7242,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,2.5,NA,NA,NA,4.5454,NA,5.0565,NA,NA,NA,NA,NA,NA,NA,3.5715,2.5,NA,2.6316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3256,1.6279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6316,NA,NA,NA,NA,NA,1.3514,NA,2.3285,NA,NA,NA,NA,4.1666,2.9167,7.5,NA,7.6923,NA,3.5691,5.6883,5.4818,2.5538,NA,NA,3.125,NA,NA,NA,NA,NA,9.5238,6.2745,7.8286,4.1,9,5.5263,NA,2.5,8.2718,12.4581,6.9565,NA,12.5,8.75,6.5278,NA,3.6111,NA,NA,NA,13.0435,NA,NA,12,16.7059,14.8,9.7,6.3278,8.5768,7.0343,5.604,2.375,6.0131,5.5263,16.0048,16.2121,8.7576,9.6923,10.557,9.9284,7.5775,3.4581,NA,NA,7.1429,8.5714,9.1883,4.2532,7.1329,7.6099,6.3141,2.5298,3.125,NA,NA,2.0833,NA,NA,3.2052,NA,2.3492,3.3808,2.039,NA,1.8519,NA,NA,NA,3.5715,NA,14.4689,6.8628,NA
"Excelsior",NA,NA,NA,NA,2.3809,NA,4.2857,2.5,NA,NA,NA,2.5,NA,NA,NA,NA,2.3809,5.5128,3.4066,4.6021,2.4138,3.1178,NA,NA,NA,NA,NA,NA,NA,2.1739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5715,NA,NA,NA,NA,NA,NA,3.3333,NA,NA,NA,NA,3.125,NA,NA,2.2727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6316,NA,NA,NA,2.7778,NA,NA,NA,NA,2.6316,NA,NA,NA,NA,NA,NA,NA,3.6765,5.5208,3.2708,NA,4.0486,5.6274,2.8483,NA,NA,NA,NA,NA,NA,6.25,NA,NA,NA,NA,NA,NA,18.1818,NA,NA,NA,6.4102,NA,8.3333,7.9562,15.4807,NA,28.9941,34.06,NA,NA,NA,NA,NA,NA,NA,NA,18.75,NA,NA,8.3333,23.0392,NA,NA,54.5455,49.1979,27.2159,25.6723,41.7708,28.9881,NA,NA,NA,NA,25,NA,31.4102,NA,NA,14.2857,NA,NA,NA,NA,NA,18.1818,NA,39.6987,28.8084,29.4231,19.4298,NA,NA,11.1111,14.3791,NA,23.0769,NA,16.7582,NA,28.9377,18.6274,7.9166,5.4166,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayview",5.1976,3.1818,6.2023,3.3871,3.3747,NA,5.7493,6.4778,3.5517,3.031,NA,2.504,4.4213,5.9689,6.0527,2.9677,5.2689,5.0882,4.8974,3.7884,4.3188,4.1018,2.0463,8.8889,5.8333,NA,NA,NA,1.8519,5.4629,3.4722,NA,NA,2.451,4.2361,2.5695,NA,NA,NA,NA,NA,NA,NA,7.6923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9172,NA,NA,NA,NA,NA,1.8519,7.5463,4.9306,NA,2.2727,NA,1.9639,2.368,4.3552,2.5,2.0187,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1.7857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5715,NA,4.0126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8421,40.3803,42.4013,28.8839,NA,39.1942,48.6275,NA,NA,NA,NA,NA,NA,37.1628,53.8462,54.6337,45.6593,32.967,NA,NA,NA,NA,43.75,36.1142,30.4896,38.8259,NA,46.5035,41.341,NA,NA,29.4118,43.4833,44.3939,43.9973,NA,45.0052,31.6096,26.9231,21.0839,30.522,31.9231,28.0339,33.1056,25.8333,19.4259,16.3762,22.7337,17.9925,15.993,20.0948,23.1048,25.7161,23.0454,23.0909,19.4,24.9894,32.5002,21.6416,16.109,14.0978,12.6184,20.3333,11.7083,15.4861,15.2778,11.3611,12.5278,NA,3.8462,4.5249,15.1923,13.4753,6.25,10.1623,9.697,8.394,3.3333,4.5715,8.75,NA,9.2948,NA,NA
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3333,NA,NA,NA,NA,NA,NA,NA,NA,6.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.993,NA,NA,5.4945,NA,NA,NA,15.3846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6667,NA,8.9744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0909,NA,NA,NA,NA,NA,NA,NA,NA
"South of Market",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6949,1.1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1905,NA,1.1905,NA,NA,1.6129,2.8532,1.6908,NA,NA,3.0303,3.0828,3.6655,1.7468,3.8859,3.4189,3.6968,1.6871,3.3547,4.2172,5.3655,12.7407,13.8824,10.1412,8.0255,6.7402,7.9963,10.4136,11.1384,7.6157,6.2963,2.8889,5.4118,7.0882,4.1235,7.6102,7.6122,13.2015,13.9678,10.9654,NA,10.6061,26.2121,26.0119,28.9091,14.1364,10.1299,8.5119,11.1905,7.819,7.7035,19.5148,17.1189,9.9933,5.4063,5.8984,8.75,7.1151,6.794,6.2762,14.0479,14.4707,8.3252,4.3835,4.9625,4.7621,5.5221,18.1982,14.6782,6.6742,3.7395,5,4.1766,4.0264,3.1763,4.9446,2.7522,NA,1.282,NA,NA,1.5625,2.7066,1.5978,4.0553,2.5,NA,NA,1.282,NA,4.3846,2.8,NA,2.1978,NA
"Central Sunset",NA,NA,NA,NA,NA,NA,NA,NA,2.6316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0909,NA,4.9351,9.2121,NA,9.0909,NA,NA,NA,NA,NA,NA,7.6923,NA,NA,NA,18.1818,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2632,NA,NA,NA,NA,NA,9.0909,NA,NA,25,17.6471,NA,NA,NA,NA,5.3476,7.3485,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,9.0909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",8.7789,NA,NA,NA,NA,NA,NA,2.6316,3.694,4.1691,2.0139,NA,NA,NA,NA,3.9216,NA,4.5715,NA,3.4524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3333,NA,NA,NA,NA,NA,NA,5.1282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8077,NA,NA,NA,NA,NA,NA,NA,3.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6923,5.3846,5.8791,5.8334,3.4048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2727,NA,NA,NA,NA,NA,30.7692,27.3756,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6667,33.1996,NA,NA,NA,NA,NA,NA,NA,8.3333,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3333,NA,NA,25,15.6417,NA,19.1919,NA,NA,33.3333,26.3305,NA,NA,18.1818,24.7877,NA,NA,15.3846,NA,NA,NA,NA,NA,NA,NA,NA,16.6667,NA,NA,7.1429,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1818,NA,NA,NA,NA,NA,NA,NA
"Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9412,4.2327,2.4041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6923,NA,NA,NA,6.4102,NA,NA,NA,NA,NA,NA,NA,NA,7.6923,NA,NA,NA,NA,NA,14.2857,NA,NA,NA,NA,7.6923,NA,17.1598,8.2353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8824,7.7698,NA,NA,NA,NA,4.9019,NA,NA,NA,NA,12.8205,NA,9.7633,NA,NA,3.9216,NA,20.7692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8824,NA,NA,NA,NA,3.5715,NA,NA,NA,NA,NA,NA,NA
