"","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",19.18,19.04,18.98,19.92,22.56,22.03,20.95,21.08,20.67,20.42,20.4,20.81,17.8,17.59,17.43,17.24,17.11,17.19,16.72,16.92,17.01,17.25,17.89,18.59,18.89,19.01,18.56,18.14,18.16,18.08,18.46,19,19.05,19.27,19.17,19.47,19.81,20.1,20.34,20.42,20.78,20.74,21.53,21.11,21.27,21.43,20.83,20.51,20.55,20.65,20.44,20.21,20.08,20.15,20.31
"Bernal Heights",19.17,18.89,18.29,20.28,23.67,23.01,22.13,21.79,21.09,20.85,20.62,20.94,19.45,19.03,18.68,18.87,18.57,18.83,17.27,17.42,17.82,18.37,19.3,19.99,19.85,20.08,19.9,19.82,19.78,19.59,20.78,21.98,22.58,22.21,21.93,21.55,21.55,22.04,22.65,22.98,23.06,22.72,23.22,22.79,22.91,23.07,22.1,21.43,21.43,21.41,21.2,21.01,21.28,21.49,21.7
"Excelsior",14.76,14.61,14.04,16.03,18.21,18.24,17.59,18.36,18.77,18.46,17.81,18.35,16.22,16.35,16.24,15.99,15.81,15.67,14.83,15.69,15.74,16.27,16.23,16.08,15.91,15.92,15.98,16.08,15.85,15.62,16.3,17.24,17.91,18.28,18.19,17.58,17.46,17.76,18.37,18.33,18.13,17.65,18.4,18.17,17.69,17.25,16.77,16.34,16.43,16.62,16.76,16.4,16.31,16.39,17.07
"Central Richmond",21,21.25,20.24,22.41,26.53,26.41,25.93,25.92,24.38,23.88,23.16,23.37,22.59,22.76,22.18,21.45,20.95,20.46,20.29,19.98,19.99,20.12,21.08,20.84,20.7,20.97,20.86,20.1,20.19,20.71,21.53,22.1,22.8,22.95,22.8,23.86,24.07,24.3,23.47,23.19,24.16,24.4,25.45,24.57,23.38,24.19,23.76,22.95,22.53,22.67,22.89,23.71,24.42,24.16,24.01
"Bayview",11.35,11.36,10.5,11.79,13.45,12.96,12.69,13.09,13.21,12.96,13.02,13.95,12.01,11.82,11.86,12.08,12.11,12.21,11.19,11.9,12,12.69,12.74,12.6,12.56,12.46,12.56,12.61,12.12,12.11,12.67,13.2,13.96,14.46,14.44,13.72,13.71,14.23,14.83,15.04,14.82,14.22,15.14,15.73,15.49,15.43,15.14,14.87,14.79,14.86,15.01,14.91,14.87,15.04,16.06
"Downtown",16.21,15.78,15.45,16.38,17.74,16.94,16.4,17.19,17.06,17.42,17.03,17.26,14.64,14.62,14.07,13.85,13.69,13.91,13.82,13.95,13.93,13.42,13.56,13.89,14.22,14.13,14.04,14.35,14.58,14.19,14.14,14.36,14.74,15.18,15.29,15.52,15.77,15.91,16,15.52,15.84,16.12,16.16,15.43,15.82,15.99,15.8,16.35,16.03,15.99,16.09,16.42,16.38,16.66,17.04
"South of Market",17.37,17.23,16.98,16.91,17.44,17.18,16.72,16.69,16.75,16.44,15.87,16.75,13.81,13.76,13.62,13.51,13.53,13.71,14.18,14.31,13.96,14.21,14.69,15.11,15.64,15.83,15.77,15.88,16.12,16.07,16.29,16.7,16.71,17.26,17.4,17.58,17.73,17.92,18.1,18.03,18.1,18.13,18.17,18.69,19.08,19.48,18.96,18.61,18.16,18.17,18.01,17.6,17.61,17.83,18.28
"Central Sunset",19.39,19.28,18.54,21.05,24.38,24.22,24.2,23.86,22.62,22.58,22.09,21.87,20.67,20.27,19.98,20.05,20.13,20.07,19.77,19.18,19.04,18.75,19.21,19.37,19.63,20.27,20.39,19.81,19.63,19.81,20.59,21.36,21.81,21.68,21.62,22.41,22.68,22.91,21.78,21.2,21.48,20.89,21.27,21.46,21.66,22.15,21.18,20.53,20.14,20.51,20.71,20.48,20.55,20.94,21.42
"Visitacion Valley",13.02,12.63,11.97,13.7,15.69,15.74,15.66,15.99,16.35,15.99,15.61,16.38,14.55,14.58,14.33,14.26,14.15,14.37,13.01,13.82,14.21,15.06,15.11,15.09,15.13,15.13,15.17,15.14,14.96,14.66,15.33,16.14,16.75,17.14,17.02,16.53,16.15,16.27,17.1,17.44,17.24,16.29,17.02,17.34,16.83,16.26,15.77,15.33,15.36,15.52,15.74,15.94,15.73,15.67,16.47
"Parkside",19.5,19.31,18.59,20.95,24.19,23.99,23.86,23.4,22.14,21.93,21.99,21.66,20.69,20.42,19.98,20.12,20.21,20.24,19.62,19.07,19.04,18.78,19.28,19.36,19.44,20.1,20.41,20.23,19.91,19.56,20.57,21.38,21.63,21.38,20.99,21.34,21.61,22.23,21.43,20.96,21.15,21.1,21.33,21.06,21.38,21.45,20.29,19.91,19.7,20.25,20.6,20.25,20.4,20.97,21.75
"Pacific Heights",26.9,25.87,25.8,26.06,26.52,25.49,24.47,24.85,24.24,23.94,24.21,24.94,22.5,21.95,21.11,20.67,20.42,20.45,19.6,19.84,20.53,21.16,21.89,22.4,22.82,23.23,23.59,23.52,24.17,24.42,24.18,23.84,23.93,24.25,24.21,23.89,23.84,24.07,24.85,25.38,26.05,26.2,27.54,26.41,26.12,26.72,26.03,25.61,24.12,24.03,24.17,23.41,23.28,23.82,24.84
