"","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01"
"Mission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997997329773031,NA,NA,NA,NA,NA,NA,NA,NA,1.00308166409861,NA,NA,NA,NA,NA,NA,NA,0.989247311827957,NA,1.0004,1.0015,0.9807,0.993,NA,NA,NA,1.04266666666667,NA,NA,1.04208416833667,NA,NA,NA,1.04636973764491,1.077,1.0483,1.0355,1.0467,NA,NA,NA,NA,NA,1.11415525114155,1.116,1.1347,NA,1.1594,1.1273,1.136,NA,NA,NA,NA,1.22446043165468,NA,NA,NA,NA,NA,1.09623430962343,1.0646,NA,NA,NA
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,0.965435041716329,NA,0.9881,0.9923,0.9967,NA,NA,1,NA,NA,0.973303670745273,NA,0.9938,0.9934,NA,0.9865,NA,0.9967,NA,0.9807,NA,NA,1,0.9904,0.9997,NA,0.9905,NA,0.9964,NA,1.0013,NA,NA,NA,1.04633781763827,NA,1.0434,1.0499,1.0765,1.0702,NA,1.0494,NA,NA,NA,NA,NA,1.18963486454653,1.1731,1.1694,1.1622,1.1524,1.1497,1.1499,NA,1.1399,NA,1.2322,NA,1.1552,1.199,NA,1.1891,1.1227,1.115,1.1599,1.1694,NA,NA,1.20401337792642
"Excelsior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00829264685782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997329773030708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10909090909091,NA,NA,NA,NA,NA
"Bayview",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979899497487437,NA,NA,0.989051094890511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07651715039578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South of Market",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98946009894601,NA,NA,0.934891485809683,0.9617,0.9662,0.984,NA,NA,NA,NA,NA,0.946540880503145,0.9569,0.9645,0.9657,0.9826,0.9957,NA,0.9826,0.9746,0.9871,0.9891,0.9952,0.9979,NA,0.9766,0.989,0.9874,0.9943,0.9984,NA,1.0007,1.0047,1.007,1.0041,1.0013,NA,NA,1.02857142857143,1.0471,1.0662,1.0663,1.041,1.0243,1.0397,1.025,1.0291,1.0204,1.007,1.0228,1.037,1.0524,1.0455,NA,1.0563,1.0564,1.0333,1.0348,1.0178,1.0136,1.0081,NA
"Central Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01889534883721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visitacion Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985221674876847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989399293286219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.113074204947,NA,NA,1.0816,NA,NA,NA,NA,NA,1.11446540880503,NA,NA,NA,1.14893617021277,NA,NA,NA,1.13484646194927,NA,NA
"Pacific Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965911794871795,NA,NA,NA,NA,NA,NA,0.977272727272727,NA,0.9948,NA,NA,NA,0.993311036789298,NA,NA,NA,0.989637305699482,NA,0.9577,0.9704,NA,NA,NA,NA,NA,NA,NA,0.965665236051502,NA,0.9953,1.0027,0.9981,0.9934,0.9958,NA,1.0627,1.0336,0.9844,NA,NA,1.03485838779956,1.0473,1.0248,1.0539,1.0575,NA,NA,1.024,1.0359,NA,NA,NA,NA,1.10027855153203,1.1236,1.0875,NA,1.0663,NA,1.0522,1.0839,1.0456,NA,NA
