"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Neighborhood","Jefferson Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",629,3,0.9525,14.7541,115.5,10,9.09677419354839
"Neighborhood","Lake View","IL","Chicago-Naperville-Joliet, IL-IN-WI",508,3,0.9685,12.5641,108,3.33333333333333,9.09677419354839
"Neighborhood","West Lawn","IL","Chicago-Naperville-Joliet, IL-IN-WI",771,3,0.9921,15.7658,116,4,9.09677419354839
"Neighborhood","South Loop","IL","Chicago-Naperville-Joliet, IL-IN-WI",733,3,0.9839,8.8068,120,2.66666666666667,9.09677419354839
"Neighborhood","North Center","IL","Chicago-Naperville-Joliet, IL-IN-WI",2370,3,0.9763,8.5847,105.5,0.666666666666667,9.09677419354839
"Neighborhood","Streeterville","IL","Chicago-Naperville-Joliet, IL-IN-WI",3826,3,0.9633,12.1447,139,8,9.09677419354839
"Neighborhood","Lake View East","IL","Chicago-Naperville-Joliet, IL-IN-WI",685,3,0.9638,12.4797,113,6,9.09677419354839
"Neighborhood","Albany Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",468,3,0.9628,14.5658,131,9.33333333333333,9.09677419354839
"Neighborhood","Scottsdale","IL","Chicago-Naperville-Joliet, IL-IN-WI",2357,3,0.9705,14.7059,96,2,9.09677419354839
"Neighborhood","Garfield Ridge","IL","Chicago-Naperville-Joliet, IL-IN-WI",967,3,0.9661,20,113,6.66666666666667,9.09677419354839
"Neighborhood","Near North","IL","Chicago-Naperville-Joliet, IL-IN-WI",1321,3,0.9609,9.5436,112.5,5.33333333333333,9.09677419354839
"Neighborhood","Edgewater Beach","IL","Chicago-Naperville-Joliet, IL-IN-WI",798,3,0.9537,15.25,113,8.66666666666667,9.09677419354839
"Neighborhood","Logan Square","IL","Chicago-Naperville-Joliet, IL-IN-WI",242,3,0.967,10.9557,102,1.33333333333333,9.09677419354839
"Neighborhood","Rogers Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",466,3,0.9661,14.8741,123,7.33333333333333,9.09677419354839
