"","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",5.1168,5.0118,4.8806,4.9856,4.8544,4.7232,5.0905,5.2217,5.0905,4.9068,4.8281,4.8281,5.0118,5.248,5.3529,5.5366,5.5104,5.5366,5.4316,5.9564,6.4025,6.7699,7.0323,7.216,7.0585,6.9798,7.1372,7.3209,7.2684,7.0585,6.8748,6.5075,6.3238,6.2188,5.904,5.5104,5.4316,5.3792,5.143,4.6707,4.7494,5.0643,5.2217,5.3529,5.0905,5.0118,5.0643,5.4054,5.6416,5.4316,5.5891,5.5891,5.4054,5.1692,5.0118,4.9593,4.9593,5.143,5.3267,5.038,5.0643,5.1955,5.0118,5.0118,5.5366,5.9302,6.1926,6.2451,6.9273,7.4259,7.4521,7.7408,7.7408,8.2131,8.7903,9.1577,9.1577,9.2364,9.4201,9.7875,9.4201,8.9478,9.2102,9.1839,9.2364,8.8953,8.3443,8.1868,7.9507,7.6358,7.2947,7.1897,7.3209,7.3734,7.5571,7.6096,7.3996,7.7408,7.767,7.6883,7.767,7.9507,7.8195,7.662,7.4784,7.4259,7.1372,7.2422,7.2684,6.8748,7.2422,7.1897,7.1897,7.216,6.9798,6.8748,6.8486,6.8748,6.6124,6.35,6.3238,6.1664,5.7203,5.904,5.694,5.4316,5.6678,5.6416,5.6153,5.4841,5.2217,5.1955,5.0905,5.038,4.7756,4.6969,4.5407,4.7756,4.8755,4.8496,4.9061,5.0434,5.267,5.3153,5.3878,5.4348,5.7246,5.7246,5.8255,5.6321,5.2873,5.2632,5.0205,4.7481,6.9414,6.8111,6.516,6.4416,6.4371,6.2218,6.1506,5.8726,5.7992,5.8934,5.2669,5.2669,5.3387,5.2446,5.1976,5.1608,4.9294,5.0196,4.7422,4.7067,4.593,4.5031,4.7522,4.834,4.8792,5.1409,5.4115,5.4115,5.5242,5.6119,6.0374,5.9473,6.0825,6.2401,6.2176,6.3528,6.5555,6.2627,6.15,6.15,6.0374,6.1275,5.8572,5.7671,5.4517,5.1363,5.0237,4.7984,4.4605,4.4379,4.3704,4.2577,4.3478,4.3253
"Bernal Heights",5.4882,5.4704,5.3991,5.4704,5.3635,5.3635,5.4348,5.417,5.3991,5.31,5.417,5.1675,5.3279,5.2031,5.3279,5.3279,5.3813,5.4882,5.809,5.7555,5.6308,5.5595,5.5061,5.7199,5.5239,5.5595,5.6664,5.5239,5.3813,5.2388,4.7755,4.8824,4.9359,4.918,4.9537,4.7398,4.7398,4.7398,4.5438,4.7042,4.5795,4.5973,4.4904,4.3835,4.2231,4.0093,3.8667,3.7954,3.6529,3.742,3.7598,3.9202,3.9558,3.8311,4.1162,4.2944,4.4191,4.5795,4.5438,4.6329,4.6507,4.5795,4.7042,4.4547,4.4726,4.6686,4.7755,4.8111,5.1853,5.5417,5.7199,5.9159,5.9694,6.1475,5.9337,6.0406,6.2545,6.1832,6.2188,6.0941,5.809,5.5773,5.5417,5.3279,5.221,5.0784,5.221,5.2031,5.114,5.1497,4.9002,5.0784,5.2388,5.2031,5.2922,5.31,5.2388,5.3279,5.2922,5.1497,5.0249,5.0071,5.221,4.918,4.7398,4.7398,4.5438,5.0606,5.3279,5.3813,5.7021,5.8446,5.9337,6.0941,6.1119,6.2366,6.2901,6.2545,6.2545,5.5595,5.31,5.3279,5.0784,4.9537,4.7577,4.5795,4.4369,4.0449,4.0449,3.8845,3.6885,3.7242,3.742,3.5816,3.2965,3.2787,3.49,3.4188,3.5752,3.6286,3.7927,3.8109,3.988,4.0762,4.1998,4.3402,4.5519,4.3931,4.543,4.5254,4.1563,4.2094,4.1379,4.1505,4.0445,3.9191,3.8111,3.7425,3.8322,3.9588,3.9407,3.9942,4.1202,4.1742,4.3587,4.4126,4.5969,4.5071,4.5071,4.4942,4.4763,4.3307,4.3307,4.496,4.6379,4.8163,4.6379,4.5649,4.5292,4.4191,4.4912,4.4555,4.2602,4.3494,4.385,4.2424,4.3672,4.1533,4.3137,4.385,4.4742,4.5276,4.4563,4.6346,4.5633,4.5989,4.5455,4.3672,4.2068,4.3137,4.2602,4.3316,4.2424,4.1889,4.1355,4.0642,4.0998,3.8503
"Excelsior",4.1335,4.0904,4.3703,4.3703,4.521,4.6932,4.9731,5.1023,5.4467,5.4682,5.4252,5.5759,5.4898,5.8127,5.7481,6.028,6.028,6.1572,6.3509,6.5016,6.3294,6.2002,6.3294,6.2217,6.2002,6.0926,6.0495,6.0065,6.071,5.9849,5.5113,5.5544,5.3821,5.2745,5.2745,5.1668,5.1453,4.8654,4.7363,4.5856,4.3057,4.3918,4.3272,3.9828,4.0258,3.8536,3.746,3.6168,3.5307,3.4661,3.4015,3.4661,3.5737,3.5737,3.6814,3.8105,3.7244,3.9612,3.9612,4.1119,4.1119,4.1335,4.1765,3.9828,4.0258,3.789,3.8321,3.8321,4.2626,4.3918,4.4564,4.521,4.6071,4.7793,4.93,4.9085,4.9516,5.1023,5.1238,5.2745,5.0592,4.9731,4.9946,5.0161,4.9085,4.8224,4.7363,4.8224,4.6932,4.5425,4.4995,4.3272,4.3272,4.3488,4.3057,4.2411,4.2411,4.2411,4.1119,4.0258,4.0689,4.155,3.8751,3.8967,3.8751,3.7675,3.7244,3.6168,3.746,3.7244,3.8536,3.8321,3.8321,3.6598,3.6598,3.4015,3.2723,3.0786,2.8418,2.7987,2.5404,2.6695,2.5834,2.5404,2.4758,2.5834,2.7987,2.9925,3.0355,3.0786,3.1647,3.1432,3.1432,2.9279,3.014,2.9925,3.014,2.9925,2.9767,3.063,3.0786,3.003,3.0459,3.1532,3.2175,3.239,3.3462,3.3462,3.6082,3.6727,3.5438,3.4794,3.4379,3.435,3.3705,3.2203,3.3705,3.3655,3.4512,3.537,3.2797,3.2369,3.1726,2.9582,2.9582,2.9153,2.851,2.8725,2.5295,2.5927,2.5927,2.5284,2.6784,2.6096,2.6096,2.8877,3.0802,3.3155,3.4652,3.3804,3.4667,3.3383,3.2527,3.1885,3.1671,3.1671,3.3169,3.0815,2.9317,2.9317,2.8675,2.8675,2.7605,2.6963,2.6963,2.6107,2.5037,2.4609,2.4395,2.4823,2.5251,2.6535,2.6107,2.5893,2.5465,2.6107,2.5893,2.6107
"Central Richmond",3.2841,3.4317,3.2841,3.321,3.4317,3.3579,3.6531,3.8745,3.7638,3.9483,4.1328,4.3542,4.059,4.0221,4.3911,4.3542,4.3911,4.5756,4.428,4.3542,4.2066,4.0959,3.9483,4.1328,4.1697,4.1697,4.1697,4.6125,4.6125,4.5018,4.5387,4.6125,4.9077,4.7232,4.7601,4.428,4.4649,4.428,4.059,3.69,3.4686,3.3948,3.1734,3.1365,2.952,3.0627,3.0996,3.1734,3.1365,3.2841,3.3948,3.4317,3.69,3.69,3.7269,3.6531,3.4317,3.6162,3.4686,3.5055,3.321,3.2103,3.2103,3.2472,2.952,2.7675,2.8413,3.0996,3.2472,3.1365,3.321,3.321,3.5055,3.5793,3.69,3.6531,4.1328,4.1328,4.2066,3.9852,4.1697,4.1697,4.3911,4.3911,4.2066,4.1697,4.2435,4.3542,4.059,4.428,4.4649,4.5018,4.3173,4.5018,4.2435,3.9852,3.9852,3.9852,3.8007,3.7269,3.6162,3.5055,3.2841,3.1734,3.1734,3.0258,3.1734,3.4686,3.6162,3.6162,3.69,3.4686,3.4686,3.4317,3.2841,3.4317,3.6162,3.4686,3.4686,3.2472,3.0996,3.0996,3.2103,3.2472,3.1734,3.0258,3.1365,2.9151,2.8044,2.8782,2.8782,2.7675,2.7306,2.6199,2.5461,2.583,2.7645,2.6539,2.6122,2.6858,2.6907,2.7116,2.6045,2.7136,2.6769,2.6769,2.6403,2.4569,2.3888,2.4623,2.5349,2.4982,2.4982,2.6789,2.7523,2.6819,2.9012,2.9692,2.9681,2.9315,2.8948,3.0713,2.924,2.9573,2.9476,2.801,2.7007,2.7372,2.6997,2.5771,2.686,2.8271,3.0446,2.8602,2.9678,3.0764,3.0402,3.1103,3.3635,3.4321,3.5405,3.6127,3.4321,3.3598,3.2165,3.3249,3.1803,3.1803,3.2526,3.3249,3.1803,3.0358,2.8912,2.8912,3.1442,3.2526,3.1803,3.1442,3.1803,3.0358,3.4333,3.4333,3.5056,3.4695,3.4333,3.4695,3.2165,3.1081
"Bayview",6.7525,6.9364,7.3043,7.5933,7.6458,7.5933,7.8297,8.1713,8.5391,8.4341,8.5654,8.2764,8.1713,8.5129,8.618,9.0121,9.1697,9.1697,8.9858,8.7756,8.5391,8.5391,8.2501,7.856,7.7509,7.3568,7.1203,6.516,6.227,5.8592,5.5964,5.0709,5.0184,4.9396,4.9658,5.1498,5.2286,5.176,4.8345,4.7819,4.4929,4.6506,4.7556,4.8345,4.5717,4.1776,4.1251,4.02,3.8623,3.6784,3.7572,3.7572,3.9149,3.836,3.731,3.7835,3.8623,3.9937,3.9674,3.836,3.9674,3.9674,3.9149,4.0462,3.9411,4.0988,4.2039,4.1776,4.598,4.4404,4.4929,4.598,4.9133,5.2549,5.938,6.4109,6.9364,7.4094,8.145,8.4603,8.3552,8.4078,8.4866,8.618,8.5129,8.4603,8.145,7.8823,7.5407,7.0415,6.3847,6.3847,6.4635,6.5949,6.7262,6.6211,6.4898,6.3058,6.0956,5.8066,5.7803,5.8854,6.1219,5.938,5.7278,5.5439,5.3337,5.1235,5.3337,5.5176,5.4651,5.4913,5.2549,4.8345,4.5192,4.5455,4.4141,4.2564,4.02,3.9149,3.836,3.6784,3.5733,3.4945,3.8098,4.0462,4.309,4.4141,4.7031,4.8082,4.9133,4.9396,4.887,4.887,4.9133,5.0184,4.887,4.9133,4.8044,4.7782,4.7819,4.692,4.7969,4.8493,4.7444,4.8231,4.8493,4.9017,5.1788,5.1262,5.1135,5.0613,4.8774,4.8114,4.8114,5.1341,5.3476,5.3706,5.3207,5.2721,5.1263,5.2657,5.1932,6.7292,6.8726,6.8487,6.8247,6.9444,6.9684,7.5244,7.2922,7.3373,7.3143,7.2136,7.3767,7.3767,7.1692,7.1952,7.2427,7.1934,7.1934,6.8737,7.032,6.9178,6.8966,6.6682,6.6454,6.3713,6.1886,6.0744,5.8004,5.6634,5.5035,5.298,4.9783,4.8413,4.6586,4.5901,4.2932,4.1562,4.179,3.9735,3.8593,3.6766,3.631,3.631,3.6538,3.631
"Downtown",6.6932,6.6135,6.3745,5.9761,5.9761,6.2151,6.0558,5.9761,6.2948,6.2151,6.6135,6.9323,7.251,7.251,7.012,6.7729,6.9323,6.7729,6.9323,7.0916,6.7729,6.8526,6.9323,6.2948,6.3745,6.0558,5.7371,5.8167,5.498,5.498,5.5777,5.3386,5.4183,5.4183,4.7012,5.1793,4.9402,4.7809,4.7809,4.7012,4.5418,4.2231,4.0637,3.8247,3.506,3.3466,3.4263,3.3466,3.2669,3.3466,3.1076,3.1076,3.3466,3.5857,3.6653,3.9841,4.1434,4.3028,4.4622,4.8606,5.1793,5.0199,5.3386,5.259,5.498,5.498,5.4183,5.259,5.3386,5.5777,5.7371,5.3386,5.5777,5.5777,5.8167,5.8964,5.9761,5.7371,5.6574,5.8167,5.9761,5.8964,5.8964,5.6574,5.498,5.498,5.7371,6.0558,5.5777,5.8167,5.8167,5.7371,5.498,5.498,5.3386,5.498,5.1793,5.4183,5.0199,4.7012,4.6215,4.2231,3.9044,3.745,4.2231,3.9044,3.745,4.0637,4.3825,4.7809,4.8606,5.259,5.8964,5.9761,6.4542,6.4542,6.1355,7.012,7.8884,8.4462,8.6056,8.6853,8.8446,8.6056,8.3665,8.3665,8.2072,8.3665,8.3665,8.0478,7.0916,5.8964,5.4183,4.9402,4.3028,3.9044,3.3333,3.254,3.3646,3.4429,4.6032,4.0848,4.6347,5.4988,5.8916,6.5252,6.9969,7.1541,7.5531,8.4186,7.9639,7.7176,6.9729,7.3831,7.055,6.3167,6.1576,5.4783,5.6419,6.0507,6.4595,5.9689,6.3778,6.9501,7.0261,7.9248,7.8431,8.0882,8.415,8.4829,8.2315,7.148,6.787,6.426,6.1372,6.065,6.3538,5.5476,5.6196,5.9798,5.7678,6.0562,6.0606,6.2004,6.2004,6.4888,6.7051,6.3446,6.0562,6.2725,6.2004,6.5609,6.633,6.9935,7.0656,6.5609,6.4888,6.3446,6.0562,6.3446,6.4167,6.5609,6.4167,5.8399,5.7678,5.119,4.9748,5.119
"South of Market",4.4382,4.3516,4.4165,4.4382,4.3732,4.2866,4.4165,3.6155,2.598,2.598,2.2299,2.1433,2.3382,2.533,2.598,2.6196,2.8361,2.966,2.9011,3.0959,3.031,3.2042,3.4207,3.5289,3.5289,3.7021,4.0485,4.0701,3.9619,4.0052,3.8536,3.6588,3.6805,3.3124,3.031,2.8145,2.5547,2.2732,1.732,1.6454,1.6237,1.6021,1.667,1.9485,1.8186,1.9918,2.0351,2.1866,2.4031,2.4681,2.6846,2.7928,2.9444,3.0093,3.031,2.8794,2.9444,2.8794,2.9877,2.9877,2.8361,2.9227,3.6155,4.1134,4.2866,4.1351,4.3299,4.3516,4.5897,5.1743,5.5856,6.3001,6.7114,7.4258,7.7939,8.1403,9.4609,10.5218,11.1279,11.4743,11.8207,11.6042,11.6475,11.3444,11.2362,10.7166,9.8939,9.5908,8.5949,10.0022,10.0888,10.8682,12.4919,12.8383,13.2929,13.4445,13.3362,13.7259,14.1806,14.2672,14.462,12.9682,12.5135,12.5135,11.3228,11.3661,11.3444,11.2578,11.8857,11.7558,12.1671,12.5568,12.4486,12.297,12.6434,12.5135,12.0589,11.7991,11.3877,11.1712,10.8032,10.8682,9.8939,9.3527,9.6991,9.8506,10.6084,10.2836,10.63,10.5001,10.197,10.0238,9.9372,9.4609,9.2011,8.9197,8.6516,8.4358,7.5728,7.3139,7.3355,7.4257,7.6507,8.2559,8.6449,8.9475,9.7255,10.0281,10.1622,10.0324,9.8637,9.8205,9.6042,9.1735,9.4548,8.6236,8.178,7.8469,7.4239,7.1066,6.747,6.4284,6.4496,6.3227,6.1246,6.1035,6.2738,6.1893,6.5695,6.1632,6.2881,6.1962,6.4482,6.6792,6.7435,9.5707,9.6754,9.799,9.7781,9.9937,9.9749,9.8285,9.728,9.8117,9.9791,10.1674,10.523,8.0335,8.3473,8.41,8.4519,8.6402,8.8912,9.1841,9.2887,9.2259,9.0795,8.7866,8.7238,8.5146,8.3473,8.4937,8.2636,7.9498,7.6778,7.1967,7.1967,6.9665
"Central Sunset",4.2761,4.1947,4.2558,4.0725,4.0725,3.991,4.0318,3.991,3.8078,3.8689,3.9503,3.991,3.991,4.2354,4.2965,4.5612,4.6834,4.9481,4.9277,5.0295,5.0703,4.9684,4.8055,4.9277,4.9277,4.7445,4.5612,4.5001,4.3576,4.3576,4.215,4.1539,4.0114,3.9096,3.93,3.6042,3.5227,3.482,3.3802,3.0747,2.9526,2.7082,2.7693,2.7286,2.6878,2.6064,2.586,2.6675,2.5657,2.5657,2.6268,2.7286,3.0136,3.1358,3.3191,3.482,3.5227,3.706,4.0725,4.1947,4.3168,4.5205,4.7445,4.7648,4.6019,4.4797,4.3168,4.0929,4.2761,4.2354,3.9096,3.8892,3.93,3.706,3.5838,3.4616,3.3802,3.3598,3.3598,3.482,3.4005,3.3802,3.5023,3.4005,3.3394,3.3394,3.3802,3.3394,3.3598,3.3598,3.3802,3.2784,3.5023,3.4209,3.2784,3.3802,3.2376,3.2376,3.2173,3.1765,3.1562,3.034,2.9118,2.9526,2.7693,2.7693,2.7286,2.5657,2.5657,2.4231,2.2806,2.2806,2.1381,2.1584,2.2195,2.1991,2.1788,2.1584,2.1381,2.0566,2.0973,2.077,2.0362,2.1177,2.3417,2.3213,2.3417,2.2195,2.2399,2.2602,2.2806,2.301,2.3213,2.2195,2.1177,1.9548,1.7319,1.7319,1.7333,1.876,1.8949,1.9262,1.987,2.1898,2.2506,2.352,2.5142,2.6156,2.6193,2.6802,2.7,2.5782,2.497,2.5579,2.5376,2.3955,2.3756,2.4153,2.4356,2.3945,2.3539,2.1916,2.11,2.3331,2.352,2.2912,2.2506,2.2101,2.1087,2.2096,2.1893,2.2907,2.3312,2.4939,2.4939,2.352,2.2101,2.3718,2.4524,2.5345,2.6358,2.4736,2.4534,2.4529,2.4934,2.3312,2.4123,2.4934,2.615,2.5137,2.4326,2.3921,2.2907,2.4123,2.4123,2.3718,2.3718,2.2502,2.2704,2.088,2.0069,2.0069,2.1083,2.0272,2.0677,2.0474,2.0069,2.088
"Tenderloin",5.0761,5.3299,6.0914,6.3452,6.0914,5.5838,5.3299,4.8223,4.0609,3.8071,3.8071,4.0609,4.3147,3.2995,2.7919,3.0457,3.2995,3.2995,3.0457,2.7919,3.2995,3.2995,3.0457,3.0457,3.2995,3.2995,3.2995,3.0457,3.8071,4.3147,4.8223,5.3299,6.0914,6.3452,6.3452,6.0914,5.5838,5.8376,5.8376,6.0914,5.3299,5.3299,4.5685,4.8223,4.3147,4.5685,4.0609,4.5685,4.3147,4.5685,5.3299,5.3299,5.3299,5.5838,5.8376,5.8376,5.8376,5.5838,6.0914,6.3452,6.3452,6.0914,5.3299,4.5685,4.0609,4.3147,4.8223,4.5685,4.5685,6.0914,5.8376,6.0914,6.3452,6.599,6.599,6.0914,6.0914,6.0914,6.3452,6.8528,6.599,6.3452,6.8528,6.3452,6.3452,6.0914,5.8376,6.3452,6.3452,7.6142,7.1066,7.3604,7.6142,7.1066,7.1066,7.3604,7.1066,6.8528,6.599,6.599,7.1066,5.8376,5.8376,4.8223,4.8223,5.0761,5.0761,4.5685,6.3452,8.3756,10.6599,11.1675,13.198,13.7056,13.7056,14.2132,14.467,13.9594,12.9442,13.198,11.6751,9.8985,7.6142,7.1066,5.0761,4.0609,4.0609,3.8071,3.2995,3.8071,4.0609,3.0457,3.2995,2.7919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8806,4.1791,4.1791,3.5821,3.8806,3.5821,3.8806,4.1791,4.7761,5.0746,5.0746,5.3731,4.1791,3.8806,4.4776,3.8806,3.8806,4.4643,5.0595,4.7619,4.4643,5.0595,5.0595,5.0595,4.7619,4.4776,4.4776,4.4776,4.1791,3.8806,2.9851,3.2836,3.8806,3.8806,3.5821,3.8806,5.6716,5.9701,5.3731,8.0597,8.3582,8.0597,7.7612,7.7612,7.1642,7.1642,7.1642,6.5672,5.6716,5.3731,5.0746,2.3881,2.0896,2.6866,2.3881,2.0896
"Visitacion Valley",3.8264,3.7978,3.7978,4.1976,4.3404,4.9115,5.0257,5.1399,5.5968,5.7967,6.0537,6.2536,6.225,6.225,6.4535,6.2821,6.2821,5.8252,5.8538,5.8538,5.4255,5.2827,5.2256,5.0543,5.0257,5.2256,5.1685,5.0257,5.0543,5.0257,4.8544,4.8544,4.7973,5.0543,4.9686,4.9115,4.7973,4.4546,4.3404,4.5117,4.3404,4.3118,4.169,4.0548,3.9977,3.5694,3.4266,3.4837,3.5123,3.5408,3.4837,3.4266,3.5694,3.6265,3.7693,3.7407,3.7978,3.8264,3.9692,3.8549,3.7978,3.9692,3.9977,3.8835,3.9121,4.0263,4.1119,4.2833,4.3118,4.3118,4.3118,4.8829,4.94,4.7401,4.683,4.9115,4.8544,4.9971,4.8829,4.9971,5.2827,5.197,5.3684,4.9971,5.1114,5.2541,5.454,5.2541,5.454,5.3398,5.6254,5.2541,5.0543,5.2256,5.0257,5.2541,4.9971,4.8544,4.7687,4.7401,4.3975,4.2547,4.0263,3.9692,4.0548,3.8264,3.9692,3.8549,4.1976,4.169,4.2262,4.169,4.2547,4.169,4.0263,3.8835,3.6836,3.6265,3.5123,3.2553,3.0268,2.9412,2.8555,2.827,2.7413,2.7127,2.9126,2.9983,3.1411,3.1982,3.2267,3.2838,3.3695,3.5408,3.3124,3.3124,3.3695,3.4552,3.5183,3.6041,3.5694,3.6131,3.5562,3.4424,3.3001,3.1294,3.3286,3.357,3.4453,3.303,3.1891,3.1891,3.1606,3.076,3.1615,3.1339,3.3048,3.4639,3.3788,3.2652,3.0948,3.4805,3.5654,3.339,3.3673,3.4805,3.5573,3.7832,3.7832,3.5704,3.6838,3.8527,3.9377,3.7457,3.9728,4.143,4.0295,4.0011,4.143,3.773,3.6879,3.7447,3.5745,3.4326,3.2908,3.2057,3.0922,2.922,2.922,2.8652,2.9787,3.0071,2.9504,2.8369,2.7518,2.695,2.6667,2.7234,2.695,2.6383,2.7234,2.6667,2.4681,2.2695,2.2979,2.3546,2.383,2.2695
