"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",223800,222500,220600,219500,220200,220200,220600,221800,223400,226200,230100,233000,235700,239700,244600,250500,256500,261300,263700,265400,268800,273900,278400,281900,284300,285700,286100,287000,288800,291800,296600,302800,308000,312300,315500,318600,324000,332000,340000,348100,356400,365800,377200,389300,400500,411400,422400,435400,448800,459900,470600,480900,487800,495500,505800,513900,517300,519500,523100,527100,527800,525600,524500,525200,527800,529900,523700,515900,516400,521900,523800,523100,525400,535700,547400,556700,565700,571400,572800,572200,569000,563700,559200,552300,544700,539200,537500,535500,532600,530000,533200,544600,558900,570900,581300,592900,606600,619500,630500,640300,649500,660100,672700,681800,689400,699300,711900,728300,742900,752200,757100,761800,763900,766200,770600,778000,784300,787600,788100,786400,787700,787600,782100,775500,775600,777000,773400,763000,754800,754100,761400,770800,776300,782600,794500,806600,811500,814200,815000,813000,808000,805200,801300,794800,785300,775200,765500,758100,752000,743200,735700,733100,726300,712400,700100,690900,680700,670100,660600,654600,652700,652300,653600,657700,663600,669200,673400,675600,676500,678000,679700,680800,680000,679100,679200,680600,683600,686400,684500,680900,682100,684800,685700,687400,691700,696800,701900,704200,704700,705100,705100,707500,714800,725200,735000,745200,757400,772500,786000,797000,808600,820300,830800,839600,850700,867100,886800,899800,906400,914100,926300,938400,952100,970000,989500,1008000,1025400,1040800,1054200,1063900,1076000,1089300,1100300,1111200,1124500,1135900,1150700,1171100,1188900
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244700,246500,245500,243400,241400,241300,241800,243100,246000,249900,254100,259000,263400,267000,270200,274000,277300,280800,284300,287700,291400,296600,302000,307100,309600,309300,309400,312700,317300,324000,333400,345600,358000,370000,379900,388800,398300,409500,420500,430000,438700,446600,452300,455200,457600,458600,458300,462900,473500,482600,482600,475600,468700,467200,469100,471500,472300,472100,472500,472800,472000,472700,479600,494800,512700,525800,533200,537800,540800,543600,546800,549400,550500,550400,549600,548300,544300,538000,533800,532500,534500,541400,552400,563400,573400,584800,598800,612400,624100,632600,637600,644800,658800,672200,681600,692000,706600,718800,728100,737900,747700,758400,772200,785500,793900,799300,802600,803700,800800,799400,801200,800100,796400,794300,793700,789800,779500,767200,759200,756900,760800,767800,771500,773900,779600,788900,799200,809700,815400,813100,807900,806200,805100,798900,788700,776100,762900,750700,738200,726000,720800,723300,722300,714700,706200,699500,691100,682800,678200,676600,676900,677200,678700,683300,690700,695100,695100,692200,693100,699900,704600,702100,697300,696100,696400,696300,697300,699600,696400,687700,680900,678900,678400,678700,680700,681700,681300,681800,682900,682600,684300,691500,701800,710700,719600,731700,746400,760700,774800,787900,801000,816700,831900,843800,859100,881100,907700,929000,941900,950700,960200,965800,971900,980600,991700,1005200,1024800,1043700,1054300,1059200,1065200,1071400,1078900,1089100,1098900,1111700,1133900,1166900,1197100
"Excelsior",188300,188300,188600,189200,189500,190400,192400,194900,197100,199400,201000,202100,203200,204600,207000,210300,213500,216600,220500,224500,228500,232500,235900,238900,241600,243400,244200,244900,245700,246300,246600,247000,247600,249300,252100,254400,256100,258800,262500,267300,272600,278300,285000,292900,300800,309000,316300,322700,328500,334400,338900,341900,344300,346100,346000,346800,349100,348700,347900,349900,351600,350100,349400,351500,355500,360200,364200,365300,366700,371800,377700,380300,384600,394800,407900,418800,426800,431800,436500,441400,443600,444600,446400,448900,452400,456500,459500,462800,467400,472700,479000,488300,499900,510400,519100,530100,542400,551100,556100,559800,563400,569300,578500,587500,595200,604900,616100,626000,631700,636600,642800,651300,662500,673000,676300,673000,671500,672800,676000,680300,685900,691400,694000,692800,690300,687500,685900,686000,687500,691000,695400,699100,704400,710500,715100,717300,714300,708600,702900,696700,686600,674200,660200,646800,632800,619500,608300,599800,592900,587400,583500,581800,578400,570900,562400,553700,544500,536000,529000,523200,519200,516200,515300,517400,520600,524200,527800,529600,530300,531500,532400,531300,528300,524900,522400,519600,517400,515300,512200,509200,507100,503700,500100,497800,497300,496600,495100,494600,496300,498000,497400,494600,494400,498100,502000,506300,512800,521700,530100,535500,538800,543300,550300,559300,569800,581700,596100,609600,621300,630200,637700,643400,647900,650700,653300,657300,661400,663300,665200,668000,671500,674100,675400,676200,678400,684800,696600,711000,722500
"Central Richmond",323300,326900,332200,334700,336100,336000,331800,327400,328400,332400,336200,340300,344400,347300,348400,349200,352000,358000,364400,369800,376300,383200,389500,395600,401800,410200,420300,427700,430800,433800,439300,445700,450400,454000,457600,462400,468200,471100,471900,476900,485900,495400,506000,519400,535000,550900,566400,582000,596600,605900,615000,629500,642600,644800,640900,639000,642000,643600,643600,645100,646100,644300,638100,626800,616100,614900,618500,619000,616400,617200,619700,619700,622900,634000,649300,660700,672200,683300,690800,696400,700300,699200,696100,692900,686700,680500,681800,689800,698400,704100,711200,721700,734400,746400,757800,774200,796100,815300,825400,831800,839400,851100,867300,880300,889900,908400,935100,955100,963100,963700,961700,964100,967400,971000,976800,982400,976700,960600,942200,924100,914000,918900,929800,935200,935900,929600,920700,918100,920100,924500,933400,949100,961000,968900,977800,989200,1000300,1012500,1015100,1009900,1008500,1006500,999700,992700,986600,976400,961900,947600,933300,916800,905200,895600,885900,879000,877300,875100,868700,853700,838400,828900,824600,822600,821600,823600,828600,835800,841000,840100,837600,840200,844800,844200,839800,838200,840800,842900,843800,843300,835100,826400,824300,822300,814400,805800,802200,805000,810600,818500,830100,841800,850500,854100,856600,862200,871300,884400,900400,913300,922500,927000,924300,920500,923100,933400,947400,968100,999000,1028800,1048200,1061400,1067700,1068300,1076300,1092700,1110800,1134700,1165000,1192600,1213500,1230800,1248200,1263400,1279000,1298700,1316900,1325900,1337100,1354500,1368800
"Bayview",165600,162400,159900,159000,158500,156900,154400,152800,152600,152800,152700,153400,154900,157200,159700,162000,162300,162300,163800,166300,168400,170100,171600,173000,174400,176000,177400,177700,178400,180900,183600,185200,187800,190600,193500,196100,198400,200000,202600,206100,210700,215300,220500,226900,232100,236700,242700,250200,258200,265100,270500,275400,279500,283400,286100,287500,287700,287900,288900,290000,290400,292000,296600,301200,304900,308400,311500,314400,318500,321600,323500,325900,330400,336700,344400,351600,358100,362300,365200,368000,371500,375300,378800,381200,383500,386700,388700,390700,395100,402000,410400,420700,432100,443800,454400,464800,474900,480600,479600,476900,476300,478500,484200,491200,497400,505300,515400,523200,528300,534000,541000,551400,563100,574000,582200,586100,585900,585900,585800,587700,594200,602500,609100,611300,611000,610200,606800,599800,597900,601200,605400,608400,612500,616600,621300,625800,626400,619500,607400,595400,584600,575800,567800,556800,543400,530200,517800,506300,497200,492400,493500,499300,497600,484500,469900,461900,451500,438400,429000,422700,416600,411300,407700,406300,408500,412400,416400,417500,416300,415300,415100,414500,414000,411900,408800,405000,400700,395900,390200,382600,376500,372600,368100,364800,362900,360100,355700,352700,352600,353300,354200,356800,362100,366200,369300,371400,374200,378700,385300,390500,395600,402100,408100,412200,417300,428300,445300,461800,474700,487300,499900,509100,515200,522300,529500,540000,556700,574400,585000,591600,597800,603700,606800,610100,615300,623300,636300,654900,671400
"Downtown",195100,194700,192800,190400,190300,189600,188000,187000,188800,190900,191800,191400,190100,189100,189600,191800,192400,193600,196000,197400,198200,200800,203600,206100,209200,213300,215800,218100,221100,225600,228500,231500,234300,236900,238700,241800,243400,244000,248100,257000,265700,272500,281200,291800,298500,304300,315300,329000,338300,344700,347700,352000,359700,368800,373300,374400,372200,369100,370700,378100,388200,395000,399500,401200,403000,403400,401300,396400,398600,407300,413400,409200,406400,411600,422100,424500,418600,409200,407400,411500,413900,413100,409700,403000,397700,398100,399000,400400,404700,411500,414900,421300,431100,437300,438700,442400,445900,446700,447400,449000,450200,448700,449500,450600,453300,459800,469400,477400,484500,491200,496200,500400,505400,513000,520000,522200,522400,523000,522600,523000,524000,521900,517100,516200,519000,524500,532500,539600,540400,537900,538900,548400,558900,562300,564700,568100,567900,564300,558100,549800,540800,533200,527900,521500,515800,512700,506700,498700,494400,494300,496400,499700,503300,506100,507300,505200,498600,490500,485900,486000,484200,478100,469700,465100,463600,461300,454200,445900,440600,438800,436400,431700,427200,423700,421500,420200,418800,420400,424400,426300,425400,426600,432700,441400,448000,453300,456000,457100,460300,463100,464700,469700,480100,492300,502600,509800,514100,516800,522300,532000,540500,547600,553900,557300,560000,565000,573200,581700,591800,603800,610500,614700,619400,622300,626300,634600,643800,654600,665400,664900,668700,679900,690300,690200,692200,698400,709600,724600,740000
"South of Market",218100,217300,217100,217100,218800,220200,221400,222700,226800,233500,240300,245500,249300,252800,257100,262200,264600,266100,268800,273200,277000,280300,284800,290900,296200,299900,303900,308100,313400,319000,323000,326600,330800,332900,333600,336300,340100,342700,345700,352100,359000,368000,381200,392800,402300,415800,428700,437900,449600,464700,475100,476000,475700,483400,494300,501300,505100,504900,506200,513300,521000,520800,517300,516100,517500,516800,509500,498100,488200,480600,473600,465900,460100,462200,471500,483800,496000,498000,490900,487300,485300,483100,481600,480100,477800,477600,481100,488100,495400,502900,509800,515800,523200,530200,537000,546000,554300,559300,559500,557200,556000,555100,559400,568600,581400,595000,607900,617400,623400,625400,627000,627100,624800,625400,632300,641800,649000,652000,653500,655100,660300,667900,672700,672000,668800,666400,663200,657600,652600,652300,653700,657100,663000,671100,677600,683800,688700,691800,691200,688700,684600,680600,676400,671000,664500,656600,648400,642300,638800,635400,634000,632600,626000,614500,603400,593600,582300,570500,561100,556600,553700,552100,551700,552900,555200,559100,562400,562300,557800,552800,549300,545700,543100,543000,543100,542800,544400,546700,544600,540700,540100,542300,543100,543000,544000,544400,542200,539700,538100,538300,543200,551800,560200,569100,580300,592300,603600,614800,625200,634700,644300,655300,666800,677000,687700,701400,716000,726700,735000,744200,755800,764500,770100,775200,781700,791600,806500,821200,832300,840800,844900,846400,849700,857700,868500,879800,891700,908500,924200
"Central Sunset",271900,273100,274000,275400,276600,277200,279100,282500,284600,285900,288400,291200,293600,295900,297900,300600,304800,308600,311000,313600,317900,323400,328600,332700,336600,340100,343500,347700,352600,357100,361900,365500,367700,369700,370800,369400,369800,373600,378400,382700,386800,391300,397000,404900,414600,425500,436000,447900,460400,472000,478700,480800,480800,484000,489200,494400,499400,501300,499900,499300,496500,493600,495900,502200,509100,514700,515800,513700,513600,517100,520800,522900,528600,541000,554000,562000,568200,575900,581800,586400,589900,591800,593500,595400,596500,597100,600900,607800,615400,621300,628700,638600,650000,660500,671700,686400,700600,707200,707500,709000,712400,716800,726200,738700,749900,764700,785100,801900,809100,809800,812100,818100,823200,825400,825600,819900,811100,802900,793300,783100,779700,782600,784600,783100,783200,782700,779000,776000,778800,785000,793200,802900,813100,824400,835100,842900,845900,848500,849700,848400,841600,834500,828400,822100,813600,804500,792100,779500,770400,763500,759600,760600,761000,755500,748900,744400,740700,736300,733700,734000,735200,735200,736300,738900,741600,744700,747800,748100,745500,743900,743400,740500,736300,733500,731000,728400,727700,726200,719200,708900,701400,697800,696200,696500,697200,696500,695300,696200,697400,697600,698400,701100,706800,714100,722400,731500,741100,753500,769900,786300,799900,810000,818800,830300,845300,858800,873500,888600,904000,915400,918500,914700,914200,920800,930600,939700,948500,958300,968000,974100,978600,983400,988300,992000,996800,1004300,1015200,1033600,1052500
"Visitacion Valley",166100,165100,166300,167400,167900,168800,170300,172000,173900,175300,176200,177100,178300,179900,182300,184800,186100,186400,187200,188600,190500,192500,195000,198200,202400,205600,206800,206900,207200,207200,207400,208200,209700,211200,212900,215000,217100,219400,223100,228200,233600,239000,244600,251300,258600,266200,272000,277200,282900,288100,291200,292800,294600,296700,299100,300800,301900,301600,303300,307100,309900,310900,313500,318800,325000,331300,336300,340500,344600,349800,353900,356600,360500,367500,375600,381600,386000,389600,393600,397700,400500,401800,402900,403800,405200,408300,412800,419000,425800,432000,437600,443700,450400,458800,468100,479500,490600,496600,495300,493000,494200,500500,509100,518700,529900,542600,555100,565100,573900,584700,598200,610300,619000,624800,629200,633500,635800,635000,633400,634000,637500,641500,643400,642700,644200,647100,646000,639000,634600,633700,635000,637500,640600,641700,642900,644800,642900,635800,627300,618300,606700,596700,589000,578100,564700,552500,541400,530200,519700,510400,506100,506300,505100,500200,494000,488400,482300,476400,472800,471800,473100,475400,475000,473800,474600,477500,480400,480800,476900,472300,468700,465600,462900,461100,459600,458200,457200,454600,448400,441100,437100,434400,430800,428500,426700,423800,420700,418800,418100,417900,418800,422100,428400,436200,444500,451600,457900,464900,474200,481400,484200,486800,492400,499900,510500,525000,538800,549300,557300,563300,568100,573700,580500,585900,589200,589300,590600,593800,597000,598000,598700,599300,602000,608400,617300,626800,638100,655700,673500
"Parkside",260400,263600,266400,268500,269800,271200,272800,274900,277200,279600,282700,285800,288700,291600,294500,297300,299700,301500,303200,305100,308600,314200,319900,325000,329000,331800,333100,335000,338300,341700,343800,345700,347700,349300,350500,351600,353600,357900,363300,368400,372000,375100,379900,387900,397600,408200,418000,425800,430200,432200,436100,442400,448500,454300,462000,468500,471500,471000,470200,470600,471700,473800,476600,479500,483800,490600,496100,497800,496100,493600,493200,496500,504200,515600,527000,534300,539900,544300,546300,548800,553800,558600,561400,562600,564100,566800,570700,577200,585900,592700,599600,609500,623500,639200,654900,669300,680400,685100,685300,687400,691000,696100,703900,713500,723000,734600,748400,761700,770400,775700,781400,787800,793200,800200,806400,807300,804600,801200,796100,790600,788100,787000,786300,784400,782700,779400,774300,769600,768800,770900,775600,783700,795600,810600,824600,835300,840700,843300,844900,844600,838100,830800,824900,818500,809800,799900,785200,768900,755900,746500,739400,735800,732700,727300,722400,718000,712600,707600,706400,709200,711200,710000,708100,708500,711400,715700,719500,720100,719200,718900,719500,716700,714100,714700,717100,717200,717000,714600,707400,699000,693700,690300,686400,683500,682500,680600,677700,676100,676800,677300,678400,679700,684000,692100,703200,714400,724300,734700,746700,757600,766100,775000,783900,792700,800100,807500,818500,831500,841600,849300,856400,861900,867600,873600,879200,881200,885100,892200,897700,901200,909100,917800,924500,931100,937300,945000,957200,979500,1002300
