"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",221300,220500,219000,217800,217900,216600,216300,217800,220600,224300,229000,232800,236800,241300,246800,253900,260500,265200,268000,270200,273800,278500,281800,284400,286500,287700,287900,288600,290300,293200,298200,305300,311600,316400,320300,323700,328100,333900,340000,347700,355600,363800,373400,384500,395500,405800,416500,428900,440900,451500,463700,474400,481600,491700,506200,517900,522700,523200,524900,529000,530800,528600,526800,524700,523600,522700,511700,497100,493200,499800,503200,503200,505600,514700,525100,536500,547300,551900,553100,553900,551700,545400,538900,531200,524300,519800,516800,513400,511600,511900,516400,526100,537200,546400,556300,569100,582400,595200,608200,619500,625700,631900,641800,650000,655900,666000,679500,691400,701100,708700,710400,708700,711700,719500,726900,734600,742300,745500,745900,747300,750800,750700,745100,740300,739700,738400,732600,721800,710900,705800,707100,711100,714900,719900,728900,739400,744300,746000,746600,746100,744300,743300,740600,734200,725100,717000,710800,703800,696500,689300,685400,685900,681900,670500,660900,654900,648200,639300,630400,625200,623300,620000,617200,617300,621000,627000,630400,628600,626400,626800,627700,627800,627600,627800,628200,628700,631500,633000,629700,626500,626000,625300,625200,626700,628100,630400,634500,639200,644300,649200,653200,659300,667600,677100,688600,700200,710500,721500,734200,744300,750600,756600,765900,777000,788500,800100,812000,826000,839400,852300,863500,873200,883600,898100,912400,923600,935600,953400,969700,978600,988100,998900,1005500,1011600,1022100,1033000,1045400,1062600,1079600
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248900,250100,248300,246900,247000,248400,249700,251600,255100,258900,263300,267400,269600,271400,273100,274900,276000,277200,278400,280800,286400,295800,304800,310900,314700,316400,317500,320700,326100,334800,345200,355900,365300,374500,383400,392700,402300,411800,421800,432500,441100,446300,451800,459300,465100,470600,476900,483800,492800,503300,505400,497500,488800,483100,481100,476600,466100,454100,447900,446000,445800,451300,466900,487700,507700,527400,541200,550200,561000,571300,574800,576500,579900,577300,567200,557600,549700,541500,533500,528300,528600,534100,541400,549400,558600,570800,586400,601800,617700,631100,642000,653900,668100,676300,681700,686600,692000,697700,704900,710400,711600,711300,716100,722300,725800,732900,743000,747000,744500,742600,743100,743700,740600,735700,733400,731200,722500,708300,697400,696800,702100,704500,705700,711700,720600,728400,734200,740700,744300,741200,734600,732300,730900,724600,714800,702800,688000,674800,665100,657900,654900,657600,658400,652000,643500,641500,638900,630100,621300,620200,619700,618100,617300,619800,622400,624900,627900,629800,629900,632800,641900,651100,656100,656600,657900,658600,661000,662500,658600,647900,636600,627700,624200,626400,627700,627700,629100,631800,635400,640900,647100,653600,662500,674700,685900,691500,697400,705900,716600,729000,735400,734400,736900,740500,745700,758700,774900,787000,795500,804500,816600,832200,848200,865300,880000,894600,914800,935200,947400,951200,956600,962300,964900,965900,971400,978900,990500,1013100,1036500
"Central Richmond",305100,302700,300600,299500,299500,299100,297400,297200,299200,303400,305700,305800,306200,306100,305200,307800,313500,316800,318200,319600,323000,327300,332000,336100,342900,353800,364700,371700,377900,384300,389700,395600,401300,404200,406100,410500,410800,406900,406500,411700,415300,421400,429000,438000,454100,478600,499100,513700,530600,550200,565100,572900,583300,594600,601400,606700,611800,611000,608000,607800,608300,606400,600900,595800,590900,588200,590200,589600,582200,575400,569900,563800,565100,575200,588500,600500,612000,618600,620800,623200,626100,624200,622300,621600,620900,622300,632300,645800,653300,653100,658200,670100,683900,697400,712700,731300,751900,768000,773800,772700,776600,794100,817500,835700,847200,864900,895100,926800,937800,933300,925700,922400,919700,920000,917100,907600,895700,885400,871800,853600,839600,835200,834000,836600,839000,833200,821500,817300,819300,823500,828500,839000,850900,857100,861400,867300,869400,867600,864400,861300,859900,854500,844300,834100,829900,829000,826200,817200,808700,807000,809100,807000,799800,791200,784200,774400,761900,749800,738700,730400,726600,722500,717500,716100,717700,720800,722300,718700,709500,705600,707800,710600,710500,708900,705900,702400,698800,694800,691900,690500,689200,684300,679600,679300,684000,690300,696400,702800,711300,720700,727500,729100,726800,726600,731400,736800,739600,745300,757800,767700,771500,774700,781900,791400,804500,818800,832800,847600,861900,871900,877400,882700,892800,906400,917600,940600,978600,1012300,1036200,1052000,1057700,1059600,1066400,1074600,1084300,1087000,1087600,1094400,1102900
"Downtown",194000,193600,191500,189100,189300,188800,185900,183900,186000,189600,190700,189500,188600,188200,188800,191000,192000,193100,195000,196300,197700,199500,201500,203300,205600,209000,212400,214800,217800,221800,225000,227600,230400,232900,235500,239700,242300,242800,246500,254500,261700,268300,277900,289700,296400,302400,313100,325700,334000,341200,346300,350500,356200,363400,368300,370900,370700,366900,367900,375700,386600,392600,394800,396200,400500,402800,400100,394500,396200,405200,410400,405700,403500,409000,418700,421600,415200,405400,403600,407800,410400,411000,407500,400500,394900,395100,395600,397800,402200,409300,413700,420500,428600,433800,436600,440200,442500,443600,445900,447600,448200,446100,446800,448500,450200,454600,463700,474000,481900,488200,492000,495700,502100,511800,517200,516700,516900,518400,519400,521700,523100,518900,514000,513000,515000,521000,530500,536700,538000,536700,535700,540500,549800,554800,557600,561600,563100,558800,550400,542500,534000,528000,524100,517900,511600,509500,504000,496500,493300,493800,495800,497300,499900,503100,505700,504100,497600,488700,484000,483300,480000,471900,464700,463400,463400,458200,449200,442000,438800,436900,433900,428300,422300,418100,417000,416200,415000,417100,421900,424600,423100,424400,431100,440200,446500,451300,453000,454700,457000,457800,456400,459100,470500,485100,495000,501900,507600,511000,517100,527000,536700,545400,552700,557100,559200,562900,570700,578200,586800,600100,608000,610800,614900,618800,623100,631000,638200,648200,660000,661400,665600,677200,686700,686900,688200,694100,707000,723000,736700
"South of Market",217600,216800,216700,216800,218500,219900,221200,222500,226500,233100,240100,245600,249400,252900,257100,261900,264300,265600,268200,272500,276300,279700,284300,290400,295800,299300,303100,307300,312800,318400,322500,325700,329600,331800,332600,335300,338500,341200,344600,351300,357700,366500,379600,391400,401000,414400,427300,436500,448200,463300,474100,474800,474300,482300,493700,501100,505100,505000,506000,513000,520700,520200,516300,515100,517000,516300,508700,497000,486900,479400,472100,464400,459400,461700,470300,482700,495700,497400,489400,485700,484400,482300,480400,478700,476500,476400,480200,487400,494400,501800,509000,515400,522500,529400,536200,545200,553400,558800,558900,555900,554000,553000,557800,567100,579100,592200,605400,615100,620900,622800,624500,625100,623200,624000,630900,640100,647400,650600,652100,653800,658700,665400,669600,669100,666400,664000,660600,655100,650600,650400,652000,655100,660600,668800,675900,682500,687100,689800,689300,686800,682600,678600,674400,669300,662700,654400,645700,639700,636500,633600,631900,630800,624100,612300,601300,591800,580400,568800,560200,555500,552000,550100,550100,551400,553800,557700,560600,560100,556100,551400,547800,543900,541300,541100,541300,541100,542800,545100,542900,539000,538700,541000,541800,541700,542800,543200,540700,537400,535900,536200,541500,550300,559000,567600,577900,589300,600700,612000,622700,632200,641600,653000,665000,674700,685100,699300,713900,724200,732900,742600,753900,762500,768000,772700,779200,789300,804200,819100,830800,839500,843300,844300,847400,855500,866100,877600,889300,905400,920800
"Pacific Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,854900,850400,852400,863800,865700,858200,859300,876600,887200,880300,868200,856500,844900,840300,845400,850500,855900,860700,860700,850900,837400,833200,846300,878200,908400,928900,929300,911500,885300,871800,859400,851800,853100,856900,859600,863300,868800,877700,888800,902100,916500,930300,942400,948900,948600,945400,945500,948800,946900,938000,934300,939100,943800,942300,942800,945600,945000,945200,952000,955700,959400,971800,984500,985100,991700,1016200,1044800,1064800,1074800,1065900,1052100,1051400,1060100,1061200,1059100,1060600,1063500,1055000,1039500,1025200,1022700,1035300,1030900,996700,967000,949400,927500,915900,919700,921300,916600,917800,920500,916500,910900,914500,922000,927600,930400,932900,928700,918100,907500,899900,889900,881700,884800,893500,889200,879500,881800,888200,884500,875600,869200,866300,870100,876300,881000,881900,882200,883700,890000,900300,917200,937500,959200,980100,995700,1004100,1010000,1018200,1032300,1051400,1071300,1084200,1091600,1111200,1140500,1156400,1169300,1193600,1221700,1244200,1259400,1257900,1258300,1271400,1282800,1281200,1280500,1277400,1265500,1260400,1269700,1286500,1305000,1335300,1366900
"Nob Hill",345000,342800,342600,345700,350200,353500,354000,351800,349800,352000,355800,355900,355300,357500,359200,361000,362300,361000,358300,364400,378600,388800,395100,404500,413900,421100,426900,432600,441700,452700,461900,467800,471100,476700,483100,485900,488500,491600,494200,497400,501900,509500,520600,535200,553800,569100,583400,599600,615700,630400,645400,657600,665700,667300,673200,680300,673000,658400,657200,665500,672300,673400,672000,663900,653200,650700,653000,648800,642100,638500,632800,633000,640000,645800,657200,676400,690000,697500,701700,704000,709600,717100,721400,718600,712900,716600,722900,726900,734000,739600,744300,758500,777400,796200,810300,815900,814700,808700,798500,792800,789800,792800,802400,812700,819900,830900,843900,859100,873500,883000,888300,897800,912100,918200,914100,906700,899100,890900,883600,875300,872800,877100,886200,891700,894600,897500,899200,893200,891300,895300,899600,907100,916200,915700,906200,899000,895000,896400,893400,886300,883000,891300,904600,911800,917600,933800,950200,952000,948100,946100,948900,950800,938000,909900,884000,862500,843300,828700,819700,812700,805500,797300,794200,804000,817600,823000,821100,820200,818900,813400,808000,802000,797600,797100,796100,793200,792400,791500,785200,776800,769200,768200,770600,774000,776400,773300,768200,769400,779500,792700,801100,804300,810100,821600,836900,860500,885900,904300,915100,917900,920200,928300,944700,967500,993300,1010500,1022000,1032800,1043100,1055400,1071100,1083600,1086900,1084900,1092900,1107900,1119600,1127200,1133000,1128800,1127200,1137100,1154700,1170500,1186200,1206300,1228200,1251400,1273700
"Inner Richmond",284200,284900,285400,284500,285100,286300,286200,285700,285600,287800,293900,299300,305400,311800,315900,318500,322700,325900,327000,327300,332600,341600,348500,349900,349700,351300,356000,362000,364600,362900,361500,370700,388900,406300,412400,415200,416800,421600,430300,444100,455900,471700,490400,510800,528900,540200,538600,542300,556400,568700,576000,585800,596300,598700,596200,591700,587200,579800,582300,588400,590700,583700,574600,565300,564500,574000,582500,574800,558800,550500,550600,547500,548500,559300,570300,578700,593600,601700,598600,599200,608500,616000,619800,621600,623300,627600,639500,650100,648500,643300,648000,656200,661600,668900,680000,696600,711600,723900,735300,744800,750800,763600,782200,799400,802900,800800,807300,826100,833500,821400,801900,793400,789500,784900,780100,779400,786300,798700,806300,800700,791900,792800,796900,793600,788600,790300,798000,806500,813200,816900,818700,823500,836700,850200,861100,867400,863900,852200,841900,833500,828100,825200,818000,808500,806500,807200,802800,795200,795800,799900,800400,798100,793900,783700,775800,770400,758500,739600,724400,720200,720800,719700,717300,715900,713000,714100,717200,714200,705500,703200,704400,702700,700200,700900,702900,705000,706900,706300,702900,698400,694300,693100,695100,696800,699000,700000,697100,692200,690500,691700,692700,694500,697100,698400,700900,711300,726800,742300,753800,761700,769500,778700,788400,797300,811100,831500,854600,872400,885100,892600,894000,893200,898100,904500,910600,931700,964300,992300,1009500,1018100,1016700,1011800,1010700,1013400,1017900,1021900,1029900,1036800,1040900
"Noe Valley",299600,301800,301900,301500,302300,302400,301200,301300,303700,308400,311800,311900,312600,316800,321100,326300,331900,337300,343000,350400,357900,368100,379000,389000,397700,406300,413300,417600,419000,420200,421500,422400,422100,422400,421500,420100,418400,419000,428900,449700,472300,492500,514200,537900,559600,578400,598100,617600,634600,650500,663900,670700,674900,677800,680400,685200,690600,692900,692700,693200,691600,685000,673000,660500,651000,646700,640800,624900,608900,608300,615000,617400,622700,644500,677300,715200,752700,777700,787400,796700,808100,810000,804300,796000,791000,789500,787100,778200,766200,763500,772500,786800,806600,829200,849000,868700,890800,903900,899200,887900,881100,877700,879000,888700,898700,906100,923400,945900,952800,947300,947700,951200,950700,952500,960200,966500,964500,957600,946500,936500,934100,930300,923100,921000,923600,923400,917200,906600,898400,896100,896400,899800,903500,908900,916600,927100,937400,947000,947900,936700,923300,919000,919100,913200,910400,905100,896100,884400,873500,859900,855100,861600,864100,848400,829200,816300,802800,795100,795900,797700,797000,796800,796700,795700,797400,805100,812200,813100,809300,807200,806700,804600,801700,802100,803900,806700,809300,812400,813100,813000,811700,809300,803700,801300,801500,800800,798400,797300,800200,805600,812200,818300,829100,845500,864300,884900,908900,931100,947300,959500,971100,981400,987600,990300,993500,998300,1013100,1030800,1039600,1042200,1046700,1056500,1073200,1090100,1102100,1115100,1137500,1163300,1172800,1163800,1163800,1177300,1189600,1195600,1198700,1204400,1218200,1241100,1261900
"Outer Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395800,400400,405300,406300,403700,402700,406200,405600,400200,397200,396300,392800,393000,394500,395700,398200,404500,411300,418900,427000,437100,446500,455100,462000,467700,469100,467800,469100,474000,477400,479900,482000,485100,488900,500000,515100,527900,540000,554700,564100,568400,571500,571900,570700,573900,578400,581800,586900,596500,605000,609500,612900,611500,611100,611500,616700,627100,642500,653400,662200,664600,660000,653400,651500,655600,658000,656100,656100,651700,645100,635200,619300,605500,607700,616100,622100,625800,625100,622100,620800,622600,616900,609000,609200,613100,608800,604800,600600,591400,584800,585200,582500,579000,581400,584500,580400,575000,570600,563700,556700,553700,557100,562600,562100,554200,548400,551000,556400,555900,552000,548000,541600,534400,528600,524300,524700,529100,532300,535200,537400,530200,515000,505200,503300,506400,508900,507600,504800,500700,489300,472400,463200,464000,466800,467600,474900,484300,490600,500100,511300,514800,514500,517700,522100,533900,550900,566300,580200,593800,597900,599200,604800,619100,633500,639400,639800,647500,666100,688400,700400,705100,708500,703700,691800,690100,701500,720200,738100,754200,771500,787500
