"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",182900,185100,186600,186400,185000,184000,184200,185200,185800,188700,192700,194800,196200,199400,203200,207500,211500,213700,215500,216600,217500,219700,222700,225000,226700,228600,229700,231200,234800,239100,243500,248900,254400,257800,260000,262400,265200,268100,271800,277600,284700,292900,300000,304900,309700,317500,326000,333000,339200,347000,355000,361800,369400,378800,387900,394800,399300,400200,401600,405000,407900,409900,413300,414700,410800,401800,392100,388600,392700,397600,398800,398500,400700,407500,416200,424900,431200,435300,438700,441600,442300,443100,444600,445800,444900,441500,438300,438100,441100,446200,453200,461600,469800,476900,484300,493100,503400,511400,514500,516600,521400,527400,533200,538700,544500,553400,564200,572600,577300,581900,588000,592700,595200,600200,608600,615900,620800,623400,623900,624500,627800,628700,626000,622100,618600,614300,606300,595500,587100,584600,584600,585200,585900,588100,592300,597100,600300,602100,602500,599500,594800,592600,593300,593200,589300,585200,582700,580700,576700,572000,569900,573100,572000,561600,550000,542000,534900,528000,521400,518100,520300,523200,523800,523900,525400,526200,526000,524300,523400,523400,522500,517900,514300,513500,514600,515900,517200,516600,512900,508500,508100,510600,512400,513000,513000,512600,512800,514600,518400,523900,530700,539900,549900,557900,565200,573800,582600,592700,603200,609000,612000,619500,626900,630400,634900,642900,653500,664600,673200,678900,685100,691200,699100,710200,722800,731900,738900,748000,759800,770600,778700,782500,783800,788300,796900,806900,819800,838700,856600
"Bernal Heights",164100,170800,176300,180700,185300,188700,188600,188500,189900,194700,200800,204000,203700,202000,199900,199400,200500,201700,203500,206200,210500,216000,220500,222500,225200,229300,234300,237600,238900,239800,242900,246600,249300,251900,255200,258600,259300,259900,263000,269200,276300,285200,293400,301300,307300,310200,310400,311500,315400,323800,332500,340300,348600,357100,364200,370300,372400,374000,381400,390000,390300,384800,382400,384100,384800,382100,377900,374700,375600,381000,385100,387500,395000,409000,422500,432400,438400,443400,449700,456900,464100,470000,474500,477200,476900,471900,464600,459400,457800,457300,458700,464700,474600,483300,489200,498600,514000,529500,540800,547000,549500,554500,564000,571400,574400,580000,590800,600900,607500,614100,620900,628800,643600,660600,672900,680300,685500,688000,690000,689200,688300,686800,684500,681100,678500,673800,664100,649800,638500,634600,635800,639800,644800,650000,657100,665400,672800,678600,681800,682200,683300,685900,686600,681900,673600,663000,652600,642300,629000,617300,613300,616700,613800,599400,579400,565600,556500,550700,547000,546200,544800,542600,542600,547900,556600,564700,571100,575900,577800,577500,577600,578100,579700,582700,582900,579900,577400,576800,574600,570800,567800,568000,567600,564400,560900,559400,559800,560800,561500,562800,568100,575200,580800,584700,589800,596500,601800,605800,609000,612000,616800,626700,637800,643100,649300,663500,680400,693500,705400,716800,728000,736700,745600,756200,765800,773700,787500,799900,807500,815500,828400,838600,845700,849600,849700,850900,861200,881300,900100
"Excelsior",187300,187300,187600,188300,188700,189600,191400,194000,196200,198400,200100,201300,202200,203700,206200,209500,212800,216000,219700,223500,227700,231800,235200,238000,240700,242600,243400,244000,244700,245200,245600,246100,246900,248600,251400,253700,255300,258000,261900,266900,271900,277400,284000,291900,299800,307900,315200,321500,327500,333700,337800,340300,343000,345000,344600,345400,347500,347000,346600,348600,349800,347900,347400,349600,353300,358200,362800,364100,365300,370400,376300,379100,383600,393700,406700,417600,425900,431100,435700,440500,442700,443500,445100,447700,451400,455500,458500,461800,466400,471700,478100,487200,498800,509300,518100,528700,540800,549500,554700,558700,562500,568100,577000,586100,594200,604000,615200,625000,630700,635400,641500,650300,661500,671600,674400,671100,669600,671000,674100,678100,683900,689900,692500,690800,688000,685600,684500,684500,685800,689300,693600,697200,702700,709000,713500,715200,711900,706300,700500,694300,684100,671600,657900,645200,631400,618100,606800,598400,591500,586000,582200,580800,577500,569800,561100,552500,543000,534100,527200,522000,518100,515100,514300,516200,519200,523100,526800,528200,528700,529900,530900,529900,526800,523400,520900,518200,516200,514200,510900,507700,505800,502400,498700,496500,496000,495000,493600,493300,494700,496100,495800,493100,492900,496400,500400,504600,511000,520000,528600,533800,536900,541400,548200,557000,567500,579600,593300,606800,619000,627800,634400,640100,645200,648000,650300,654500,658900,661000,663000,665500,669000,671900,673400,674500,677000,683100,694800,709300,721000
"Central Richmond",267100,265200,262000,260000,259800,260600,262200,263900,264800,265500,268600,270300,273100,277300,280200,281400,283600,284300,284400,286000,289600,293100,296100,300000,305500,309400,310700,313800,318900,323400,328500,336000,342600,347000,349400,350600,348800,347000,350400,356700,360300,363800,366600,369800,375100,384500,396400,409900,423100,438700,452100,459200,464300,469200,473500,477900,484500,488300,491200,494900,499400,500000,499500,502300,508300,514700,520600,522100,518100,516800,516000,513300,512400,519800,534200,548600,557700,563800,568200,570500,567500,560000,554200,547800,545800,551000,559000,563800,566700,563700,564200,577600,604000,625000,631600,640400,656600,661300,653800,652800,667000,687400,705200,711000,713400,728800,760200,785500,787100,780200,780100,780400,771600,767100,762400,754800,747400,738900,726400,717900,718700,727900,733200,730500,724100,722900,723600,724600,722900,727500,742800,766100,783000,785600,782800,782900,782700,782500,781800,776900,771400,767500,750900,723200,704300,701400,704700,705500,704600,702200,701200,704300,703000,689900,678500,677000,675300,667600,657500,650200,646200,641400,635900,633700,634900,636900,638200,636200,630200,625500,626000,626500,624800,619800,616400,614300,613500,611700,608700,604900,604700,605000,602600,600000,599600,597100,592700,589800,587900,586400,588000,586000,579000,573400,575300,583400,593500,603800,617300,628600,635300,643000,653600,665000,677800,690800,704100,719000,733900,743900,751300,761000,776200,793000,808600,827100,850500,870300,880300,882900,885200,890500,892900,894100,896600,899300,902700,911100,920000
"Bayview",185200,182700,181700,180400,179700,178900,177600,176300,175600,175100,174400,174300,175400,177100,179400,181600,182500,183200,185000,187100,189600,192300,194900,197600,200500,202400,202400,202600,205000,208300,210100,211900,214000,216400,219100,222500,225400,228500,232700,237200,241200,246100,253700,263000,272000,279600,287300,296600,305200,311800,318500,324200,326000,327300,329300,329700,328500,326300,325200,326500,327900,328600,330600,333700,337800,342600,347100,351700,356900,361700,364700,366700,369400,374600,382000,389900,397000,400400,400800,401900,405200,408500,411500,414100,417900,421700,423900,425800,430400,436400,443900,454400,465900,475500,483000,491500,501300,509100,511300,511600,513600,518400,524500,529700,534700,544000,556800,567200,573000,577600,585000,596900,606700,613900,619900,623600,623900,623400,622600,622900,628000,637200,645500,647200,647900,647500,643400,634900,631400,634400,640000,644800,651700,659500,664900,668500,669300,666000,657400,646400,634000,623400,613300,600400,585200,569500,556100,545500,536500,532400,535600,542400,545700,542800,537100,532800,527600,520200,513200,508600,504700,500800,499500,501700,501200,497700,495200,493300,486900,478600,472000,467300,464400,462800,460500,456500,452000,447100,440800,434400,431500,429100,425000,421400,419900,417400,413000,410300,412500,416300,418800,420800,423800,430200,437700,443500,450300,457300,463900,469300,473300,476500,483600,492700,502300,512700,524500,533100,539100,548200,560900,570600,581100,595000,606500,614900,624200,634900,646800,659800,667900,668300,665400,667500,673100,678800,686000,699700,714400
"Downtown",193900,194200,193100,190500,190200,189700,188600,187700,189200,191400,192300,191400,190400,189700,189900,191700,192600,193800,196000,197600,198800,201200,204000,207300,211000,214400,216600,218900,221500,225100,228400,231900,234800,237100,239600,242700,244000,244500,248600,257000,265600,272200,280800,292000,299400,305300,316000,329200,338300,345000,347800,351700,359200,368000,372900,374900,373400,370500,371900,378500,388400,396200,400700,401700,402600,403200,397600,388100,388800,396100,400100,399500,398400,400100,407200,409600,405200,398600,396300,399000,401200,402400,399500,391700,385900,387200,391000,395600,400900,407600,413000,421200,430200,435200,437800,441300,444300,446200,447700,448500,449500,447600,449200,451400,454500,461000,470500,477900,485100,491900,497100,501500,506100,512400,519300,522000,522700,524100,523600,523700,524900,523100,517400,516100,518800,524200,532000,539300,540400,537600,538800,548900,559300,563200,566400,569000,567800,564300,557800,549600,541100,533700,528500,522100,516500,513300,507100,498900,494700,494700,496600,500300,504600,507100,507600,504900,498100,489700,485000,485300,484200,479000,471400,466700,464400,462200,455600,446800,441100,438700,435400,429800,425400,422300,420100,418800,417800,419400,422700,424300,422900,424800,432000,441300,448300,454600,458800,460000,462500,465000,467200,473800,484800,494800,502800,509700,514700,519400,525500,534300,542500,549200,554300,556400,558600,564700,573400,581500,592500,605600,612400,614800,618500,620800,623300,629300,640000,652700,663100,661100,656900,654200,655200,654000,653200,657500,670600,686100,698500
"South of Market",195400,197900,199500,200500,200300,199600,201300,204400,207600,213600,220600,225900,229000,231900,234800,239700,243300,243400,243100,245400,248500,251600,255800,260100,262400,264800,267900,269600,273000,279800,287400,292700,297800,299400,298800,298300,298200,298000,301300,309400,319000,328900,339200,349400,358000,369800,383000,392600,402400,417500,431000,431900,429700,435700,444500,445900,446500,442300,436600,437800,445400,446400,442300,442700,446800,448000,441200,432600,427400,426300,424900,424000,422900,427400,438800,450400,454600,450400,445200,444700,443300,443200,446600,447800,446600,447000,447200,450700,461100,473000,481800,490400,495000,496000,499100,505300,510600,513200,511900,508500,506500,505800,507500,511400,522900,538900,552600,563100,569500,566300,561100,560500,562700,566600,573400,580000,586200,590300,591800,591400,593500,599900,606100,607600,604300,601000,599800,598500,594300,591300,590700,594000,599500,605600,612300,619000,622900,625300,625700,623700,620500,617300,612600,608300,605900,604200,599200,591700,583200,575900,572900,571500,564700,553300,544400,536900,528400,520300,514500,511300,510400,510200,510600,512700,514900,517800,520300,519400,513300,507200,503100,500200,497800,495900,493700,493100,494800,498100,497700,493100,490700,493500,496400,496800,497500,496800,491200,485300,485500,487800,490600,494500,498800,504100,513200,524100,534900,547800,561200,570900,579000,587500,597300,607600,619800,632700,648100,662100,673200,680700,689900,699200,707200,713300,719400,728700,742000,753200,758800,763900,768700,771400,773100,776400,781400,788000,795400,806600,818300
"Central Sunset",230400,234000,234800,236300,238500,239500,240600,241200,241500,245700,252100,255100,254600,255000,256900,259100,262100,266100,270000,273300,277200,281000,284600,289200,293000,295400,297700,300000,301000,301900,304800,309300,313700,317200,319700,319600,319400,321600,325000,328600,332600,336600,341800,348900,355700,361700,369600,380500,393500,405600,415400,422500,427500,431600,435200,439100,441700,441200,437300,434300,430000,426400,426300,427600,426800,423500,418900,415400,416000,418900,421100,422800,429500,441100,451200,457500,463500,471300,478400,482500,484500,487200,490600,494400,495700,496100,498100,504600,514800,527300,539400,551600,563700,573900,584000,593900,600600,603300,606100,612700,620000,625000,629900,637000,647000,660800,677400,694800,707500,712900,713100,713500,715400,718200,721000,718400,710700,703400,696800,688400,686500,690300,693800,693100,691500,688600,684700,683000,685400,691800,700200,708100,713200,718100,722400,725500,727800,733200,740000,742200,737000,730400,724600,716600,707900,701900,697500,688900,676900,665200,657200,654200,650700,640500,628200,620300,616500,615900,615900,617200,620300,622400,624700,629800,636000,641600,646300,647400,642900,637400,633700,629000,624400,619900,612700,605700,605500,605600,600100,594600,592800,588700,583700,583200,586500,587700,586500,583900,580900,579500,580900,582000,583400,589600,602100,616100,625500,633800,644700,654000,661900,672500,683400,694000,707200,719700,728400,735000,745000,755800,763000,764000,764500,766400,769300,773400,781000,788200,790300,790000,788800,787800,791000,800500,809900,818800,834200,854800,871500
"Visitacion Valley",167300,167000,168200,169200,169900,171200,172600,174100,175900,177400,178200,179400,180600,182000,184200,186600,187700,188200,189300,191000,192600,194300,197000,200600,204700,208100,209700,210100,210300,209900,209800,210700,212100,213700,215500,217400,219200,221600,225200,230400,236100,241700,247400,254100,261400,268900,274800,280300,285900,291000,294100,296000,297700,299800,302100,304000,305500,305300,306900,310800,313700,314700,317300,322300,328200,334200,339200,343500,347600,352600,356800,359500,363300,370200,378200,384500,389100,392500,396400,400100,402800,404500,405600,406100,407400,410700,415300,421300,428400,434900,440600,446900,454000,462300,471000,482200,493500,500000,498800,496400,497600,503700,512300,521600,532700,545900,558800,568900,577300,587500,600400,612600,621700,627800,632300,636400,638200,637100,635400,636200,640100,644300,646100,645900,648000,650600,648800,641600,637000,636000,637500,640300,643800,644900,645800,648100,646900,640400,632200,623400,612200,602100,594300,583400,570100,557600,546700,533900,520700,509500,505000,505100,504900,501400,495900,489300,481700,474900,471200,471000,473100,476500,478100,479000,480100,483200,486900,487800,483400,478600,475600,473300,471100,469100,466700,464400,462700,459700,452900,445800,442300,440400,436800,434600,433400,431200,428400,426300,425200,425100,426500,431000,438800,447800,456100,461800,466000,472300,481100,488500,491500,493700,498500,505700,516000,529300,542200,552700,561500,568300,573400,578500,583600,586700,589000,589400,591700,596200,600500,602800,605300,606700,609100,614600,623300,633600,644800,661000,677200
"Parkside",233600,238000,241000,243400,245200,247100,249400,250500,251200,254000,258600,260700,260400,260300,261900,264500,266600,268600,270800,273300,276200,279600,282500,285900,289600,293300,296200,298400,299400,299700,301100,303300,305500,308600,312400,314800,316400,318400,321300,326200,331000,333700,337800,345700,354600,364200,374800,383600,388800,391800,394700,398900,404500,410700,417100,423300,428300,429600,428800,427800,427200,429000,431700,433400,437300,440900,439800,438200,437900,436500,435700,439300,446800,457500,468700,475600,479200,485400,492800,497600,501000,504100,506300,508800,511600,514700,517500,523400,532200,541200,548600,557000,566400,576300,585800,594200,601700,607800,614400,622700,630700,637400,645200,652200,662600,678100,695300,710100,720100,723200,724800,727800,729600,732700,737100,738200,735100,730800,726500,723300,723400,725000,725800,724100,721100,716000,710700,707200,706100,707600,713300,720200,726200,730600,732300,732600,732800,735000,736400,733200,726400,722200,717800,710800,703500,699500,693900,685000,675200,665900,659200,659300,658600,650100,639200,630500,624500,621300,619100,618800,621300,622400,624000,628700,633500,637700,642200,644000,641500,638100,636900,634400,631700,631600,631300,627900,625500,622900,616900,609600,602600,596100,592000,593400,596500,595600,591900,589100,589300,590400,591000,591900,597400,608000,620100,629500,636800,646100,655600,662800,669800,678900,687700,698100,709500,719300,728800,739100,748000,753900,757900,758300,758100,759300,763300,769400,778800,787000,790400,790200,790100,791400,796700,804400,811200,819600,833800,851500,866400
