"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",227200,225500,222700,221700,223200,224800,226200,227300,227900,229600,232400,233200,234000,237000,241100,245400,249400,252600,254700,257200,261500,267700,274000,279700,282300,283200,283600,285100,286600,288900,292800,297800,302200,304800,306400,308600,315800,327500,339500,348800,357400,368100,381500,395600,407400,418700,429700,443700,457800,468400,477600,487900,494900,499400,504100,507900,511200,515400,520200,523600,523000,521400,522300,526800,533100,539100,540700,540400,542600,545700,546500,544500,547500,559900,572700,580700,591000,599600,598100,591300,587400,585400,583600,579300,572400,566400,565400,562900,556500,552000,557300,571200,588300,602500,613500,625300,639500,652500,661800,673300,685400,697100,708000,716800,724000,734900,750700,769500,784500,793200,798400,803300,807400,810700,816300,823300,827000,830500,833000,829600,827200,825800,821100,815400,816500,817700,816400,809500,803800,801700,807200,817600,828600,839900,853900,868200,874800,877600,876300,873400,868000,865200,861100,854800,844300,831600,817900,807600,800000,791200,782100,777400,769900,754600,740100,731100,720200,708200,698100,691000,686900,687500,692600,701500,711700,720200,726700,731100,733600,735400,736900,737100,736900,738100,740100,743500,749500,755100,753300,746200,746600,752200,755100,755500,760400,765400,768200,766100,765200,767300,769300,769900,772700,779200,787600,798800,811300,828800,846400,857500,864700,875400,888800,905900,925200,947700,975100,996300,1003100,1006700,1015800,1030300,1047400,1063300,1083500,1109300,1135400,1159800,1184200,1203500,1220200,1235000,1248600,1264100,1281600,1294700,1309600,1333300,1356600
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244500,246400,245400,243500,241200,240500,240700,242000,245000,248900,253300,258200,262700,266400,269900,273800,277200,280900,284900,288500,292100,296700,301700,306500,308600,307800,307600,311000,316100,323300,332500,344200,356800,369300,379200,388200,398200,409700,420600,429900,438800,446900,452500,455000,456700,457400,457000,461600,472400,481600,481400,474000,467000,465900,468400,471400,473000,473800,475200,475900,474600,474400,480700,495600,513400,525500,532000,536400,539400,541900,544700,546800,547700,548300,548400,547800,543900,537700,534000,532900,534800,541700,553100,564500,574700,585900,599500,612900,624700,633000,637500,644500,658700,672000,681200,691900,707100,720100,729400,739400,749800,761600,776400,790700,799900,805000,807700,808600,805500,803600,805700,804800,800900,798700,798200,793800,783000,770500,762600,760300,764200,771400,775200,777500,783200,792400,802500,812800,818200,816200,811700,809900,808400,802200,792600,780700,766900,754700,742100,729500,724200,727200,726400,719000,710300,703300,694300,685800,681700,680400,680900,682000,684100,688500,695400,700100,700800,698500,698600,704600,708900,706100,700900,699300,699400,699200,700500,703100,700100,691400,684900,683400,682800,682900,684900,686300,685400,685600,687000,686500,687600,694600,705200,714500,723900,735900,750600,765200,780000,793400,806100,821200,837300,849800,866000,888900,916900,939200,952100,960800,970500,976000,982200,990600,1000400,1013900,1034400,1052700,1062800,1068600,1075400,1081400,1089400,1099800,1109500,1123700,1148500,1183500,1214800
"Excelsior",188000,188000,188100,188800,189400,190400,192400,194900,197200,199400,201000,202100,203100,204600,207000,210500,213900,217000,220600,224500,228600,232500,236100,239100,241800,243700,244400,244900,245700,246200,246500,247100,247700,249300,252100,254400,256000,258700,262600,267400,272600,278200,285000,292900,300800,309000,316300,322700,328500,334400,339000,341900,344300,346100,346000,346900,349200,348700,347900,349900,351500,350000,349400,351500,355500,360200,364200,365400,366700,371800,377600,380400,385000,395200,408000,418800,426900,432000,436600,441400,443800,444900,446600,449000,452600,456700,459600,462800,467500,473100,479600,488700,500200,510700,519500,530400,542500,551300,556400,560400,564000,569700,578600,587700,595700,605400,616600,626500,632400,637300,643500,651800,663000,673500,676900,673900,672100,673400,676800,680900,686200,692000,694700,693600,691000,688100,686400,686500,688100,691700,696000,699800,705200,711100,715500,717700,714900,709000,703000,696700,686700,674200,660200,646800,632800,619600,608200,599800,592900,587600,583800,581900,578600,571200,562500,553700,544500,536000,529100,523400,519400,516400,515700,517900,520900,524400,528200,530000,530500,531800,532900,531800,528800,525500,523000,520100,517900,515700,512400,509600,507700,504200,500700,498600,497900,496900,495500,495100,496700,498200,497700,495100,495000,498600,502400,506600,513000,521900,530500,536000,539400,544000,551100,560100,570700,582800,597100,610600,622500,631200,638300,644100,648800,651300,653900,657900,661600,663300,665100,667800,671300,674200,675700,676300,678400,684800,696600,711000,722500
"Central Richmond",326900,330800,336100,340100,343600,344200,339500,334600,335400,340000,345200,349900,352700,354000,356400,359900,363900,369900,377400,384800,391800,399000,406400,413000,418800,426600,434300,439500,442600,445600,450200,456600,462300,465100,467000,471600,480100,485700,488300,492900,500400,509800,522000,537200,554200,569800,584100,599200,612800,620600,632100,650200,663500,663200,657700,654000,656200,657800,657300,658700,661000,660900,654700,640300,627100,627100,630600,627700,622500,623600,627000,627800,631800,643800,658700,670300,683200,694900,702300,708300,713400,714600,713800,710700,702400,694200,693600,701000,709400,715400,722300,732700,744800,755800,765500,780900,803200,822700,831800,837400,844800,856000,871800,886200,896600,914600,941100,961900,968800,967600,965500,970000,975900,981800,988800,995200,990700,975600,958900,941300,929800,935200,948200,953600,951800,944100,935200,933300,935500,940000,948100,962800,975600,986600,997700,1008700,1020800,1034400,1036200,1029700,1028900,1027300,1020500,1013700,1007400,995700,981000,969400,958000,941300,930600,920900,908600,900000,898100,895100,890400,875400,857300,844800,838700,836100,835800,838700,844700,852300,857100,857500,856700,861400,866800,865700,858800,856200,860300,864500,866400,866500,858200,849600,848200,845800,836300,826400,824000,828600,834100,841300,853800,865700,875600,881500,884900,889300,898600,916200,936500,950100,956300,957900,952900,949000,950500,958800,971000,993400,1027900,1060900,1080500,1091800,1096300,1100000,1110500,1126200,1144800,1168400,1196300,1224200,1247100,1260800,1273400,1289300,1309100,1331100,1349100,1359800,1373700,1393300,1409100
"Bayview",159400,157000,155000,153900,153200,151200,149000,148100,147200,146200,145800,146300,147600,149400,150800,152400,153300,154300,155700,157500,159300,161100,163000,165500,168000,169600,171100,172800,175500,178600,181200,184000,187900,191400,194500,197200,198300,199400,202900,206900,210100,213800,218400,223500,229200,236000,243400,251400,259200,266200,271400,275800,279500,283200,286300,287900,287800,287200,287700,290000,292600,295300,300100,305100,309200,313300,317300,320300,323000,324800,326800,329200,333300,339200,346000,351800,357600,361300,363300,365600,369300,372900,375400,377500,380300,383800,387000,390900,395900,402300,410900,422000,434500,447300,458200,467800,476900,483000,483400,481300,480500,482700,489500,498200,505200,513500,524000,532700,539500,546200,552700,563300,576300,588700,596600,598900,598800,599500,600300,602900,609300,617300,623700,624200,622100,620300,617300,610700,608400,611600,616400,619900,624100,628200,632200,637100,638800,632700,619600,605600,593000,583400,574500,562500,547400,532300,518300,506000,496000,490800,492300,498800,497600,484200,467800,457500,446700,434300,424900,418300,412800,408100,404500,402900,404500,408700,413700,415700,414600,413900,414600,414600,414000,412000,409200,405400,400500,394600,387500,379400,373700,370700,367000,364500,363500,361300,357900,356300,357400,358500,360000,363400,369300,373600,377100,380100,383000,386500,392100,396600,401300,407000,412200,416700,423300,434900,451300,466400,477800,489400,501400,510100,516100,523800,532100,541000,552900,566900,577500,584900,591100,596200,597900,600900,607500,617600,632600,652900,670700
"Central Sunset",271900,273100,273800,275100,276300,277100,278900,282100,284000,285300,287900,290700,293100,295500,297800,300500,304600,308400,310800,313200,317600,323300,328500,332500,336400,340100,343400,347300,352100,356600,361600,365400,367600,369300,370200,368900,369300,373000,377900,382000,386000,390300,396100,404100,413800,424800,435300,447000,459600,471100,477500,479800,480000,483200,488200,493800,499200,501300,499900,499200,496100,493100,495900,502600,509500,515000,515800,513600,513500,517100,521000,523300,529100,541400,554100,561900,568000,575700,581700,586400,589700,591500,593400,595500,596500,597000,600800,607800,615500,621500,629000,638800,650200,660500,671400,686300,700600,706900,707100,708800,712100,716500,726100,738800,750100,765100,785500,802200,809600,810800,813200,819600,824800,826700,826600,820800,811500,803100,793300,782800,779200,782300,784400,783100,783200,782500,778700,775800,778800,785100,793300,802900,813100,824400,835100,842700,845600,848300,849700,848200,841400,834100,827800,821400,813200,804100,791500,778600,769500,762900,759100,760000,760200,755000,748900,744700,741200,736900,734200,734000,735000,735400,736800,739400,742200,745400,748400,748500,746000,744500,744100,741400,737400,734600,731900,728900,728300,727000,720300,710100,702500,698900,697200,697500,698200,697500,696600,697500,698600,698400,698900,701500,707300,714600,722800,732000,741600,753800,770300,787200,801300,812200,821200,832600,847500,860900,875700,891300,906600,917700,920300,916000,915000,921300,931200,940100,947900,957100,966800,973000,977500,982100,987100,991100,996100,1003300,1013800,1032500,1051700
"Visitacion Valley",166200,166100,167200,168300,169000,170100,171800,173300,175200,176700,177700,178700,179700,181100,183500,185900,187000,187300,188300,189900,191700,193600,196300,199900,204300,207500,208800,209100,209400,209400,209300,209900,211400,213100,214900,216900,218700,221100,224800,229900,235200,240600,246300,253200,260500,268100,273900,279300,284800,289900,293100,294900,296900,299100,301300,303000,304500,304300,306200,310200,312900,313800,316400,321500,327700,333700,338700,343000,347000,351800,356000,358800,362800,369600,377500,383900,388500,392000,395700,399300,402000,403600,404600,405100,406400,409700,414600,420900,427800,434200,439800,446200,453200,461600,470500,481700,493000,499400,498300,495900,497000,503400,512600,522200,533200,545900,558400,568400,577300,587700,600300,612400,621500,627500,631900,636000,638000,636800,635100,635900,639700,643500,645600,645700,647800,650300,648900,642100,637500,636400,637800,640700,644100,645400,646300,648800,647300,639900,631000,622100,610300,599900,592200,581400,568100,555800,544200,530500,517300,507000,502500,501800,501600,498400,492800,486200,478800,472100,468300,467600,469100,472400,474300,475500,476900,480400,484200,485100,480700,476100,473300,471000,468900,467300,465200,462800,461100,458400,451800,444400,440400,438200,434700,432800,431700,428500,424400,422200,421500,421400,422300,426500,433800,442400,450600,457200,462700,469700,478800,486100,488900,491300,496500,504100,514500,527900,540800,551500,560400,566700,571600,576800,581500,584100,586200,586500,589000,593900,598300,600000,601700,602700,605600,611500,620100,629900,641400,657900,674100
"Parkside",260500,263800,266600,268600,270100,271400,272700,275000,277400,279800,282600,285800,288800,291600,294500,297300,299700,301500,303200,305100,308500,314100,319900,325000,329000,331800,333100,335000,338300,341700,343800,345800,347900,349400,350500,351600,353800,358200,363400,368400,372000,375200,379900,387900,397500,408100,418200,426200,430400,432200,436100,442500,448500,454300,462200,468900,472000,471500,470700,471000,471800,473900,477100,479900,484100,490800,496400,498000,496100,493500,493100,496600,504500,515800,527000,534300,539900,544400,546400,548700,553700,558700,561600,562700,564000,566800,570700,577300,586100,593000,600000,609900,623700,639500,655200,669300,680500,685400,685700,687600,691300,696300,704200,713900,723400,734800,748600,762000,770700,776000,781700,788200,793700,800800,806800,807500,805000,801600,796500,791000,788600,787500,786800,785000,783100,779500,774400,769800,769000,771200,776000,783900,795800,810900,824800,835500,841000,843500,844900,844800,838300,831000,825100,819000,810300,800300,785400,768900,755900,746600,739600,736100,732900,727600,722500,718200,712800,707900,706700,709400,711300,710200,708400,708900,712000,716200,719900,720600,719500,719200,719800,717000,714500,715100,717300,717500,717100,714600,707700,699300,693900,690500,686700,683700,682800,681000,678100,676200,676900,677500,678400,679600,684000,692100,703400,714900,724700,735000,747100,758000,766300,775300,784400,793100,800600,808100,819000,831900,842100,849900,856900,862400,868200,874100,879600,881600,885600,892700,898200,901600,909200,917900,924900,931600,937900,945500,957700,979800,1002500
"Pacific Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1809000,1829000,1853700,1865000,1865900,1916900,1981100,2002300,1990800,2030100,2076700,2101500,2127100,2171200,2199800,2232400,2250400,2272400,2302500,2317200,2303000,2326500,2380900,2440200,2480400,2515800,2573100,2657900,2739100,2819300,2885500,2905700,2877500,2848900,2848200,2882900,2917100,2939400,2964600,2975700,2958100,2946400,2907300,2831200,2774500,2752400,2742500,2746400,2762200,2786600,2818400,2834200,2840000,2848500,2872900,2900400,2932500,2961700,2986900,3014500,3051400,3063100,3059200,3073000,3092800,3086400,3078000,3105900,3138300,3156000,3170000,3207800,3263000,3314100,3337900,3348400,3378200,3438700,3510500,3597400,3687800,3726500,3737400,3745800,3736800,3714100,3716800,3735900,3759000,3783700,3852900,3923000,3946900,3944200,3948300,3974000,4001500,4005000,3988800,3987300,3971300,3949400,3920000,3889300,3898000,3968800,4027000,4018800,4013000,4028700,4035000,4052000,4131400,4184200,4172800,4168900,4188800,4192800,4195100,4201700,4194800,4206300,4241900,4247500,4189600,4136500,4106000,4057800,3999300,3962200,3924200,3865200,3807000,3782200,3800800,3819800,3816800,3802900,3774300,3723400,3668000,3619700,3578100,3566300,3575100,3586400,3579400,3575300,3581300,3603500,3623400,3642500,3654900,3661800,3659300,3646100,3637600,3640700,3642700,3643500,3656300,3675300,3699300,3712800,3712900,3715400,3734700,3770500,3805000,3819600,3829800,3842100,3857900,3872400,3893300,3918500,3952500,3971100,4011700,4082100,4164600,4225000,4276000,4332000,4386600,4452700,4556200,4658700,4719700,4796800,4913300,5020800,5083100,5132900,5174600,5214000,5255500,5310000,5363100,5498800,5721600,5929000,6041500,6127900,6229400,6303600,6340900,6350900,6383500,6433900,6491000,6567000,6661200
"Inner Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766100,780300,792400,801100,807000,820900,839300,849900,845000,831800,815600,796200,793400,806800,820200,817900,816100,812400,804200,795300,791100,784700,776600,773700,774500,764500,754300,763700,782200,793300,804000,814000,817200,814800,814600,817300,819100,818800,817400,813700,813900,821200,832200,841700,850600,862200,878600,897800,918200,941200,961100,979900,993700,1002100,1003400,1011200,1026800,1052600,1083600,1110400,1129800,1152200,1178900,1192900,1189500,1185700,1196500,1214800,1227500,1232600,1232800,1226200,1214200,1199900,1183400,1167400,1158000,1147600,1130900,1103000,1079800,1061100,1039500,1026500,1032600,1047700,1068600,1099100,1130100,1160200,1184000,1205100,1219600,1231400,1244500,1252300,1237800,1214600,1204300,1198700,1188300,1180200,1179000,1174100,1172900,1168500,1162700,1162600,1170200,1164000,1146600,1125800,1110500,1091900,1073200,1063400,1063900,1068000,1073400,1081900,1089000,1090100,1082900,1074100,1066800,1066500,1068500,1071300,1074000,1078000,1075800,1068000,1061000,1061100,1064300,1073700,1084700,1094400,1101400,1110900,1117600,1123000,1126200,1127600,1125700,1131200,1145900,1163800,1181300,1194000,1202400,1217400,1243100,1280200,1322700,1351000,1369100,1396000,1432000,1454500,1469500,1490200,1527700,1551100,1542400,1513000,1496800,1500700,1521700,1545500,1559300,1581700,1616700,1642600,1655600,1665800,1674800,1684100,1689100,1695400,1725200,1768200,1801800
