"","RegionName","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
"Mission","Mission","San Francisco",113,1188900,0.0151993851934079,0.0466590368870499,0.159449970743125,0.119374747489057,0.048145313567183,"2015-04","2015-Q2",1188900,0,"2015-04"
"Bernal Heights","Bernal Heights","San Francisco",391,1197100,0.0258805381780787,0.0768192857785374,0.168130366900859,0.115493146585634,0.0509787620173705,"2015-04","2015-Q2",1197100,0,"2015-04"
"Excelsior","Excelsior","San Francisco",428,722500,0.0161744022503516,0.0550525700934579,0.0923798004233444,0.0638079826177298,0.0135208735497501,"2015-04","2015-Q2",722500,0,"2015-04"
"Central Richmond","Central Richmond","San Francisco",443,1368800,0.0105574012550757,0.0323553812504714,0.174935622317597,0.103216288986712,0.0357784269898063,"2015-04","2015-Q2",1368800,0,"2015-04"
"Bayview","Bayview","San Francisco",487,671400,0.0251946862116354,0.077169902133804,0.206035566732531,0.100309810511387,0.0242596695727397,"2015-04","2015-Q2",671400,0,"2015-04"
"Downtown","Downtown","San Francisco",493,740000,0.0212531051614684,0.0595647193585338,0.149425287356322,0.109270453748172,0.0432629728915028,"2015-04","2015-Q2",740000,0,"2015-04"
"South of Market","South of Market","San Francisco",509,924200,0.0172812328013209,0.0504660150034099,0.145939243645381,0.106260716636995,0.0401594441763726,"2015-04","2015-Q2",924200,0,"2015-04"
"Central Sunset","Central Sunset","San Francisco",512,1052500,0.0182856037151703,0.0479936274021707,0.109646810753822,0.0714080160365347,0.0266490044116796,"2015-04","2015-Q2",1052500,0,"2015-04"
"Visitacion Valley","Visitacion Valley","San Francisco",530,673500,0.0271465609272533,0.074505424377792,0.140365729766339,0.0714750323883593,0.0161320214368426,"2015-04","2015-Q2",673500,0,"2015-04"
"Parkside","Parkside","San Francisco",562,1002300,0.0232771822358346,0.0606349206349206,0.132414416450119,0.0686355320035861,0.0266635552936934,"2015-04","2015-Q2",1002300,0,"2015-04"
"Pacific Heights","Pacific Heights","San Francisco",568,1834100,0.0310883741848437,0.0835351804808885,0.168216560509554,0.0840170559884039,0.0491254251067756,"2015-04","2015-Q2",1834100,0,"2015-04"
"Nob Hill","Nob Hill","San Francisco",575,1326200,0.0208605957970903,0.0708114654824384,0.147132600986074,0.0921726002133529,0.03865532891588,"2015-04","2015-Q2",1326200,0,"2015-04"
"Inner Richmond","Inner Richmond","San Francisco",609,1624700,0.0211816467630421,0.0671965317919075,0.142224409448819,0.113646019350685,0.0368036371566216,"2015-04","2015-Q2",1624700,0,"2015-04"
"Noe Valley","Noe Valley","San Francisco",619,1655100,0.0149006622516556,0.0529965644484031,0.10376792264088,0.112073144867543,0.0411723371984649,"2015-04","2015-Q2",1655100,0,"2015-04"
"Outer Sunset","Outer Sunset","San Francisco",628,927600,0.0184453227931489,0.0515814533499603,0.120019319005071,0.068058172633743,0.0270073546126495,"2015-04","2015-Q2",927600,0,"2015-04"
"Portola","Portola","San Francisco",629,763300,0.0142173797501993,0.0406271301976823,0.0622042861118842,0.0580712050788186,0.0197189214028461,"2015-04","2015-Q2",763300,0,"2015-04"
"Outer Richmond","Outer Richmond","San Francisco",644,1117800,0.0184037900874636,0.0381721928113681,0.108268887566924,0.086697428688248,0.0299688206826183,"2015-04","2015-Q2",1117800,0,"2015-04"
"Inner Sunset","Inner Sunset","San Francisco",647,1258200,0.0234260614934114,0.064647148417668,0.156646442360728,0.0804570876614889,0.0323188968396801,"2015-04","2015-Q2",1258200,0,"2015-04"
"Outer Parkside","Outer Parkside","San Francisco",747,878200,0.0179668482670685,0.0487222354908049,0.0980245061265316,0.0636695913693694,0.0234955090513354,"2015-04","2015-Q2",878200,0,"2015-04"
"Russian Hill","Russian Hill","San Francisco",766,1475600,0.0206114262000277,0.0558855098389982,0.0922279792746114,0.0694683588267915,0.0329429899649067,"2015-04","2015-Q2",1475600,0,"2015-04"
"Hayes Valley","Hayes Valley","San Francisco",831,1206700,0.0177968960863698,0.0504004178272981,0.13124589856567,0.0985860358366708,0.0404736324627053,"2015-04","2015-Q2",1206700,0,"2015-04"
"Marina","Marina","San Francisco",854,2079900,-0.000720668780628423,0.00872981230903536,0.139483920451433,0.0976059754514895,0.0338266987518012,"2015-02","2015-Q1",2082100,-0.00105662552230921,"2015-02"
"Van Ness - Civic Center","Van Ness - Civic Center","San Francisco",885,765900,0.0264004288394532,0.0720884658454647,0.109839153745834,0.087815794136499,0.0410743090362102,"2015-04","2015-Q2",765900,0,"2015-04"
"Crocker Amazon","Crocker Amazon","San Francisco",945,785400,0.0210608424336973,0.0526739043023723,0.173289512996713,0.0781227308420547,0.0226498489868885,"2015-04","2015-Q2",785400,0,"2015-04"
"South Beach","South Beach","San Francisco",962,1247300,0.0212887906329321,0.0588285229202037,0.123390074754571,0.113607436627302,0.0571783721861592,"2015-04","2015-Q2",1247300,0,"2015-04"
"Lower Pacific Heights","Lower Pacific Heights","San Francisco",1007,1210100,0.0208368483212418,0.0601892412826354,0.2739235709022,0.116459459665053,0.0488335429681341,"2015-04","2015-Q2",1210100,0,"2015-04"
"Eureka Valley - Dolores Heights - Castro","Eureka Valley - Dolores Heights - Castro","San Francisco",1027,1650300,0.0216678016467529,0.060331534309946,0.117029917422499,0.110629579624554,0.0435821822274396,"2015-04","2015-Q2",1650300,0,"2015-04"
"Western Addition","Western Addition","San Francisco",1051,838500,0.0308581263830834,0.0957919498170413,0.160714285714286,0.0796479621655783,0.0244749046606696,"2015-04","2015-Q2",838500,0,"2015-04"
"Potrero Hill","Potrero Hill","San Francisco",1078,1221600,0.0171523730224813,0.0622608695652174,0.146611601276516,0.09994707203192,0.048548906293741,"2015-04","2015-Q2",1221600,0,"2015-04"
"Outer Mission","Outer Mission","San Francisco",1101,801600,0.0195878911218519,0.0618624983441515,0.180038274694538,0.0801408033404694,0.0211221985778385,"2015-04","2015-Q2",801600,0,"2015-04"
