"","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",2873,2866,2828,2691,2565,2534,2630,2703,2735,2769,2793,2958,3076,3279,3352,3435,3495,3530,3573,3617,3668,3667,3646,3579,3492,3494,3562,3664,3757,3811,3841,3830,3831,3855,3889,3877,3819,3788,3806,3849,3927,3976,4038,4062,4108,4181,4300,4375,4368,4388,4452,4538,4615,4702
"Bernal Heights",2986,3030,2986,2815,2631,2525,2566,2615,2660,2685,2675,2739,2795,2919,2984,3045,3069,3172,3271,3357,3339,3284,3219,3169,3113,3133,3212,3337,3472,3489,3447,3365,3398,3463,3557,3582,3553,3506,3479,3506,3592,3672,3756,3811,3857,3930,4043,4141,4161,4171,4243,4334,4422,4482
"Excelsior",2764,2803,2764,2589,2376,2269,2291,2286,2276,2262,2243,2292,2290,2377,2427,2511,2575,2650,2680,2704,2656,2638,2643,2671,2674,2692,2721,2769,2840,2871,2874,2841,2846,2851,2883,2892,2888,2862,2853,2879,2949,3006,3061,3129,3238,3319,3377,3369,3329,3289,3333,3417,3503,3532
"Central Richmond",3299,3266,3128,2958,2768,2681,2700,2751,2796,2860,2907,2917,2876,2946,3074,3208,3377,3501,3593,3644,3695,3661,3646,3638,3594,3620,3685,3777,3838,3851,3805,3753,3714,3723,3720,3682,3541,3570,3664,3797,3893,3927,3956,4023,4083,4163,4281,4465,4604,4666,4652,4591,4609,4697
"Bayview",2928,2964,2902,2678,2417,2285,2327,2343,2382,2381,2329,2313,2279,2356,2387,2437,2474,2558,2615,2650,2585,2538,2510,2494,2472,2498,2574,2665,2746,2773,2764,2733,2734,2758,2850,2940,2952,2893,2846,2877,2989,3057,3091,3118,3193,3267,3328,3342,3313,3297,3359,3459,3551,3572
"Downtown",2239,2218,2207,2130,2130,2163,2266,2298,2299,2308,2325,2419,2464,2560,2586,2649,2675,2717,2749,2831,2927,2997,3042,3019,2976,2984,3036,3113,3179,3219,3236,3224,3244,3282,3312,3311,3286,3297,3335,3369,3390,3407,3429,3449,3449,3450,3486,3554,3631,3688,3733,3779,3820,3843
"South of Market",2639,2667,2689,2669,2658,2693,2732,2759,2782,2828,2837,2981,3088,3262,3291,3324,3351,3355,3369,3404,3461,3493,3502,3441,3389,3348,3366,3403,3443,3490,3540,3574,3595,3603,3613,3579,3546,3518,3538,3570,3612,3672,3733,3749,3758,3787,3884,3969,4025,4058,4137,4219,4287,4307
"Central Sunset",2972,3033,2952,2761,2525,2413,2442,2501,2538,2564,2564,2635,2689,2774,2810,2835,2872,2951,3064,3146,3207,3217,3247,3242,3200,3174,3228,3328,3443,3481,3461,3388,3370,3392,3411,3367,3289,3305,3401,3531,3634,3678,3716,3731,3729,3750,3813,3910,3933,3913,3911,3941,4022,4084
"Visitacion Valley",2836,2881,2846,2653,2410,2268,2276,2241,2219,2196,2171,2232,2228,2299,2323,2401,2458,2557,2629,2691,2638,2601,2590,2586,2572,2584,2646,2720,2791,2800,2804,2781,2797,2806,2862,2893,2901,2844,2798,2797,2879,2936,2973,3005,3107,3199,3244,3222,3180,3166,3218,3304,3394,3436
"Parkside",2858,2915,2877,2706,2495,2396,2434,2499,2540,2543,2516,2555,2605,2688,2720,2747,2769,2842,2944,3027,3076,3080,3091,3085,3065,3048,3076,3160,3288,3333,3284,3195,3172,3213,3260,3251,3199,3202,3276,3386,3477,3517,3563,3583,3593,3621,3692,3776,3789,3772,3776,3815,3878,3924
